S h I f t,Shift
3D视口,View 3D
枚举,Enum
枚举映射（执行）,Enum Map (Execute)
次数循环（执行）,Loop Repeat (Execute)
For 循环（执行）,Loop For (Execute)
If/Else（执行）,If/Else (Execute)
绘制,Drawing
布局,Layouts
子布局,Sublayouts
事件,Events
执行,Execute
可视化编程,Visual Scripting Editor
从给定参数添加一个插座，并使用给定的添加回调,Adds a socket from the given parameter with the given add callback
为此节点添加一个输入。此函数本身不进行评估，因为它可能在节点准备就绪之前使用,Adds an input for this node. This function itself doesn't evaluate as it may be used before the node is ready
为此节点添加一个输出。此函数本身不进行评估，因为它可能在节点准备就绪之前使用,Adds an output for this node. This function itself doesn't evaluate as it may be used before the node is ready
当父面板更新时调用，更新此节点的设置,"Called when a parent panel is updated, updates this nodes settings"
检查给定代码是否与当前代码不同。如有必要，它会触发代码更新,Checks if the given code is different from the current code. If required it triggers a code update
如果存在，编译此节点的根节点,Compiles the root node of this node if it exists
将插座从当前类型转换为给定的idname,Converts the socket from it's current type to the given idname
为操作员创建输入,Create inputs for operator
从给定属性创建一个输入,Creates an input from the given property
在此节点的节点树中为此节点创建一个节点集合项,Creates an item in the nodes collection of this node tree for this node
为给定数据路径创建输入,Creates the inputs for the given data path
逐行绘制此节点的代码,Draws the code for this node line by line on the node
如果这是一个触发节点，则包含连接节点的代码,Includes connected nodes code in this node if this is a trigger node
将给定代码按给定的缩进量缩进。当将多行块插入代码时使用,Indents the given code by the given amount of indents. Use this when inserting multiline blocks into code
内部评估检查是否发生更改并触发编译过程,Internal evaluate to check if changes happened and trigger the compile process
递归地返回链接到给定节点的所有节点的列表,Recursively returns a list of all nodes linked to the given node
删除所有操作员输入,Remove all operator inputs
从此节点树的引用中删除此节点的引用项,Removes the reference item for this node from this node trees references
返回此节点的uid。请注意，这不是稳定的，随着时间推移会更改！,Returns a uid for this node. Note that this is not stable and will change over time!
返回段是否可以被索引。段是数据路径的一部分字符串,Returns if a segment can be indexed. A segment is a string part of a data path
返回此类型节点的集合,Returns the collection for the nodes of this type
基于给定的输入和数据返回数据路径,Returns the data path based on the given inputs and data
返回此节点所在的节点树,Returns the node tree this node lives in
返回应在其中搜索属性组的集合的父级,Returns the parent of the collection the property group should be searched in
返回应在其中搜索属性的集合的父级,Returns the parent of the collection the property should be searched in
返回连接到此节点的触发节点,Returns the trigger nodes that are connected to this node
根据节点颜色设置节点的颜色,Sets the color of the node depending on the node_color
