"Blender 中的碰撞颜色","Color of the collision in Blender"
"按单位比例缩放 F 制光圈","Scale F-Stop by Unit Scale"
"使用单位比例来缩放相机 F 档。","Scale camera F-Stop with Unit Scale."
"按单位比例缩放焦距","Scale focus distance by Unit Scale"
"使用单位比例来缩放相机焦距。","Scale camera focus distance with Unit Scale."
"打开上次发布页面","Open last release page"
"点击打开最新发布页面。","Click to open the latest release page."
"骨骼和根骨","SKELETON & ROOT BONE"
"插座","SOCKET"
"相机","CAMERA"
"关于景深 ->","About depth of Field -> "
"数据","DATA"
"其他","OTHER"
"导入脚本","IMPORT SCRIPT"
"\t","\t"
"形状_自定义生成形状_","Shape_CustomGeneratedShape_"
"MAR_RigWeightTransfer","MAR_RigWeightTransfer"
"使用","Use"
"点击展开/折叠","Click to expand / collapse"
"点击折叠","Click to collapse"
"文档","Documentation"
"点击打开 URL。","Click for open URL."
"我的_prop_id","my_prop_id"
"my_porp_id_selector","my_porp_id_selector"
"骨骼组名称","Bone groups name"
"你的骨骼群","Your bone group"
"模板操作","Template Actions"
"重复的活动项目。","Duplicate active item."
"新增项目。","Add item."
"除去项目。","remove item."
"向上移动项目。","Move items up."
"向下移动项目。","Move items down."
"无属性名称","NoPropertyName"
"..",".."
"细分_","Subdivise_"
"调试","Debug"
"套接字自定义名称","Socket custom name"
"在虚幻引擎中为此插槽使用自定义名称吗？","Use a custom name in Unreal Engine for this socket?"
"此面板仅用于调试","This panel is only for Debug"
"作为静态网格的完整路径名：","Full path name as Static Mesh:"
"XXX","XXX"
"对象导出名称：","Obj Export Name:"
"Obj 导出目录","Obj Export Dir"
"Obj 导出 Abs 目录：","Obj Export Abs Dir:"
"虚幻相机位置（位置）：","CameraPositionForUnreal (Loc):"
"CameraPositionForUnreal（旋转）：","CameraPositionForUnreal (Rot):"
"CameraPositionForUnreal（比例）：","CameraPositionForUnreal (Scale):"
"纠正和改进","Correct and improv"
"为虚幻引擎校正极端 UV","Correct Extrem UV For Unreal"
"步进量表","Step scale"
"BFU 出口","BFU Export"
"静态网格体前缀","StaticMesh Prefix"
"staticMesh 的前缀","Prefix of staticMesh"
"SkeletalMesh 前缀","SkeletalMesh Prefix "
"SkeletalMesh 的前缀","Prefix of SkeletalMesh"
"骨架前缀","skeleton Prefix "
"骨架的前缀","Prefix of skeleton"
"Alembic 前缀","Alembic Prefix "
"Alembic 的前缀（虚幻中的 SkeletalMesh）","Prefix of Alembic (SkeletalMesh in unreal)"
"新郎前缀","Groom Prefix "
"新郎模拟的前缀","Prefix of Groom Simulation"
"AnimationSequence 前缀","AnimationSequence Prefix"
"AnimationSequence 的前缀","Prefix of AnimationSequence"
"动画序列（姿势）前缀","AnimationSequence(Pose) Prefix"
"仅具有一帧的 AnimationSequence 前缀","Prefix of AnimationSequence with only one frame"
"相机动画前缀","Camera anim Prefix"
"相机动画的前缀","Prefix of camera animations"
"样条线动画前缀","Spline anim Prefix"
"样条动画的前缀","Prefix of spline animations"
"动画子文件夹名称","Animations sub folder name"
"静态网格导出路径","StaticMesh Export Path"
"选择导出静态网格体的目录","Choose a directory to export StaticMesh(s)"
"骨架网格体导出路径","SkeletalMesh Export Path"
"选择导出 SkeletalMesh(s) 的目录","Choose a directory to export SkeletalMesh(s)"
"Alembic 导出路径","Alembic Export Path"
"选择导出 Alembic 动画的目录","Choose a directory to export Alembic animation(s)"
"修饰导出路径","Groom Export Path"
"选择导出 Groom 模拟的目录","Choose a directory to export Groom simulation(s)"
"相机导出路径","Camera Export Path"
"选择要导出相机的目录","Choose a directory to export Camera(s)"
"样条线导出路径","Spline Export Path"
"选择要导出样条线的目录","Choose a directory to export Spline(s)"
"其他出口路径","Other Export Path"
"选择要导出文本文件和其他文件的目录","Choose a directory to export text file and other"
"导出日志名称","Export log name"
"导入资产脚本名称","Import asset script Name"
"导入资产脚本名称","Import asset script name"
"导入序列脚本名称","Import sequencer script Name"
"导入序列器脚本名称","Import sequencer script name"
"虚幻导入模块","Unreal import module"
"导入哪个模块（插件名称）。默认为","Which module (plugin name) to import to. Default is "
"虚幻导入位置","Unreal import location"
"模块内的虚幻资产导入位置","Unreal assets import location inside the module"
"术语预设","Nomenclature Presets"
"添加或删除命名法预设","Add or remove a preset for Nomenclature"
"显示资产","Show asset(s)"
"单击可显示要导出的资产。","Click to show assets that are to be exported."
"-[","- ["
"-","- "
"- (","- ("
"检查潜在错误","Check Potential Errors"
"检查潜在错误。","Check potential errors."
"没有任何","none"
"打开潜在错误","Open potential errors"
"修理它 ！","Fix it !"
"修正目标错误","Correct target error"
"选择（对象）","Select(Object)"
"选择目标对象。","Select target Object."
"选择（顶点）","Select(Vertex)"
"选择目标顶点。","Select target Vertex."
"选择（姿势骨骼）","Select(PoseBone)"
"选择目标姿势骨骼。","Select target Pose Bone."
"打开文档","Open docs"
"打开潜在错误文档。","Open potential error docs."
"导出至虚幻引擎","Export for Unreal Engine"
"导出此场景的所有资产。","Export all assets of this scene."
"复制导入脚本（资产）","Copy import script (Assets)"
"复制导入资产脚本命令","Copy Import Asset Script command"
"复制导入脚本（Sequencer）","Copy import script (Sequencer)"
"复制导入序列器脚本命令","Copy Import Sequencer Script command"
"静态网格物体","StaticMesh(s)"
"勾选导出静态网格物体","Check mark to export StaticMesh(s)"
"收藏集","Collection(s) "
