"混合模式","Blend Mode"
"为具有不透明度贴图的材质选择混合模式","Choose a Blend Mode for material with Opacity maps"
"位移模式","Displacement Mode"
"为具有置换贴图的材质选择表面置换模式","Choose a Surface Displacement Mode for materials with Displacement maps"
"混合节点名称","MixNodeName"
"已检查","Checked"
"选择所有","Check All"
"检查所有材料","Check all materials"
"取消所有","Uncheck All"
"取消勾选所有材质","Uncheck all materials"
"反向选择","Invert Selection"
"反转材料的选择","Invert the selection of materials"
"场景数据","SCENE_DATA"
"没有任何","NONE"
"场景色彩空间匹配","Scene ColorSpace Match"
"将色彩空间规则应用于项目中的所有纹理。","Apply Color Space rules to all textures in Project."
"创建和更新材质","Create and update Materials"
"批量材料创建者和更新者","Batch Materials Creator and Updater"
"你好，陌生人","Hi Stranger"
"材质已存在于场景中","Material already exists in scene"
"反转法线贴图绿色通道","Invert Normal Map Green Channel"
"反转法线贴图的绿色通道","Invert the green channel of the normal map"
"价值","Value"
"[BAM] 自动垫","[BAM] AutoMat"
"纹理文件夹：","TextureFolder:"
"子文件夹","Subfolders"
"预设","Presets"
"保存预设","Save Preset"
"删除预设","Delete Preset"
"TextureMap 定义：","TextureMap Definitions:"
"不透明度的混合模式","Blend Mode for Opacity"
"附加的 TextureMap 定义：","Additional TextureMap Definitions:"
"材料创建/更新过滤器","Materials Create/Update filter"
"材料创建/更新过滤器。","Materials Create/Update filter."
"请选择纹理文件夹","Please select a texture folder"
"强制刷新","Force Refresh"
"刷新纹理列表","Refresh the texture list"
"保存材质预设","Save Material Preset"
"预设名称","Preset Name"
"删除材质预设","Delete Material Preset"
"纹理文件夹","Texture Folder"
"新预设名称","New Preset Name"
"显示高级纹理设置","Show Advanced Texture Settings"
"切换高级纹理设置的可见性","Toggle the visibility of advanced texture settings"
"显示纹理设置","Show Texture Settings"
"切换纹理设置的可见性","Toggle the visibility of texture settings"
"显示筛选器","Show Filter"
"切换过滤器的可见性","Toggle the visibility of Filter"
"翻转法线绿色通道","Flip Normal Green Channel"
"使用 RGB 曲线反转法线贴图的绿色通道","Invert the Green channel of the normal map using RGB curves"
"包括子文件夹","Include Subfolders"
"在子文件夹中搜索纹理","Search for textures in subfolders"
"选择要应用的预设","Select a preset to apply"
"基色后缀","Base Color Suffix"
"AO 后缀","AO Suffix"
"普通后缀","Normal Suffix"
"粗糙度后缀","Roughness Suffix"
"金属后缀","Metallic Suffix"
"不透明度后缀","Opacity Suffix"
"地下后缀","Subsurface Suffix"
"镜面后缀","Specular Suffix"
"镜面色调后缀","Specular Tint Suffix"
"各向异性后缀","Anisotropic Suffix"
"光泽后缀","Sheen Suffix"
"光泽色调后缀","Sheen Tint Suffix"
"透明涂层后缀","Clearcoat Suffix"
"透明涂层粗糙度后缀","Clearcoat Roughness Suffix"
"IOR 后缀","IOR Suffix"
"传输后缀","Transmission Suffix"
"位移后缀","Displacement Suffix"
"排放后缀","Emission Suffix"
"基色：ColorSpace","Base Color: ColorSpace"
"正常：色彩空间","Normal: ColorSpace"
"AO：色彩空间","AO: ColorSpace"
"粗糙度：色彩空间","Roughness: ColorSpace"
"金属：色彩空间","Metallic: ColorSpace"
"不透明度：色彩空间","Opacity: ColorSpace"
"地下：色彩空间","Subsurface: ColorSpace"
"镜面反射：色彩空间","Specular: ColorSpace"
"镜面色调：色彩空间","Specular Tint: ColorSpace"
"各向异性：色彩空间","Anisotropic: ColorSpace"
"光泽：色彩空间","Sheen: ColorSpace"
"光泽色调：ColorSpace","Sheen Tint: ColorSpace"
"透明涂层：ColorSpace","Clearcoat: ColorSpace"
"透明涂层粗糙度：色彩空间","Clearcoat Roughness: ColorSpace"
"IOR：色彩空间","IOR: ColorSpace"
"传输：色彩空间","Transmission: ColorSpace"
"位移：色彩空间","Displacement: ColorSpace"
"发射：色彩空间","Emission: ColorSpace"
"使用当前材质分配优化缓存更新。","Optimized cache update with current material assignments."
"用于更新材料存在缓存的处理程序。","Handler to update the material presence cache."
"显示材质预览","Show Material Preview"
"显示材质预览","Show a preview of the material"
"预览不可用。","No preview available."
"切换到着色器编辑器","Switch to Shader Editor"
"切换到 Shader Editor 并显示所选材质","Switch to the Shader Editor and display the selected material"
"根据场景变化更新材质存在缓存","Updates the material presence cache based on scene changes"
"更新材质缓存","Update Material Cache"
"替换材料","Replace Material"
"将所有对象中的选定材质替换为另一种材质","Replace selected material with another one in all objects"
"用。。。来代替：","Replace with:"
"目标垫","Target Mat"
"将材质指定给选定对象","Assign Material to Selection"
"[LMB] - 为选定的物体或面指定材质。\n[SHIFT+LMB] - 替换材质。\n[CTRL+LMB] - 按材质选择物体（在场景中或通过选择）。\n[ALT+LMB] - 按材质选择面（在场景中或通过选择）。\n[SHIFT+ALT+LMB] - 添加到当前材质选择。","[LMB] - Assign material to selected object/objects or faces. \n[SHIFT+LMB] - Replace Material. \n[CTRL+LMB] - Select Objects by Material (in scene or by selected).\n[ALT+LMB] - Select Faces by Material (in scene или by selected).\n[SHIFT+ALT+LMB] - Add to current material selection."
"按材质选择对象","Select objects by Material"
"选择具有指定材质的物体。如果不存在则创建新物体。","Select objects that have the specified material. Offers to create a new object if none exists."
"创建 UV 球","Create UV Sphere"
"未找到具有所选材质的物体。","No objects with the selected material were found."
"用这个材质创建一个新物体吗？","Create a new object with this material?"
"按材质选择面","Select faces by Material"
"根据材质 ID 选择场景中选定物体的面，如果没有选定物体，则选择所有物体的面。","Select faces of selected objects in scene by Material ID, if no objects selected, select faces of all objects."
"添加材料","Add Material"
"将新的空材质添加到 Blender 场景","Add new Empty Material to Blender Scene"
"材质名称","Material Name"
"新材料名称","Name of the new material"
"行动","Action"
"如何处理新材料","What to do with the new material"
"基本颜色","Base Color"
"材质底色","Base color of the material"
"粗糙度","Roughness"
"材料粗糙度","Roughness of the material"
"金属","Metallic"
"材料的金属性质","Metallic property of the material"
"传播","Transmission"
"材料传输","Transmission of the material"
"Α","Alpha"
"材料的 Alpha 值","Alpha value of the material"
"删除材料","Del Material"
"删除选定的材料","Delete selected material"
"删除重复的资料","Delete Duplicated Materials"
"替换并删除重复的材料。\n基于（.001 ...）后缀。\n如果没有无后缀的材料，则会根据最小的后缀将材料视为原创。","Replace and delete duplicated materials. \nBased on (.001 ...) suffixes. \nWill consider the material to be original by the smallest suffix if there is no material without a suffix."
"删除未使用的材质槽","Delete Unused Material Slots"
"删除未分配给任何面的材质槽","Delete material slots not assigned to any face"
"删除未使用的材料","Delete Unused Materials"
"删除除点描边之外任何对象未使用的材料","Delete materials not used by any object except Dots Stroke"
"重新加载纹理","Reload Textures"
"重新加载 Blender 场景中的所有纹理，或仅为选定的对象（如果已选择）重新加载","Reload all textures in Blender Scene or just for selected objects if any are selected"
"清理所有材质（场景或选定的）","Clean All Materials (scene or selected)"
"通过删除不必要的节点和链接来清理所有材料","Clean all materials by removing unnecessary nodes and links"
"清除所有材质和纹理（场景或选定）","Clean All Materials and Textures (scene or selected)"
"通过删除不必要的节点、链接和相关的纹理数据块来清理所有材料","Clean all materials by removing unnecessary nodes, links, and associated texture data blocks"
"创建材质球体","Create Spheres for Materials"
"选项","Options"
"清除未使用的材质槽","Clear Unused Material Slots"
"清除未使用的材料","Clear Unused Materials"
"清除材料重复","Clear Materials Duplicates"
"创建 MatSpheres","Create MatSpheres"
"未来子菜单","Future Sub Menu"
"[BAM] 材料管理器","[BAM] MaterialManager"
"对象数量","ObjMat Count"
"广告按钮","Adv Buttons"
"显示选定项","Show Selected"
"所选材料：","Materials on selected:"
"显示材质对象数量","Show Material Object Count"
"显示使用每种材料的物体数量","Show the count of objects using each material"
"显示选定材料","Show Selected Materials"
"仅显示指定给选定对象的材质","Show only materials assigned to selected objects"
"保留选择","Keep Selection"
"按材质选择面时保留先前的选择","Keep the previous selection when selecting faces by material"
"显示高级按钮","Show Advanced Buttons"
"在材质管理器中显示或隐藏高级按钮","Show or hide advanced buttons in the Material Manager"
"纹理同步","Texture Sync"
"当文件更新时自动同步纹理。","Automatically sync textures when their files are updated."
"切换到循环","Switch to Cycles"
"启用切换到 Cycles 渲染器","Enable switching to Cycles renderer"
"纹理同步间隔","Textures Sync Interval"
"检查纹理更新的频率（以秒为单位）。","How frequently to check for texture updates (in seconds)."
"类别","Category"
"选择 MaterialManager 的类别","Choose the category for MaterialManager"
"选择 AutoMat 的类别","Choose the category for AutoMat"
"区域类型","Region Type"
"选择 MaterialManager 的区域类型","Choose the region type for MaterialManager"
"空间类型","Space Type"
"选择 MaterialManager 的空间类型","Choose the space type for MaterialManager"
"选择 AutoMat 的区域类型","Choose the region type for AutoMat"
"选择 AutoMat 的空间类型","Choose the space type for AutoMat"
"自动切换到循环以更快地生成材料微型模型","Auto Switch to Cycles for faster Material Miniature generation"
"每隔几秒检查一次带有纹理的文件夹以进行自动刷新","How frequently to check folder with textures for auto refresh in seconds"
"面板 UI 设置：","Panels UI Settings:"
"-- MaterialManager 面板 --","-- MaterialManager Panel --"
"-- AutoMat 面板 --","-- AutoMat Panel --"
"[注意] *插件面板不支持所有区域类型和空间类型的显示*","[NOTE] *Addon panels do not support display in all Region Types and Space Types*"
