"简化曲线","Simplify Curve"
"绘制","Draw"
"gp 焊接","gp_weld"
"焊接模态变换","Weld modal transform"
"旋转焊接","Rotate weld"
"焊接","Weld"
"bool 2","bool 2"
"修改","Modify"
"应用","Apply"
"添加烘烤平面","Add plane for baking"
"数组","array"
"曲线","curve"
"焊接形状修改模态","Weld shape modify modal"
"网格","Lattice"
"加载清理时的焊接","Welder on load cleanup"
"折叠","Collapse"
"循环","cyclic"
"形状","Shape"
"为面板类别选择名称","Choose a name for the category of the panel"
"1. 沿交叉点焊接","1. Welding along intersection"
"- 在对象模式下选择 2 个对象、","- select 2 objects in object mode,"
"- 选择要焊接的类型（几何图形/装饰条）","- choose what type of weld you want to place (Geometry/Decal)"
"- 点击 ","- click "
"- 移动鼠标调整比例（LMB 应用，RMB 设置为默认比例）","- adjust scale by moving the mouse (LMB to apply, RMB sets to default scale)"
"- 移动鼠标调整旋转角度（LMB 应用，RMB 设置为默认旋转角度）","- adjust rotation by moving the mouse (LMB to apply, RMB sets to default rotation)"
"2. 沿所选边线焊接","2. Welding along selected edgeloop"
"- 在编辑模式下选择所需的折边、 ","- select desired edgeloop in edit mode, "
"3. 绘制焊缝","3. Draw welds"
"- 在模型上绘制","- draw on the model"
"- 点击 RMB 或 Enter 以完成绘制并放置焊缝","- click RMB or Enter in order to finish drawing and place weld"
"4. 编辑轮廓","4. Profile editing"
"- 选择焊缝、","- select weld,"
"- 调整焊缝","- adjust weld"
"面板类别：","Panel Category:"
"性能：","Performance:"
"相交求解器","Intersection solver:"
"尺寸","size"
"VWP_","VWP_"
"SW_","SW_"
"DT_","DT_"
"bool_intersection","bool_intersection"
"对象","object"
"表面混合","Surface blend"
"焊接平滑","weldsmooth"
"焊接绘图","welddrawing"
"形状修改","shapemodified"
"形状按钮名称","Shape button name"
"折叠子材质","Collapse subsurf"
