"添加节点设置","Add Node Setup"
"添加设置","Add Setup"
"F_材质","F_Material"
"混合图层","Mix Layers"
"着色器","Shader"
"烘焙设置","Bake settings"
"烘焙 PBR","Bake PBR"
"烘焙 PBR 贴图","Bake PBR maps"
"烘焙遮罩","Bake masks"
"所有边缘和凹槽","All edges and cavity"
"仅边缘","Only edges"
"仅沟槽","Only cavity"
"仅选定节点","Only selected nodes"
"贴花","Decals"
"移动贴花","Move decal"
"帮助","Help"
"库","Library"
"仅支持 Cycles / Eevee","Only Cycles / Eevee supported"
"选择对象","Select Object"
"添加材质","Add Material"
"启用节点","Enable Nodes"
"添加","Add"
,"#imgtemp"
,"#temp_separate"
,"#temp_invert"
,"#temp_combine"
,"#temp_color"
,"#temp_roughness"
,"#temp_metallic"
,"#temp_emission_color"
,"#temp_emission_strength"
,"sRGB"
"贴图尺寸","Map size"
"格式","Format"
"采样","Sample"
"边距","Margin"
"部分","Section"
"乘以默认添加节点的比例。适用于对象尺寸的自动适配","Multiply the default added node scale. Useful for automatic adaptation of your object size"
"自定义颜色空间","Custom Color Space"
"仅在你了解其用途时使用","Only use this if you know what you"
"颜色","Color"
"烘焙颜色贴图","Bake color map"
"金属度","Metallic"
"烘焙金属度贴图","Bake metallic map"
"粗糙度","Roughness"
"烘焙粗糙度贴图","Bake roughness map"
"法线","Normal"
"烘焙法线贴图","Bake normal map"
"发射","Emission"
"烘焙发射贴图","Bake emission map"
"环境光遮蔽","AO"
"烘焙环境光遮蔽贴图","Bake ambiant occlusion map"
"透明度","Alpha"
"烘焙透明度贴图","Bake alpha map"
"OpenGL","OpenGL"
"保存OpenGL法线贴图","Save opengl normal map"
"DirectX","DirectX"
"保存 DirectX 法线贴图","Save DirectX normal map"
"将高多边形烘焙为低多边形","Bake high poly into low poly"
"将一个或多个对象烘焙为单个\n 警告：您需要选择所有要烘焙的对象，并保持目标为活动对象","Bake one or multiple objects into one\nWARINING: You need to select all the objects you want to bake and keep active the destination object"
"挤出","Extrusion"
"挤出用于在选定的活动烘焙模式下进行烘焙。\n 注意：此设置取决于对象的大小。如果得到奇怪的结果，请将其调低。","Extrusion used to bake in the selected to active bake mode. \nNOTICE: This setting will depend on the size of your object. Lower it if you get strange results"
"使用 UDIM","Use UDIM"
"瓦片数量","Tiles count"
"分辨率","Resolution"
"Fluent MZ","Fluent MZ "
"图层","Layers"
"混合图层","Mix layers"
"新图层","New layer"
"2 个图层","2 layers"
"3 个图层","3 layers"
"遮罩","Masks"
"所有边缘","All Edges"
"边缘","Edges"
"N 边","N Edge"
"凹凸","Cavity"
"方向性","Directional"
"局部","Local"
"绘制","Paint"
"添加图像","Add img"
"添加法线","Add normal"
"混合器","Mixer"
"N 混合器","N Mixer"
"复制","Duplicate"
"同步","Sync"
"数学","Maths"
"屏幕","Screen"
"变亮","Lighten"
"叠加","Overlay"
"差异","Difference"
"乘法","Multiply"
"数学混合","Math Mix"
"移位/锐化","Shift/Sharpen"
"反转","Invert"
"金属颜色","Metals colors"
"铁","Iron"
"铝","Aluminium"
"金","Gold"
"铂","Platinium"
"铜","Copper"
"氧化铜","CuO"
"黄铜","Brass"
"银","Silver"
"计算节点树中的节点数量","Count the nodes in the node tree"
"节点计数器","Node counter"
"将图像转换为组以提取粗糙度和法线","Convert an image into a group to extract roughness and normal"
"图像提取器","Image extractor"
"工具","Tools"
"交换选定的混合图层的所有条目","Swap all entries of the selected mix layers"
"交换图层","Swap layers"
"将图层连接到混合图层","Connect a layer to a mix layers"
"图层连接器","Layer connector"
"绘制遮罩","Paint a mask"
"编辑选定的绘制遮罩","Edit the selected painted mask"
"编辑绘制的遮罩","Edit a painted a mask"
"刷新 Cycles 视口","Refresh cycles viewport"
"添加贴花节点","Add a decal node"
"非颜色","Non-Color"
"同步贴花纹理坐标源","Synchronize decal texture coordinates source"
"添加局部遮罩节点","Add a local mask node"
"3D 视图","3D View"
"恢复快捷键映射","Restore keymap"
"恢复热键","Restore hotkeys"
"如何寻找帮助","How to find help"
"打开文件浏览器（yay）","Open the file browser (yay)"
"执行操作","Do a thing"
"对文件执行操作","Do a thing with the file you\"
"选择文件","Select a file"
"发射强度 1","Emission Strength 1"
"发射强度 2","Emission Strength 2"
"选择两个图层节点。","Select two Layers node."
"遮罩强度","Mask strenght"
"投影深度","Projection depth"
"对称切换","Symetry switch"
"对称 X","Symetry X"
"对称 Y","Symetry Y"
"阵列 X 数量","Array X count"
"阵列 Y 数量","Array Y count"
"全局遮罩","Global Mask"
"--- 边缘遮罩设置","--- Edge mask settings"
"---- 对称","---- Symetry"
"---- 阵列","---- Array"
"X 数量","X count"
"Y 数量","Y count"
,
