"画布宽度","Canvas Width"
"画布宽度：","The canvas width:"
"画布高度","Canvas Height"
"画布高度：","The canvas height:"
"场景节点","Scene Node"
"网格节点","Mesh Node"
"对象节点","Object Node"
"集合节点","Collection Node"
"材质节点","Material Node"
"图像节点","Image Node"
"视图节点","View Node"
"声音节点","Sounds Node"
"动作节点","Actions Node"
"骨架节点","Armature Node"
"扬声器节点","Speaker Node"
"库节点","Library Node"
"资产节点","Asset Node"
"非线性动画条节点","NLA Strip Node"
"涂鸦笔节点","Grease Pencil Node"
"涂鸦材质节点","Grease Material Node"
"混合分析器","Blendalyzer"
"世界","world"
"设置画布的宽度和高度：","Set the width and height of the canvas:"
"设置节点的颜色：","Set the colours for nodes:"
"生成分析","Generate Analysis"
"+混合名称+","+blend_name+"
"+版本号+","+sVersion+"
"+宽度+"""' 高度='"""+高度+","+str(iWidth)+\"\"\"' height='\"\"\"+str(iHeight)+"
"+场景颜色+""","""+场景颜色1+""","""+场景颜色2+"")","+str(cScen[0]*255)+\"\"\",\"\"\"+str(cScen[1]*255)+\"\"\",\"\"\"+str(cScen[2]*255)+\"\"\")\", meshc = \"rgb(\"\"\"+str(cMesh[0]*255)+\"\"\",\"\"\"+str(cMesh[1]*255)+\"\"\",\"\"\"+str(cMesh[2]*255)+"
"网格颜色= "rgb("""+网格颜色0+""","""+网格颜色1+""","""+网格颜色2+")","+str(cObjs[0]*255)+\"\"\",\"\"\"+str(cObjs[1]*255)+\"\"\",\"\"\"+str(cObjs[2]*255)+\"\"\")\", colsc = \"rgb(\"\"\"+str(cCols[0]*255)+\"\"\",\"\"\"+str(cCols[1]*255)+\"\"\",\"\"\"+str(cCols[2]*255)+"
"对象颜色= "rgb("""+对象颜色0+""","""+对象颜色1+""","""+对象颜色2+")","+str(cMats[0]*255)+\"\"\",\"\"\"+str(cMats[1]*255)+\"\"\",\"\"\"+str(cMats[2]*255)+\"\"\")\", imgsc = \"rgb(\"\"\"+str(cImgs[0]*255)+\"\"\",\"\"\"+str(cImgs[1]*255)+\"\"\",\"\"\"+str(cImgs[2]*255)+"
"材质颜色= "rgb("""+材质颜色0+""","""+材质颜色1+""","""+材质颜色2+")","+str(cView[0]*255)+\"\"\",\"\"\"+str(cView[1]*255)+\"\"\",\"\"\"+str(cView[2]*255)+\"\"\")\", sndsc = \"rgb(\"\"\"+str(cSnds[0]*255)+\"\"\",\"\"\"+str(cSnds[1]*255)+\"\"\",\"\"\"+str(cSnds[2]*255)+"
"图像颜色= "rgb("""+图像颜色0+""","""+图像颜色1+""","""+图像颜色2+")","+str(cActs[0]*255)+\"\"\",\"\"\"+str(cActs[1]*255)+\"\"\",\"\"\"+str(cActs[2]*255)+\"\"\")\", armsc = \"rgb(\"\"\"+str(cArms[0]*255)+\"\"\",\"\"\"+str(cArms[1]*255)+\"\"\",\"\"\"+str(cArms[2]*255)+"
"视图颜色= "rgb("""+视图颜色0+""","""+视图颜色1+"","+str(cSpkr[0]*255)+\"\"\",\"\"\"+str(cSpkr[1]*255)+\"\"\",\"\"\"+str(cSpkr[2]*255)+\"\"\")\", libsc = \"rgb(\"\"\"+str(cLibs[0]*255)+\"\"\",\"\"\"+str(cLibs[1]*255)+\"\"\",\"\"\"+str(cLibs[2]*255)+"
