# Target Addon : Node Wrangler ver3.38
# User Translate : ver1.0.1
# Translate File : ver1.0.0
# Translate File Author : Bookyakuno
"tmp_viewer","tmp_viewer"
"基色","Base Color"
"基色地图的命名组件","Naming Components for Base Color maps"
"次表层颜色","Subsurface Color"
"次表层颜色图的命名组件","Naming Components for Subsurface Color maps"
"金属色","Metallic"
"金属色贴图的命名组件","Naming Components for metallness maps"
"镜面","Specular"
"镜面反射贴图的命名组件","Naming Components for Specular maps"
"法线","Normal"
"法线贴图的命名组件","Naming Components for Normal maps"
"凹凸","Bump"
"凹凸贴图的命名组件","Naming Components for bump maps"
"粗糙度","Roughness"
"粗糙度贴图的命名组件","Naming Components for roughness maps"
"光泽度","Gloss"
"光泽度贴图的命名组件","Naming Components for glossy maps"
"位移","Displacement"
"为位移贴图命名组件","Naming Components for displacement maps"
"隐藏混合节点","Hide Mix nodes"
"使用 Ctrl+Numpad0 热键（或类似功能）合并节点时，指定是折叠节点还是显示已展开选项的完整节点","When merging nodes with the Ctrl+Numpad0 hotkey (and similar) specify whether to collapse them or show the full node with options expanded"
"混合节点位置","Mix Node Position"
"使用 Ctrl+Numpad0 热键（或类似热键）合并节点时，指定新节点的位置","When merging nodes with the Ctrl+Numpad0 hotkey (and similar) specify the position of the new nodes"
"显示热键列表","Show Hotkey List"
"展开此框，显示此插件中所有功能的热键列表","Expand this box into a list of all the hotkeys for functions in this addon"
"        按名称过滤","        Filter by Name"
"仅显示名称中包含此文本的热键","Show only hotkeys that have this text in their name"
"显示原则命名标记","Show Principled naming tags"
"展开此复选框，进入原则纹理设置的所有命名标记列表","Expand this box into a list of all naming tags for principled texture setup"
"编辑 BSDF 原理设置中自动纹理检测的标签","Edit tags for auto texture detection in Principled BSDF setup"
"隐藏热键列表","Hide Hotkey List"
"通过在节点间交互画线来添加混合 RGB/着色器节点","Add a Mix RGB/Shader node by interactively drawing lines between nodes"
"混合节点","Mix Nodes"
"无需点击特定插座即可连接两个节点（自动确定","Connect two nodes without clicking a specific socket (automatically determined"
"懒连接","Lazy Connect"
"删除所有未使用输出的节点","Delete all nodes whose output is not used"
"删除未使用的节点","Delete Unused Nodes"
"删除静音节点","Delete Muted"
"删除（但重新连接，如 Ctrl-X）所有静音节点","Delete (but reconnect, like Ctrl-X) all muted nodes"
"删除空帧","Delete Empty Frames"
"删除所有没有节点的帧","Delete all frames that have no nodes inside them"
"交换两个选定节点的输出连接，或一个节点的两个相似输入连接","Swap the output connections of the two selected nodes, or two similar inputs of a single node"
"交换链接","Swap Links"
"重置背景图片的缩放和位置","Reset the zoom and position of the background image"
"重置背景","Reset Backdrop"
"添加以此命名的属性节点","Add an Attribute node with this name"
"添加 UV 贴图","Add UV map"
"预览节点","Preview Node"
"将活动节点连接至 “发射着色器 ”以进行无阴影预览，或连接至几何体节点树","Connect active node to Emission Shader for shadeless previews, or to the geometry node tree"
"发射查看器","Emission Viewer"
"选定框架","Frame Selected"
"添加一个框架节点，并将选定节点作为其父节点","Add a frame node and parent the selected nodes to it"
"标签","Label"
"框架节点的视觉名称","The visual name of the frame node"
"颜色","Color"
"框架节点的颜色","The color of the frame node"
"重新加载图像","Reload Images"
"更新所有图像节点，使其与磁盘上的文件相匹配","Update all the image nodes to match their files on disk"
"切换选定节点的类型 ","Switch type of selected nodes "
"切换节点类型","Switch Node Type"
"切换到类型","Switch to type"
"合并节点","Merge Nodes"
"合并所选节点","Merge Selected Nodes"
"模式","mode"
"所有可能的混合类型、布尔运算和数学运算","All possible blend types, boolean operations and math operations"
"合并类型","merge type"
"使用的合并类型","Type of Merge to be used"
"批量更改","Batch Change"
"批量更改混合类型和数学运算","Batch Change Blend Type and Math Operation"
"混合类型","Blend Type"
"操作","Operation"
"更改系数","Change Factor"
"更改混合节点和混合着色器节点的系数","Change Factors of Mix Nodes and Mix Shader Nodes"
"复制设置","Copy Settings"
"将活动节点的设置复制到选定节点","Copy Settings of Active Node to Selected Nodes"
"复制标签","Copy Label"
"选项","option"
"标签名称来源","Source of name of label"
"清除标签","Clear Label"
"修改所有选定节点的标签","Modify Labels of all selected nodes"
"修改标签","Modify Labels"
"添加到开头","Add to Beginning"
"添加到末尾","Add to End"
"替换文本","Text to Replace"
"替换为","Replace with"
"纹理设置","Texture Setup"
"为选定着色器添加纹理节点设置","Add Texture Node Setup to Selected Shaders"
"添加贴图节点","Add Mapping Nodes"
"为纹理创建坐标和映射节点（选定的纹理节点将被忽略）","Create coordinate and mapping nodes for the texture (ignored for selected texture nodes)"
"原理纹理设置","Principled Texture Setup"
"为原则 BSDF 添加纹理节点设置","Add Texture Node Setup for Principled BSDF"
"目录","Directory"
"用于搜索图像文件的文件夹","Folder to search in for image files"
"相对路径","Relative Path"
"尽可能设置相对于混合文件的文件路径","Set the file path relative to the blend file, when possible"
"添加重路由节点并将其链接到选定节点的输出端","Add Reroute Nodes and link them to outputs of selected nodes"
"添加重路由","Add Reroutes"
"为输出添加重路由","Add Reroutes to Outputs"
"根据各种标准将活动节点链接到选定节点","Link active node to selected nodes basing on various criteria"
"将活动节点链接到选定节点","Link Active Node to Selected"
"对齐节点","Align Nodes"
"边距","Margin"
"节点之间的空间大小","The amount of space between nodes"
"选择父节点或子节点","Select Parent or Children"
"分离所选节点的输出，保留链接的输入","Detach outputs of selected node leaving inputs linked"
"分离输出","Detach Outputs"
"链接到合成节点或材料输出节点","Link to Composite node or Material Output node"
"连接至输出","Connect to Output"
"从一个插座链接到另一个插座","Make a link from one socket to another"
"建立链接","Make Link"
"从该输出进行链接","Link from this output"
"添加图像序列","Add an Image Sequence"
"导入图像序列","Import Image Sequence"
"一次添加多个图像","Add multiple images at once"
"打开选中的图像","Open Selected Images"
"将查看器磁贴中心设置为鼠标位置","Set the viewer tile center to the mouse position"
"查看器焦点","Viewer Focus"
"将当前查看器节点保存到图像文件中","Save the current viewer node to an image file"
"保存此图像","Save This Image"
"格式","Format"
"选择要保存的文件格式","Choose the file format to save to"
"重置选区中的节点","Reset Nodes in Selection"
"重置节点","Reset Nodes"
"添加纹理设置","Add Texture Setup"
"添加原则设置","Add Principled Setup"
"将活动链接到选中","Link Active To Selected"
"复制到选中","Copy to Selected"
"预添加","prepend"
"(快速访问：Shift+W）","(Quick access: Shift+W)"
"INVOKE_DEFAULT","INVOKE_DEFAULT"
"使用着色器","Use Shaders"
"使用几何节点","Use Geometry Nodes"
"使用数学节点","Use Math Nodes"
"使用混合节点","Use Mix Nodes"
"使用 Z-Combine 节点","Use Z-Combine Nodes"
"使用 Alpha Over 节点","Use Alpha Over Nodes"
"使用几何节点合并选定节点","Merge Selected Nodes using Geometry Nodes"
"使用着色器合并所选节点","Merge Selected Nodes using Shaders"
"使用混合合并所选节点","Merge Selected Nodes using Mix"
"从","From:"
"到","To:"
"使用数学合并所选节点","Merge Selected Nodes using Math"
"批量更改所选节点","Batch Change Selected Nodes"
"批量更改混合类型","Batch Change Blend Type"
"批量更改数学运算","Batch Change Math Operation"
"从活动节点设置","Settings from Active"
"从活动节点","from Active Node"
"从链接节点","from Linked Node"
"从链接输出","from Linked Output"
"向选定节点添加重路由节点","Add Reroute Nodes to Selected Nodes"
"到所有输出","to All Outputs"
"至松散输出","to Loose Outputs"
"至链接输出端","to Linked Outputs"
"链接至选定","Link Active to Selected"
"至所有选定","To All Selected"
"无","Don"
"替换链接","Replace Links"
"使用节点名称/标签","Use Node Name/Label"
"使用输出名称","Use Outputs Names"
"顶点颜色","Vertex Colors"
"使用此材质的对象上没有顶点颜色层","No Vertex Color layers on objects with this material"
"将类型切换为...","Switch Type to..."
"无法加载已更改的节点列表。","Unable to load altered node lists."
"请重新启用节点管理器。","Please re-enable Node Wrangler."
"输入","Input"
"输出","Output"
"着色器","Shader"
"纹理","Texture"
"矢量","Vector"
"转换器","Converter"
"布局","Layout"
"滤镜","Filter"
"磨砂","Matte"
"扭曲","Distort"
"图案","Pattern"
"纹理","Textures"
"选择边框","Select frame"
"选择父边框","Select parent frame"
"多个图像","Multiple Images"
"图像序列","Image Sequence"
"重置节点","Reset Node"
"重置帧中的节点","Reset Nodes in Frame"
"繁忙绘图！","Busy Drawing!"
"仅用于存储第一个鼠标位置的内部属性","An internal property used to store only the first mouse position"
"懒人源！","Lazy Source!"
"用于存储懒连接操作中第一个节点的内部属性","An internal property used to store the first node in a Lazy Connect operation"
"懒惰目标","Lazy Target!"
"用于在懒连接操作中存储最后一个节点的内部属性","An internal property used to store the last node in a Lazy Connect operation"
"源套接字！","Source Socket!"
