"通过拖放打开文件","Open File via Drag and Drop"
"缩放","Scale"
"设置框架范围","Set frame range"
"验证网格","Validate meshes"
"始终添加缓存渲染","Always add cache render"
"是序列","Is Sequence"
"作为后台作业","As background job"
"全局缩放","Global scale"
"开始帧","Start frame"
"使用缩放 FPS","Use Scale FPS"
"更新场景 FPS","Update Scene FPS"
"更新场景持续时间","Update Scene Duration"
"循环","Loop"
"目标","Target"
"旋转转换","Rotation conversion"
"轴向前","Axis Forward"
"轴向上","Axis Up"
"全局刻度","Global Scale"
"贴花偏移","Decal Offset"
"动画偏移","Animation Offset"
"手动调整方向","Manual Orientation"
"应用变换","Apply Transform"
"自定义法线","Custom Normals"
"图像搜索","Image Search"
"阿尔法贴花","Alpha Decals"
"导入动画","Import Animation"
"导入细分数据","Import Subdivision Data"
"导入自定义属性","Import Custom Properties"
"导入枚举为字符串","Import Enums as Strings"
"忽略叶骨","Ignore Leaf Bones"
"子骨骼的力连接","Force connection of children bones"
"自动调整骨骼方向","Automatic Bone Orientation"
"使用前后旋转","Use pre/post rotation"
"用户界面选项卡","UI Tab"
"主骨骼轴","Primary Bone Axis"
"次骨骼轴线","Secondary Bone Axis"
"导入单位","Import Units"
"修复叶状骨骼","Fix Leaf Bones"
"查找骨骼链","Find Bone Chains"
"自动连接","Auto Connect"
"保留绑定信息","Keep Bind Info"
"最小骨链长度","Minimum Chain Length"
"日志级别","Log Level"
"导入包图像","Import Pack Images"
"合并顶点","Merge Vertices"
"猜测原始绑定姿势","Guess Original Bind Poses"
"导入着色","Import Shading"
"骨骼方向","Bone Dir"
"夹钳尺寸","Clamp Size"
"导入线条","Import Lines"
"导入平滑组","Import Smooth Groups"
"导入对象","Import Object"
"导入群组","Import Groups"
"导入多边形组","Import Poly Groups"
"分割","Split"
"前轴","Forward Axis"
"向上轴","Up Axis"
"隐藏操作器属性","Hide Operator Properties"
"导入场景单元","Import Scene Unit"
"导入面法线","Import Facet Normals"
"光强度","Light Intensity"
"设置画面范围","Set Frame Range"
"导入摄像机","Import Cameras"
"导入曲线","Import Curves"
"导入灯光","Import Lights"
"导入材质","Import Materials"
"导入网格","Import Meshes"
"导入体积","Import Volumes"
"导入细分方案","Import Subdivision Scheme"
"导入实例代理","Import Instance Proxies"
"仅导入可见基元","Import Visible Primitives Only"
"创建集合","Create Collection"
"导入 UV 坐标","Import UV Coordinates"
"导入颜色属性","Import Color Attributes"
"导入引导几何体","Import Guide Geometry"
"导入代理几何体","Import Proxy Geometry"
"导入最终渲染几何图形","Import Final Render Geometry"
"设置材质混合","Set Material Blend"
"监听器","Listener"
"Alembic 属性","Alembic Properties"
"动作捕捉（BVH）属性","Motion Capture (BVH) Properties"
"FBX 属性","FBX Properties"
"Collada 属性","Collada Properties"
"glTF 属性","glTF Properties"
"OBJ 属性","OBJ Properties"
"PLY 属性","PLY Properties"
"STL 属性","STL Properties"
"USD 属性","USD Properties"
"X3D 属性","X3D Properties"
