"检查更新","Check Update"
"检查中...","Checking..."
"下载","Download"
"您的","You"
"名字","Name"
"标记","Mark"
"图标","Icon"
"标记助手","Mark Helper"
"清除资产","Clear Asset"
"类型","Type"
"选定的物体","Selected objects"
"选定的材质（排除物体）","Selected materials (Exclude objects)"
"分开的物体和材质","Objects and materials separately"
"选定的世界","Selected worlds"
"无将","None"
"节点组标记为资产","Mark Node Group as Asset"
"将编辑树标记为资产","Mark Edit Tree as Asset"
"选择本地资产并保存文件","Select local assets and save file"
"分辨率","Resolution"
"样本","Samples"
"去噪","Denoise"
"覆盖渲染","Overwrite"
"时覆盖现有文件后缀","Overwrite existing files while rendering"
"样式","Suffix"
"这","Style"
"可能需要几分钟","This could take a few minutes"
"渲染世界资产预览","Render World Asset Preview"
"场景","Scene"
"渲染材质资产预览","Render Material Asset Preview"
"位移","Displacement"
"资产助手","Asset Helper"
"INVOKE_DEFAULT","INVOKE_DEFAULT"
"将预览设置为选定的资产","Set Preview to Selected Assets"
"匹配类型","Match Type"
"匹配带有后缀的图像名称/添加到资产名称","Match the image name with suffix removed/add to the asset name"
"选定的资产将设置为相同的预览","Selected assets will be set to the same preview"
"快照活动对象","Snapshot Active Object"
"来自活动和设置预览","Snapshot from Active and Set Preview"
"相机的快照","Camera"
"从哪里获取","Where to take the snapshot from"
"快照渲染预览的分辨率","Resolution to render the preview"
"清除选定的资产","Clear Selected Assets"
"设置虚假用户","Set Fake User"
"向选定的资产添加标签标签","Add Tag to Selected Assets"
"向","Tag"
"选定的资产添加作者作者从选定的资产中","Add Author to Selected Assets"
"删除标签","Author"
"清除","Remove Tag from Selected Assets"
"选定的资产（设置虚假用户）","Clear Selected Assets (Set Fake User)"
"弹出着色器编辑器窗口","Popup shader editor window"
"弹出编辑器","Pop Editor"
"区域类型","Area Type"
"编辑器文本","Editor Text"
"批量图像操作","Batch Image Operate"
"转换/裁剪/调整剪贴板中的图像","Convert / Crop / Resize Image from Clipboard"
"大小","Crop"
"裁剪再生","Regenerate"
"当存在预览时，重新生成它","When there exist preview, regenerate it"
"跳过大图跳过大图文件 (>20MB)","Skip big image"
"色彩空间生成后","Heavy image file(>20MB) will be skipped"
"复制","Color Space"
"（仅限 Win）","Copy after generate (Only Win)"
"生成后将文件复制到剪贴板","Copy files to clipboard after generate"
"导入插件","Import Addon"
"启用插件","Enable Addon"
"从单个文件导入材质并将其分配给活动对象","Import material from a single file and assign it to active object"
"导入并分配材质","Import and Assign Material "
"导入并分配世界","Import and Assign World "
"将 IES 文件导入为灯光","Import IES file as light"
"从 URL 导入 PBR","Import PBR from URL"
"从 URL 导入","Import a PBR from a URL"
"PBR 要导入的 PBR 的","URL"
"URL URL","URL of the PBR to import"
"将 Zip 导入为 PBR 材质","Import Zips as PBR Materials"
"spio_from_clipboard.png ","spio_from_clipboard.png"
"script_export_blend.py","script_export_blend.py"
"获取此插件的首选项","get preferences of this plugin"
"导出 BLEND","Export BLEND"
"按住 Alt 以作为资产导入","Hold Alt to import as asset"
"附加...","Append..."
"链接...","Link..."
"现在仅限 Win，需要测试 mac ","Win only now, need to test mac"
"IO 模板","IO template"
"使用默认弹出窗口","Import with default popup"
"导入 使用 blender 的默认设置导入","Import with blender's default setting"
"blenderFileDefault","blenderFileDefault"
