Decides if there should be a limit of how many bones can be referenced per vertex. The limit is set by MaxBonePerVertex.,Decides if there should be a limit of how many bones can be referenced per vertex. The limit is set by MaxBonePerVertex.
"Decides the maximum limit of how many bones can be connected to each vertex. If for example set to 1, then each vertex will only be linked to 1 bone.","Decides the maximum limit of how many bones can be connected to each vertex. If for example set to 1, then each vertex will only be linked to 1 bone."
"Defines the output pixel color space to use. Please note that all internal processing is done in linear space, including super sampling mixing. Conversion to gamma space is done after mixing, right before conversion to the output pixel format.","Defines the output pixel color space to use. Please note that all internal processing is done in linear space, including super sampling mixing. Conversion to gamma space is done after mixing, right before conversion to the output pixel format."
"Deprecated: Use NumberOfColumns and NumberOfRows instead. If NumberOfColumns or NumberOfRows are nonzero, they will be used instead. Determines the number of views generated for the flip book impostor. Value has to be a squared number.","Deprecated: Use NumberOfColumns and NumberOfRows instead. If NumberOfColumns or NumberOfRows are nonzero, they will be used instead. Determines the number of views generated for the flip book impostor. Value has to be a squared number."
Determines how many billboards to create. A large BillboardDensity means that more billboards will be created to represent spatially spread out triangles better. Having a low BillboardDensity means that fewer billboards will be created and the distances from original leaves to billboards will get larger. The range is 0->1.,Determines how many billboards to create. A large BillboardDensity means that more billboards will be created to represent spatially spread out triangles better. Having a low BillboardDensity means that fewer billboards will be created and the distances from original leaves to billboards will get larger. The range is 0->1.
"Determines the geometric complexity of the billboards. The value range is 0->1, where a value of Zero means that the billboards will be simple and not follow the projection closely. And a value of One means that the geometric complexity will be increased and follow the projection closely.","Determines the geometric complexity of the billboards. The value range is 0->1, where a value of Zero means that the billboards will be simple and not follow the projection closely. And a value of One means that the geometric complexity will be increased and follow the projection closely."
"Determines the maximum amount of planes that are computed for the scene initially. When this criteria is met, it is not guaranteed that all triangles in the scene have been accurately mapped to a billboard. It is not a definite hard limit on the number of billboards because the planes can be split up into multiple planes when they´re being cut to match their projections. For instance: if GeometricComplexity is high and there are two completely separated projections on a billboard, then the billboard will be split up into two billboards.","Determines the maximum amount of planes that are computed for the scene initially. When this criteria is met, it is not guaranteed that all triangles in the scene have been accurately mapped to a billboard. It is not a definite hard limit on the number of billboards because the planes can be split up into multiple planes when they´re being cut to match their projections. For instance: if GeometricComplexity is high and there are two completely separated projections on a billboard, then the billboard will be split up into two billboards."
"Determines the number of columns in the output atlas. If both NumberOfColumns and NumberOfRows are left at zero, the deprecated NumberOfViews will be used instead.","Determines the number of columns in the output atlas. If both NumberOfColumns and NumberOfRows are left at zero, the deprecated NumberOfViews will be used instead."
Determines the triangle reduction ratio for the trunk part that has been separated from the foliage part based on the ´separate foliage´ settings.,Determines the triangle reduction ratio for the trunk part that has been separated from the foliage part based on the ´separate foliage´ settings.
Determines whether to enable separation between foliage and trunk in a vegetation scene. Use the SeparateFoliage[...] settings to determine how parts are separated.,Determines whether to enable separation between foliage and trunk in a vegetation scene. Use the SeparateFoliage[...] settings to determine how parts are separated.
Determines whether to prioritize accurately mapping triangles with higher visibility to billboards.,Determines whether to prioritize accurately mapping triangles with higher visibility to billboards.
"Determines whether to prioritize generating vertical billboards which means they will be optimized to be viewed from the side. Otherwise, if the geometry in the input scene is mostly facing upwards/downwards then the generated billboards will also be facing upwards/downwards which makes them not well suited to being viewed from the side.","Determines whether to prioritize generating vertical billboards which means they will be optimized to be viewed from the side. Otherwise, if the geometry in the input scene is mostly facing upwards/downwards then the generated billboards will also be facing upwards/downwards which makes them not well suited to being viewed from the side."
Determines which input material channel to use for opacity. Some standard material channels are defined as SG_MATERIAL_CHANNEL_[ CHANNEL ] but arbitrary names for user created channels works also.,Determines which input material channel to use for opacity. Some standard material channels are defined as SG_MATERIAL_CHANNEL_[ CHANNEL ] but arbitrary names for user created channels works also.
"Determines which method to use when aggregating the UVs. TextureSizeProportions - Aggregated UV charts will be scaled to keep their relative pixel density relative to all other UV charts. The user can still set the size of the output texture maps. SurfaceArea - Aggregated UV charts will have their size set based on its actual geometrical size. OriginalPixelDensity - The combined atlas will be resized to fit each chart so that all charts retain the same amount of pixels as they originally had. This will override any manually set texture size. UVSizeProportions - Aggregated UV charts will have their size set based on its original UV size, disregarding the size of the texture they are used in.","Determines which method to use when aggregating the UVs. TextureSizeProportions - Aggregated UV charts will be scaled to keep their relative pixel density relative to all other UV charts. The user can still set the size of the output texture maps. SurfaceArea - Aggregated UV charts will have their size set based on its actual geometrical size. OriginalPixelDensity - The combined atlas will be resized to fit each chart so that all charts retain the same amount of pixels as they originally had. This will override any manually set texture size. UVSizeProportions - Aggregated UV charts will have their size set based on its original UV size, disregarding the size of the texture they are used in."
"Determines which method to use when aggregating the UVs. TextureSizeProportions - Aggregated UV charts will be scaled to keep their relative pixel density relative to all other UV charts. The user can still set the size of the output texture maps. SurfaceArea - Aggregated UV charts will have their size set based on its actual geometrical size. OriginalPixelDensity - The combined atlas will be resized to fit each chart so that all charts retain the same amount of pixels as they originally had. This will override any manually set texture size. UVSizeProportions - Aggregated UV charts will have their size set based on its original UV size, disregarding the size of the texture they are used in.´);.","Determines which method to use when aggregating the UVs. TextureSizeProportions - Aggregated UV charts will be scaled to keep their relative pixel density relative to all other UV charts. The user can still set the size of the output texture maps. SurfaceArea - Aggregated UV charts will have their size set based on its actual geometrical size. OriginalPixelDensity - The combined atlas will be resized to fit each chart so that all charts retain the same amount of pixels as they originally had. This will override any manually set texture size. UVSizeProportions - Aggregated UV charts will have their size set based on its original UV size, disregarding the size of the texture they are used in.´);."
Determines which method to use when generating the texture coordinates. Parameterizer generate from scratch based on the geometry. ChartAggregator generate based on the original texture coordinates.,Determines which method to use when generating the texture coordinates. Parameterizer generate from scratch based on the geometry. ChartAggregator generate based on the original texture coordinates.
Enable bone count as a reduction target. The reducer will stop when the set bone count has been reached.,Enable bone count as a reduction target. The reducer will stop when the set bone count has been reached.
Enable bone ratio as a reduction target. The reducer will stop when the set bone-ratio has been reached.,Enable bone ratio as a reduction target. The reducer will stop when the set bone-ratio has been reached.
Enable max deviation as a reduction target. The reducer will stop when the set max deviation has been reached.,Enable max deviation as a reduction target. The reducer will stop when the set max deviation has been reached.
Enable on screen size as a reduction target. The reducer will stop when the set on screen size has been reached.,Enable on screen size as a reduction target. The reducer will stop when the set on screen size has been reached.
"Enable Polygon count as a reduction target. The reducer will stop when the set Polygon count has been reached. Note that a pair of two triangles linked by the QuadFlags field to designate a quad counts as *one* polygon, not two. Also note that using this target will disable reduction for continuous areas of triangles within the quad mesh.","Enable Polygon count as a reduction target. The reducer will stop when the set Polygon count has been reached. Note that a pair of two triangles linked by the QuadFlags field to designate a quad counts as *one* polygon, not two. Also note that using this target will disable reduction for continuous areas of triangles within the quad mesh."
"Enable Polygon ratio as a reduction target. The reducer will stop when the set Polygon-ratio has been reached. Note that a pair of two triangles linked by the QuadFlags field to designate a quad counts as *one* polygon, not two. Also note that using this target will disable reduction for continuous areas of triangles within the quad mesh.","Enable Polygon ratio as a reduction target. The reducer will stop when the set Polygon-ratio has been reached. Note that a pair of two triangles linked by the QuadFlags field to designate a quad counts as *one* polygon, not two. Also note that using this target will disable reduction for continuous areas of triangles within the quad mesh."
Enable triangle count as a reduction target. The reducer will stop when the set triangle count has been reached.,Enable triangle count as a reduction target. The reducer will stop when the set triangle count has been reached.
Enable triangle ratio as a reduction target. The reducer will stop when the set triangle-ratio has been reached.,Enable triangle ratio as a reduction target. The reducer will stop when the set triangle-ratio has been reached.
"Enables culling object insides and permits use of GeometryCullingSettings. If both this and visibility related culling is enabled, this is run first, then visibility.","Enables culling object insides and permits use of GeometryCullingSettings. If both this and visibility related culling is enabled, this is run first, then visibility."
"Enables or disables the bone reduction processing that actually removes bones. Even with this flag off, the bones per vertex can still be limited.","Enables or disables the bone reduction processing that actually removes bones. Even with this flag off, the bones per vertex can still be limited."
"Export mode for referenced external files in the scene, such as references to textures. File formats which do not support external references will ignore the setting and always embed the data.","Export mode for referenced external files in the scene, such as references to textures. File formats which do not support external references will ignore the setting and always embed the data."
"Flips the winding of the triangles of the output, making frontfaces backfaces and vice versa. Good for conservative z testing.","Flips the winding of the triangles of the output, making frontfaces backfaces and vice versa. Good for conservative z testing."
"Generate unique material names if set to true, by replacing the default scheme of appending a sequential material index to the name with appending a GUID. This will make the material names unique each time the pipeline is run, even on the same input scene.","Generate unique material names if set to true, by replacing the default scheme of appending a sequential material index to the name with appending a GUID. This will make the material names unique each time the pipeline is run, even on the same input scene."
