".GPM.fill",".GPM.fill"
"在Blender预览系统中处理图标的单例类。","Singleton class for handling icons in the Blender previews system."
"从Blender中删除模板的图标预览。","Remove the template's icon previews from Blender."
"从图标名称中获取内部Blender图标ID。","Get an internal Blender icon ID from an icon name."
"添加热键项","Add hotkey entry"
"添加快捷键","Add Hotkeys"
"油脂铅笔","Grease Pencil"
"顶点的油漆","Vertex Paint"
"builtin_brush。模糊","builtin_brush.Blur"
"builtin_brush。画","builtin_brush.Draw"
"图像油漆","Image Paint"
"builtin_brush。软化","builtin_brush.Soften"
"builtin_brush。涂片","builtin_brush.Smear"
"清除存储在addon_keymaps中的所有附加级keymap热键","clears all addon level keymap hotkeys stored in addon_keymaps"
"deep_paint","deep_paint"
"模态对齐","Modal Snap Align"
"启用对齐","Enable Snap Align"
"禁用对齐","Disable Snap Align"
"将所有选择的对象转换应用于其数据","Apply each of all selected objects transformation to it's data"
"应用全部变换","Apply All Transform"
"将所有选定的对象转换为网格对象","Convert each of all selected objects into Mesh Objects"
"视觉几何到网格","Visual Geometry to Mesh"
"重新启动搅拌机","Restart Blender"
"Veda重量油漆操作员","Veda Weight Paint Operator"
"Veda重量漆","Veda Weight Paint"
"将修饰符从活动对象复制到选定对象","Copies modifiers from active object to selected"
"吠陀经TexPaint","Veda TexPaint"
"AAA","AAA"
"将修饰符复制到“已选”","Copy Modifiers to Selected"
"重复活性物质","Duplicate active material"
"复制并重命名材质","Duplicate & Rename Material"
"将材料从活动对象链接到选定对象","Links material from active object to selected"
"将活动材料链接到“选定”","Link Active Material to Selected"
"Veda设置纹理颜色预设","Veda Set Texture Color Preset"
"设置纹理颜色预设为黑色或白色","Set Texture Color Preset Black or White"
"黑色的","Black"
"白色","White"
"吠陀设置纹理颜色","Veda Set Texture Color"
"为所有选定的对象设置纹理颜色","Set Texture Color for all selected objects"
"Veda设置顶点颜色预设","Veda Set Vertex Color Preset"
"为所有选定的对象设置顶点颜色预设","Set Vertex Color Preset for all selected objects"
"颜色","Color"
"概述VGroup切换器","Outline VGroup Toggler"
"在修改器中切换Outline VGroup","Toggle Outline VGroup in Modifier"
"Veda设置顶点颜色","Veda Set Vertex Color"
"设置所有选定对象的顶点颜色","Set Vertex Color for all selected objects"
"吠陀翻转法","Veda Flip Normals"
"翻转法线为所有选定的对象","Flip Normals for all selected objects"
"用松动部件分开","Separate by Loose Parts"
"用松散的部件分开选定的对象","Separate selected object by loose parts"
"切换在选定对象上显示线框的操作符。","Operator to toggle show wireframe on selected object."
"显示线","Show Wire"
"操作人员使用螺丝调节剂","Operator to apply the screw modifier"
"应用线框修改器","Apply Wireframe Modifier"
"应用螺丝修改器","Apply Screw Modifier"
"操作符应用位移修饰符","Operator to apply the displace modifier"
"应用取代","Apply Displace"
"操作符来应用修饰符","Operator to apply the Soldify modifier"
"应用凝固","Apply Solidify"
"运用光滑","Apply Smooth"
"操作符来应用十进制修饰符","Operator to apply the decimate modifier"
"应用十进制修饰符","Apply Decimate Modifier"
"应用体素网格","Apply Voxel Remesh"
"操作符从对象模式应用细分集","Operator to apply subdivide sesh from object mode"
"应用细分","Apply Subdivide"
"圆的再分","Round Subd"
"操作符来应用限定符","Operator to apply the Quadify"
"应用Quadify","Apply Quadify"
"操作符来应用三角测量","Operator to apply the Triangulation"
"应用三角","Apply Triangulation"
"中期重置GP到网格道具","Mid Reset GP to Mesh Props"
"Res中期","Mid Res"
"重置GP为网格道具","Reset GP to Mesh Props"
"重置GP为Mesh","Reset GP to Mesh"
"单独的","Separate"
"操作符将抽取修饰符应用于曲线对象","Operator to apply the decimate modifier on the curve objects"
"应用曲线抽取","Apply Curve Decimate"
"操作员将DP World添加到当前场景","Operator to add DP World to current scene"
"添加DP日光","Add DP Sun Light"
"_backup_","_backup_"
"添加DP World设置","Add DP World Settings"
"操作者设置预设材料","Operator to set preset materials"
"设置预设材质","Set Preset Material"
"DPM","DPM"
"DPM2","DPM2"
"大纲","Outline"
"DPM叶","DPM Leaf"
"DPM混合","DPM Mix"
"梯度的世界","Gradient World"
"DPM特克斯","DPM Tex"
"DPMα","DPM Alpha"
"影子只","Shadow Only"
"叶轮廓","Outline Leaf"
"删除","Remove"
"去除材料","Remove Materials"
"同步驱动","Sync Driver"
"设置DP效用编织","Set DP Utility Braid"
"操作人员设置实用程序","Operator to set utility"
"设置DP效用散射","Set DP Utility Scatter"
"葡萄树创","Vine Gen"
"树创","Tree Gen"
"散射","Scatter"
"交换","Swap"
"自旋","Spin"
"NP","NP"
"正常的脸","Normal Face"
"应用","Apply"
"编织","Braid"
"设置DP实用程序","Set DP Utility"
"添加Skypaint","Add Skypaint"
"添加RenderCam","Add RenderCam"
"删除Skypaint","Remove Skypaint"
"删除RenderCam","Remove RenderCam"
"附加RenderCam","Attach RenderCam"
"分离RenderCam","Detach RenderCam"
"添加植物","Add Plants"
"去除植物","Remove Plants"
"添加树","Add Trees"
"删除树","Remove Trees"
"添加的房子","Add house"
"删除的房子","Remove house"
"添加misc","Add misc"
"删除misc","Remove misc"
"Smart Snap Origin Collection","Smart Snap Origin Collection"
"智能捕捉光标","Smart Snap Cursor"
"Smart Snap起源","Smart Snap Origin"
"重置数据处理机","Reset DPM"
"智能UV项目","Smart UV project"
"添加空白绘制","Add Blank Draw"
"用润滑脂铅笔创建一个新的网格对象","Create a new Mesh Object from Grease Pencil"
"GP到网格线和填充","GP to Mesh Line & Fill"
"GP到Mesh","GP to Mesh"
"用润滑脂铅笔创建一个新的曲线对象","Create a New Curve Object from Grease Pencil"
"GPencil到Mesh Line","GPencil to Mesh Line"
"曲线毁掉","Curve Decimate"
"倾斜曲线45°","Tilt Curve 45°"
"连接线路","Connect Line"
"删除的全科医生","Delete GP"
"用油脂笔创建一个新的曲线网格对象","Create a New Curve Mesh Object from Grease Pencil"
"GPencil to Curve Mesh","GPencil to Curve Mesh"
"GPencil到网格填充","GPencil to Mesh Fill"
"保证金","Margin"
"定义投影的负边缘","Define the negative margin of the projection"
"片密度","Slice density"
"定义切割的密度","Define the density of the cuts"
"应用四","Apply Quad"
"dp_empty","dp_empty"
"：:","::"
"颜色属性","Color Attribute"
"Veda添加纹理油漆槽","Veda Add Texture Paint Slot"
"添加基础纹理油漆槽","Add Base Texture Paint Slot"
"名字","Name"
"宽度","Width"
"高度","Height"
"α","Alpha"
"预设","Presets"
"上校","Col"
"Veda颜色属性操作符菜单","Veda Color Attribute Operator Menu"
"添加特克斯","Add Tex"
"保存","Save"
"设置纹理颜色","Set Texture Color"
"半径","Radius"
"强度","Strength"
"没有纹理","No Textures"
"添加节点","Add Nodes"
"Veda重量油漆操作员菜单","Veda Weight Paint Operator Menu"
"use_pressure_strength","use_pressure_strength"
"use_unified_weight","use_unified_weight"
"use_unified_size","use_unified_size"
"use_pressure_size","use_pressure_size"
"use_unified_strength","use_unified_strength"
"画","Draw"
"减去","Subtract"
"分配","Assign"
"选择","Select"
"取消选择","Deselect"
"重量","Weight"
"工具提示","Tooltip"
"Quadify","Quadify"
"仅选面","Selected Faces Only"
"只切割选定的面","Only cut the selected faces"
"三角测量","Triangulation"
"大小","Size"
"边界","Boundary"
"随机(慢)","Randomize (slower)"
"随机化","Randomize"
"随机种子","Random Seed"
"重复","Repeat"
"Cmd","Cmd"
"Keymap列表:","Keymap List:"
"重新启动","Restart"
"dp_show_keymaps","dp_show_keymaps"
"显示键盘映射","Show Keymaps"
"启用时，显示keymap列表","When enabled, displays keymap list"
"腐烂","rot"
"速度","speed"
"DPM控制","DPM Control"
"吠陀对象属性","Veda Object Properties"
"语言","Language"
"折射","Refraction"
"渲染预设","Render Presets"
"颜色属性切换","Color Attribute Toggle"
"纹理属性切换","Texture Attribute Toggle"
"Skypaint选择","Skypaint Select"
"使用表达式","Use Expression"
"抵消","Offset"
"成比例的大小","Proportional Size"
"大批杀害比","Decimation Ratio"
"取代的力量","Displace Strength"
"置换云大小","Displace Cloud Size"
"光滑迭代","Smooth Iterations"
"体素的大小","Voxel Size"
