"超级父对象","Super Parent"
"重置笼子","Refit Cage"
"默认网格颜色","Default Mesh Color"
"颜色选择器","color picker"
"默认类型","Default Type"
"自动重置笼子","Refit Cage Automatically"
"为选定对象添加父对象，保持层级结构","Add Parent for selected objects, with keeping hierarchy structure"
"类型","Type"
"尺寸","Size"
"原点在光标处","Origin at Cursor"
"显示在前面","Show in Front"
"显示彩色小工具","Show Colored Gizmo"
"整个集合","Whole Collection"
"子集合","Sub-Collections"
"颜色","Color"
"名称","Name"
"刷新父对象笼子","Refresh Parent Cage"
"笼子小工具","Cage Gizmo Widget"
"彩色线框小工具","Colored Wire Gizmo"
"对象","object"
"此类型对象尚无彩色小工具","No Color Gizmo for this type of object yet"
"显示小工具","Show Gizmo"
