"在屏幕外绘制元素","Draw elements offscreen"
"注册绘制回调","Register Draw Callback"
"工作平面要求选项","Workplane requirement options"
"对象模式","Object Mode"
"返回包含扩展实体和约束的场景字典表示","Returns dictionary representation of scene with extended entities and constraints"
"遍历所有属性并偏移实体指针","Go through all properties and offset entity pointers"
"遍历元素字典中的每个属性","Iterate through every property in elements dictionary"
"浏览所有索引，并根据索引映射替换索引","Go through all indices and replace indices based on index mapping"
"收集所有实体的 slvs_index 并进行排序","Collect and sort slvs_index's of all entities"
"将场景的 CAD Sketcher 数据保存到文件中","Saves CAD Sketcher data of scene into file"
"用文件中存储的实体和约束条件重写场景","Overwrites scene with entities and constraints stored in file"
"英制精度","Imperial Precision"
"英制单位的测量精度","Measurement Precision for Imperial Units"
"更新实体的类型索引，保持本地索引不变","Updates type index of entities keeping local index as is"
"以元组形式返回插件版本，例如 (0, 27, 1)","Return addon version as a tuple e.g. (0, 27, 1)"
"以字符串形式返回插件版本","Return addon version as string"
"从清单文件中返回所需的最小 Blender 版本","Returns the minimal required blender version from manifest file"
"从本地 .whl 文件或 PyPi 安装模块","Install module from local .whl file or from PyPi"
"安装","Install"
"主题预设","Theme Presets"
"显示调试设置","Show Debug Settings"
"显示主题设置","Show Theme Settings"
"展开此框可显示各种主题设置","Expand this box to show various theme settings"
"软件包文件路径","Package Filepath"
"模块的文件路径","Filepath to the module"
,"'"
"记录级别","Logging Level"
"隐藏非活动限制","Hide inactive Constraints"
"让所有实体都可选择","Make all Entities Selectable"
"强制实体重绘","Force Entity Redraw"
"小数精度","Decimal Precision"
"逗号后的位数","Number of digits after the comma"
"角度精度","Angle Precision"
"角度十进制精度","Angle decimal precision"
"自动渐变对象","Auto Fade Objects"
"在草图模式下渐变曲线/网格","Fade curves/meshes while in sketch mode"
"实体比例","Entity Scale"
"工作平面尺寸","Workplane Size"
"图标比例","Icon Scale"
"文字大小","Text Size"
"箭头缩放","Arrow Scale"
"对齐视图","Align View"
"激活草图时自动将视图与工作平面对齐。","Automatically align view to workplane when activating a sketch."
"求解器模块","Solver Module"
"已注册","Registered"
"路径： ","Path: "
"模块不是","Module isn"
"从文件安装","Install from File"
"从 PIP 安装","Install from PIP"
"常规","General"
"单元","Units"
"高级","Advanced"
"主题","Theme"
"默认","Default"
"突出显示","Highlight"
"已选择","Selected"
"已选高亮度","Selected Highlight"
"非活动","Inactive"
"不活动 已选择","Inactive Selected"
"固定","Fixed"
"失败","Failed"
"高亮显示失败","Failed Highlight"
"参考测量","Reference Measurement"
"参考突出显示","Reference Highlight"
"文本","Text"
"文本高亮","Text Highlight"
"实体","Entity"
"约束","Constraint"
"角度约束 Gizmo 组","Angle Constraint Gizmo Group"
"高亮显示小工具时覆盖默认颜色","Overwrite default color when gizmo is highlighted"
"约束小工具组","Constraint Gizmo Group"
"显示尺寸约束的值","Display the value of a dimensional constraint"
"直径小工具组","Diameter Gizmo Group"
