"设置","Settings"
"导出文件夹","Export Folder"
"PAKs 文件夹","PAKs Folder"
"调试模式","Debug Mode"
"使用 PerfPatch","Use PerfPatch"
"在属性中创建面板 (N)","Creates a Panel in Properties(N)"
"地图导入器","Map Importer"
"地图：","Map :"
"导入贴花","Import Decals"
"导入灯光","Import Lights"
"合并 UMAP","Combine UMAPs"
"合并方法：","Combine Method :"
"纹理：","Textures :"
"导入地图！","Import Map!"
"动画工具","Animation Tools"
"UB 设置","UB Setup"
"LB 设置","LB Setup"
"脸部设置","Face Setup"
"扭曲修复","Twist Fix"
"脸部修复","Face Fix"
"积分：twitter/r4tasan","Credits : twitter/r4tasan"
"其他","Other"
"捐赠","Donate"
"启动 UModel","Start UModel"
"导入地图","Import Map"
"上半身动画准备","UBanim preparation"
"下半身动画准备","LBanim preparation"
"面部动画准备","Faceanim preparation"
"VALORANT 动画","VALORANT Animation"
"运行 UModel UI","Run UModel UI"
"如果您喜欢这个插件，可以给我买杯咖啡 
","You can buy me a coffee if you like this addon 
 "
"感谢所有支持 <3","All the support is appreciated <3"
"调试","Debug"
"调试模式","Debug mode"
"Paks 路径","Paks Path"
"paks 文件夹的路径","Path to your paks folder"
"导出路径","Export Path"
"导出文件夹的路径","Path to your export folder"
"检查路径","Check for Paths"
"路径检查","Path check"
"导入贴花","Import decals"
"导入灯光","Import lights"
"合并 Umaps","Combine Umaps"
"合并 umaps","Combine umaps"
"合并方法","Combine Method"
"纹理控制","Texture Control"
"选定的地图","Selected Map"
"脚本","Script Path"
"路径脚本文件夹的路径","Path to your script folder"
"大大加快，但请谨慎使用。建议之后重启。","Huge speed-up, but use it with caution. A restart is recommended after."
"是否注入","Is Injected"
"IsDLLInjected","IsDLLInjected"
"代表列表中项目的属性组。","Group of properties representing an item in the list."
"名称","Name"
"此项目的名称","A name for this item"
"演示 UIList。","Demo UIList."
"向列表中添加新项目。","Add a new item to the list."
"添加新项目","Add a new item"
"my_list 的索引","Index for my_list"
"材质","Material"
"Col","Col"
"顶点 颜色","Vertex Color"
"无畸变贴图","VALORANT_Decal"
"全息影像","VALORANT_Hologram"
"变光效果","VALORANT_Lightshift"
"W/V 映射","VALORANT_W/V_Mapping"
"屏幕显示","VALORANT_Screen"
"基础材质","VALORANT_Base"
"混合材质","VALORANT_Blend"
"自发光滚动","VALORANT_Emissive_Scroll"
"精灵光晕","VALORANT_SpriteGlow"
"瀑布效果","VALORANT_Waterfall"
"瀑布映射","VALORANT_Waterfall_Mapping"
"通风烟雾","VALORANT_Ventsmoke"
"通风烟雾映射","VALORANT_Ventsmoke_Mapping"
"天空盒","VALORANT_Skybox"
"非颜色数据","Non-Color"
"原始","Raw"
"额外 UV","EXTRAUVS"
"顶点颜色组 0","PSKVTXCOL_0"
"未使用的骨骼","Unused bones"
"无子项","No children"
"（%s）%s ","(%s) %s"
"PSA/PSK","PSA/PSK"
"替代骨骼长度。如果骨骼长度符合","Alt. bone length."
"骨骼长度比，","Bone length will be set to this value IF it"
"则将设置为此值","Bone length ratio"
"分割 UV 数据","Split UV data"
"尝试根据楔形的材质索引（UV-Vertex-MateralIndex）将 UV 点（坐标）放置到不同的 UV 贴图上。","Try to place UV points(coords) to different UV maps, according to material index of the Wedge(UV-Vertex-MateralIndex)."
"重新调整骨骼","Reorient bones"
"骨骼将与子项轴对齐。","Bones will be axis-aligned to children."
"直接重新定位","Reorient directly"
"直接给子项。\n * 不会保留轴。\n * 孤立骨骼 - 从父级头部方向\n * 只有一个非孤立骨骼 - 到该骨骼。","Directly to children.\n * Axes will not be preserved.\n * Orphan bones - in direction from parent head\n * With only one non-orphan bone - to that one."
"导入模式。Don * 由 PSK 和 PSA 使用。 ","Import mode."
"\ ","Don"
" n * 如果骨架方向不正确，请取消选中它。"," * Used by PSK and PSA.\n * Uncheck it, if skeleton is badly oriented."
"前缀动作名称","Prefix action names"
"使用文件名作为动作名称的前缀。","Use the filename as a prefix for the action name."
"所有动作到 NLA 轨道","All actions to NLA track"
"将所有导入的动作添加到新的 NLAtrack。一个接一个。\n从最后开始。\n查看 \","Add all imported actions to new NLAtrack. One by one.\nStarting at the very end.\nLook at \"
"更新时间轴范围","Update timeline range"
"设置时间轴范围以匹配导入的动作长度。\n * 如果 \","Set timeline range to match imported action[s] length.\n * If \"
"仅旋转","Rotation only"
"仅创建旋转关键帧。","Create only rotation keyframes."
"缩小","Scale down"
" * 由 PSK 和 PSA 使用。\n * 将坐标乘以 0.01\n * 从 \ "," * Used by PSK and PSA.\n * Multiply coordinates by 0.01\n * From \"
"sRGB 顶点颜色","sRGB vertex color"
"应用区分","Apply "
"大小写","Case-Sensitive"
"导入动画时执行区分大小写的骨骼名称比较。","Perform case-sensitive bone name comparison when importing animations."
"隐藏没有权重和子项的骨骼\n* 选择带有骨架修改器的网格。\n* ALT + H 显示（在姿势模式 (CTRL + TAB)）","Hide bones with no weights and no children\n* Select mesh with armature modifier.\n* ALT + H to reveal (in Pose Mode(CTRL + TAB))"
"隐藏无用骨骼","Hide useless bones"
"导入 PSK","Import PSK"
"导入 PSA ","Import PSA"
"PSK/PSA 导入","PSK/PSA Import"
"??","??"
"网格和骨架：","Mesh and skeleton:"
"动画：","Animation:"
"骨架网格 (.psk)","Skeleton Mesh (.psk)"
"骨架动画 (.psa)","Skeleton Anim (.psa)"
