选择相似,Select Similar
从所有未选中的岛屿中，选择所有与当前至少一个已选岛屿形状相似的岛屿。关于相似性检测的更多信息请点击帮助按钮,"From all unselected islands, selects all islands which have similar shape to at least one island which is currently selected. For more info regarding similarity detection click the help button"
对齐相似（堆叠）,Align Similar (Stack)
对齐选中的岛屿，使相似的岛屿相互堆叠在一起。关于相似性检测的更多信息请点击帮助按钮,"Align the selected islands, so islands which are similar are stacked on the top of each other. For more info regarding similarity detection click the help button"
按相似性分组,Group By Similarity
按相似性对所有选中的岛屿进行分组，并将生成的组保存在分组方案中,Group all selected islands by similarity and save generated groups in a grouping scheme
最小组大小,Minimum Group Size
所有大小低于此参数值的相似组将被忽略，其岛屿将重新分配给默认组（{}）。如果未使用此功能（值设为1），默认组将为空,"All similarity groups of size lower than the value of this parameter will be ignored and their islands will be reassigned to the default group ({}). If the functionality is not used (value set to 1), the default group will be empty"
警告：操作将覆盖现有方案中的所有组。,WARNING: operation will overwrite all groups in the existing scheme.
拆分重叠岛屿,Split Overlapping Islands
系统性地将重叠岛屿移动到相邻图块（+X轴方向），使操作完成后没有选中的岛屿相互重叠,"Methodically move overlapping islands to adjacent tiles (in the +X axis direction), so that no selected islands are overlapping each other after the operation is done"
撤销岛屿拆分,Undo Island Split
撤销上次岛屿拆分操作——将所有选中的岛屿移动到拆分前的原始位置。警告：该操作仅处理当前选中的岛屿，因此要将岛屿移回原始位置，请确保运行撤销操作时该岛屿已被选中,"Undo the last island split operation - move all selected islands to their original locations before split. WARNING: the operation only process currently selected islands so in order to move an island to its original location, you have to make sure the island is selected when an Undo operation is run"
对齐,Aligning
对齐选项,Aligning Options
对齐优先级,Align Priority
拆分重叠,Split Overlapping
保存Blender偏好设置,Save Blender Preferences
保存Blender偏好设置。注意：它将保存所有Blender偏好设置，而不仅仅是UVPackmaster相关的设置,"Save Blender preferences. Note it will save all Blender preferences, not only UVPackmaster-related"
框坐标：,Box coordinates:
框内岛屿：,Islands inside the box:
选择,Select
取消选择,Deselect
将框移动到相邻图块：,Move the box to an adjacent tile:
提示：按住Shift键可同时移动框,TIP: press with Shift to move the box
连同框内选中的岛屿一起,together with selected islands inside
覆盖 {},Override {}
名称,Name
组号,Group Number
图集大小（X）,Atlas Size (X)
图集大小（Y）,Atlas Size (Y)
在编辑器中编辑方案,Edit Scheme In Editor
在编辑器中编辑方案,Edit the scheme in the Editor
分组编辑器,Grouping Editor
操作,Action
分组方案,Grouping Schemes
新方案名称：,New Scheme Name:
警告：在blend文件中未找到分组方案。,WARNING: no grouping scheme in the blend file found.
应用于方案：,Apply To Scheme:
新建分组方案,New Grouping Scheme
添加新的分组方案,Add a new grouping scheme
移除,Remove
移除当前激活的分组方案,Remove the active grouping scheme
新建项目,New Item
向当前激活的分组方案添加一个组,Add a group to the active grouping scheme
从方案中移除当前激活的组,Remove the active group from the scheme
移动,Move
在列表中上移/下移当前激活的组,Move the active group up/down in the list
向当前激活的组添加新的目标框,Add a new target box to the active group
移除当前激活的目标框,Remove the active target box
在列表中上移/下移当前激活的框,Move the active box up/down in the list
浏览分组方案,Browse Grouping Schemes
显示帮助,Show Help
显示给定功能的帮助信息,Show help for the given functionality
显示模式帮助,Show Mode Help
显示当前选中打包模式的帮助信息,Show help for the currently selected packing mode
UVPackmaster设置帮助,UVPackmaster Setup Help
显示UVPackmaster设置的帮助信息,Show help for UVPackmaster setup
显示弹出窗口,Show a popup
帮助,HELP
警告,WARNING
使用分组方案,Use Grouping Scheme
使用分组方案来定义组,Use a grouping scheme to define groups
设置TD逐岛,Set TD Per-Island
选择打包模式,Select Packing Mode
选择当前激活的打包模式,Select an active packing mode
打包模式,Packing Modes
打包模式,Packing Mode
主菜单,Main
已选中,selected
显示模式,Display Mode
展开面板,Exapnd Panel
展开/隐藏面板,Expand/hide the panel
选择多面板,Select Multi Panel
已展开,expanded
键,Key
添加条目,Add Entry
向集合中添加新条目,Add a new entry to the collection
移除条目,Remove Entry
从集合中移除给定条目,Remove the given entry from the collection
模式ID,mode_id
调整岛屿至纹理,Adjust Islands To Texture
调整选中岛屿的缩放比例，使其适合打包到当前激活的纹理中。注意：此操作仅应在打包到非方形纹理时使用。关于非方形打包的更多信息请点击帮助图标,Adjust scale of selected islands so they are suitable for packing into the active texture. CAUTION: this operator should be used only when packing to a non-square texture. For for info regarding non-square packing click the help icon
撤销岛屿调整,Undo Islands Adjustment
撤销由“调整岛屿至纹理”执行的调整,Undo adjustment performed by the
完成框编辑,Finish Box Editing
编辑方案目标框,Edit Scheme Target Boxes
将框设置为图块,Set Box To Tile
将目标框设置为由以下参数定义的UDIM图块,Set a target box to a UDIM tile as defined by the
X方向,Direction X
Y方向,Direction Y
移动目标框,Move Target Box
将目标框移动到相邻图块,Move a target box to an adjacent tile
编辑目标框,Edit Target Box
显示图块,Display Tiles
选择框内岛屿,Select Islands In Box
选择/取消选择当前激活框内的岛屿,Select/deselect islands in the active box
显示岛屿参数,Show Island Parameter
显示分配给选中岛屿的岛屿参数值,Show island parameter values assigned to the selected islands
设置岛屿参数,Set Island Parameter
重置岛屿参数,Reset Island Parameter
将选中岛屿的岛屿参数重置为默认值,Reset the island parameter to the default value for the selected islands
按参数值选择岛屿,Select Islands By Parameter Value
显示组分配,Show Group Assignment
显示选中岛屿分配到的所有组的名称,Show the names of all groups the selected islands are assigned to
将岛屿分配到组,Assign Islands To The Group
将选中岛屿分配到当前激活的组,Assign the selected islands to the active group
重置组,Reset Groups
重置选中岛屿的组分配,Reset the group assignment for the selected islands
选择分配到组的岛屿,Select Islands Assigned To Group
选择/取消选择所有分配到当前激活组的岛屿,Select / deselect all islands which are assigned to the active group
将分组应用到方案,Apply Grouping To Scheme
使用当前选中的自动分组方法创建或扩充分组方案,Create or extend a manual grouping scheme using the currently selected automatic grouping method
跳过默认组,Skip Default Group
将分组应用到新方案时不将面分配到默认组,Do not assign faces to the default group when applying grouping to a new scheme
显示选中岛屿分配到的组号,Show group numbers the selected islands are assigned to
将岛屿分配到组,Assign Islands To Group
将选中岛屿分配到由编号确定的组,Assign the selected islands to the group determined by the 
将岛屿分配到空闲组,Assign Islands To Free Group
将选中岛屿分配到第一个空闲组（当前UV贴图中面未使用的最低组号）,Assign the selected islands to the first free group (the lowest group not currently used by faces in the UV map)
取消设置组,Unset Groups
取消选中岛屿的组分配（岛屿将不属于任何组）,Unset the group assignment for the selected islands (the islands will not belong to any group)
选择/取消选择所有分配到由编号确定的组的岛屿,Select / deselect all islands which are assigned to the group determined by the 
选择所有组,Select All Groups
选择所有分配到任意组的岛屿,Select all islands which are assigned to any group
设置,Set
按值选择岛屿：,Select islands by value:
重置,Reset
显示,Show
数值,Value
设置旋转步长,Set Rotation Step
将旋转步长设置为建议值之一,Set Rotation Step to one of the suggested values
设置纹理尺寸,Set Texture Size
将纹理尺寸设置为建议值之一,Set Texture Size to one of the suggested values
定向UV,Orient UVs
旋转每个选中的UV岛屿，使生成的映射将给定的3D轴向映射到给定的UV轴向。点击帮助按钮获取更多信息,Rotate every selected UV island so that the resulting mapping transforms a given 3D axis to a given UV axis. Click the help button for more info
从物体中移除UVPM数据,Remove UVPM Data From Objects
从选中物体中移除UVPM数据（UVPM颜色属性）,Remove UVPM data from selected objects (UVPM color attributes)
将UV定向到3D空间,Orient UVs To 3D Space
其他工具,Other Utilities
{}（框 {}）,{} (Box {})
覆盖全局选项,Override Global Options
组——覆盖全局选项,Group - Override Global Options
打包选项：,Packing Options:
覆盖_,override_
像素边距：,Pixel Margin:
全局启用像素边距,Enable Pixel Margin globally
启用覆盖,to enable overriding
纹素密度：,Texel Density:
启用,Enable 
其他选项：,Other Options:
打包,Pack
打包选中的UV岛屿,Pack selected UV islands
打包操作类型,Pack Operation Type
打包,Packing
打包到其他, Pack To Others
与其他一起重新打包,Repack With Others
高级打包选项,Advanced Packing Options
图块设置,Tile Setup
打包选项,Packing Options
归一化缩放,Normalize Scale
归一化组,Normalize Groups
像素边距,Pixel Margin
启发式搜索,Heuristic Search
锁定重叠,Lock Overlapping
锁定组,Lock Groups
跟踪组,Track Groups
非方形打包,Non-Square Packing
自定义目标框,Custom Target Box
岛屿旋转步长,Island Rotation Step
脚本,Scripting
分组（打包）,Grouping (Packing)
选择分组方案：,Select a grouping scheme:
——选择分组方案——,�� Select a grouping scheme
方案选项：,Scheme options:
组选项：,Group options:
当前选中的模式没有可用的组选项,No group options available the for currently selected modes
选择分配到组的岛屿：,Select islands assigned to the group:
框不可编辑：{},Boxes not editable: {}
分组选项：,Grouping options:
方案组,Scheme Groups
组目标框,Group Target Boxes
堆叠组,Stack Groups
已启用,enabled
关闭,Dismiss
可关闭消息：,Dismissable messages:
常规选项：,General options:
UI选项：,UI options:
打包设备：,Packing devices:
已启用,Enabled
引擎状态：,Engine status:
UVPackmaster引擎路径：,Path to the UVPM engine:
启用Vulkan,Enable Vulkan
启用Vulkan设备进行打包（如果系统中可用）,Enable Vulkan devices for packing (if available in the system)
子面板模式,Subpanel Mode
允许执行脚本,Allow Script Execution
显示专家选项,Show Expert Options
默认调用,INVOKE_DEFAULT
保存,Save
选项预设,Option Presets
从预设加载框,Load Box From Preset
移除预设,Remove Preset
从磁盘中移除选中的预设,Remove the selected preset from the disk
文件路径,File Path
导入文件使用的文件路径,Filepath used for importing the file
您确定要删除吗,Are you sure you want to delete 
保存预设,Save Preset
将所有打包器选项保存到文件,Save all packer options to a file
打开预设,Open Preset
从文件加载所有打包器选项,Load all packer options from a file
您确定要继续吗？,Are you sure you want to continue?
从预设文件加载目标框坐标,Load target box coordinates from a preset file
重置为默认值,Reset To Defaults
将所有UVPackmaster参数重置为默认值,Reset all UVPM parameters to default values
保存偏好设置,Save Preferences
将所有打包器偏好设置保存到文件,Save all packer preferences to a file
从文件加载所有打包器偏好设置,Load all packer preferences from a file
分组方案预设,Grouping Scheme Presets
保存方案,Save Scheme
将当前激活的分组方案保存到文件,Save the active grouping scheme to a file
加载方案,Load Scheme
从文件加载分组方案,Load Grouping Scheme from a file
该操作将覆盖blend文件中已存在的分组方案：,The operation is going to overwrite a grouping scheme already present in the blend file:
（因为分组方案和预设的内部ID相同）。按“确定”继续。,(because the internal IDs of the grouping scheme and the preset are the same). Press OK to continue.
检查,Check 
模式,Mode
图块数量,Tile Count
图块数量：,Tile Count:
起始图块：,Start Tile:
设置引擎路径,Set Engine Path
设置UVPackmaster引擎路径,Set a path to the UVPM engine
设置字符串,Set String
在blend文件中未找到脚本。请在文本编辑器中添加脚本,No script found in the blend file. Add a script in the Text Editor
确定脚本是否将被执行,Determines whether the script will be executed
脚本,Script
文本编辑器中要执行的脚本名称,Name of the script in the Text Editor to be executed
对分组方案中定义的每个组执行脚本,Execute the script per every group defined in a grouping scheme
函数名称,Function Name
脚本中要执行的Python函数名称,Python function name in the script to be executed
函数参数,Function Arguments
逗号分隔的额外参数列表，将在两个基本参数（context, group_name）之后传递给脚本函数,"Comma-separated list of additional arguments which will passed to the script function after two base arguments (context, group_name)"
确定给定的脚本集合是否将被执行,Determines whether the given script collection will be executed
启用脚本,Scripting Enabled
未设置脚本名称,Script name not set
在blend文件中未找到脚本,Script not found in the blend file
脚本选项：,Script options:
函数,Function
名称：,Name:
参数：,Args:
添加脚本,Add Script
添加新脚本,Add a new script
移除当前激活的脚本,Remove the active script
在列表中上移/下移当前激活的脚本,Move the active script up/down in the list
编号,Number
颜色,Color
用于UV叠加可视化的颜色,Color for visual representation of UV overlays
纹素密度值模式,TD Value Mode
定义纹素密度值的确定方式,Defines how the texel density value will be determined
浏览项目,Browse Items
项目,Items
点击下方的“保存偏好设置”按钮，,Press the Save Preferences button below and
重新启动应用程序以使更改生效,restart the application for the change to take effect
选项设置：,Option set:
重叠检查,Overlap Check
检查所有选中岛屿中是否存在重叠的UV岛屿。警告：此操作基于逐岛检测（报告两个不同的UV岛屿是否相互重叠）——它不会报告属于同一岛屿的两个重叠UV面,Check for overlapping UV islands among all selected islands. WARNING: this operation works on a per-island basis (reports whether two distinct UV islands overlap each other) - it will NOT report two overlapping UV faces belonging to the same island
测量面积,Measure Area
测量选中UV岛屿的面积,Measure area of selected UV islands
已合并,Merged
旋转启用,Rotation Enable
