"附加组件终端注册输出","Addon Terminal Registration Output"
"推送默认值","Push Default Value"
"推是指将挤出扩大一点点。\设置为 0 可尝试挤出而不改变任何形状。","Pushing means widening the Extrusion a tiny bit. \nThis helps with Precision Issues in Polygonal Meshes\nSet to 0 to attempt Extrusions without changing the Shape at all."
"拉伸意味着将最初选定的面后退一点点。\这有助于解决多边形网格的精度问题","Pulling means receding the initially selected faces a tiny bit. \nThis helps with Precision Issues in Polygonal Meshes"
"支持非折线网格","Support non-manifold meshes"
"允许在非曲面网格上挤出","Allow Extruding on non-manifold meshes"
"显示侧边栏面板","Show Sidebar Panel"
"在 3D 视图中显示 PUNCHit 面板","Show PUNCHit Panel in 3D View"
"'","'"
"HUD 缩放","HUD Scale"
"HUD 元素的比例","Scale of HUD elements"
"HUD 超时","HUD Timeout"
"调节渐变 HUD 元素的持续时间","Modulate duration of fading HUD elements"
"插件","Addon"
"常规","General"
"查看 3D","View 3D"
"HUD","HUD"
"键图","Keymaps"
" "," "
"wm.call_menu","wm.call_menu"
"您当前的按键配置不包括编辑网格挤出菜单的按键映射项。","Your current keyconfig does not include a keymap item for the edit mesh Extrude Menu."
"虽然您不需要","While you don"
"添加挤出菜单键映射","Add Extrude Menu Keymap"
"在任何情况下，您都可以使用下图所示的可调整键表项来使用 Punch It。","In any case, you can still use Punch It using the adjustable keymap item shown below."
"获取支持","Support"
"获取支持","Get Support"
"关于","About"
"PUNCHit","PUNCHit"
"文档","Documentation"
"MACHINƎ.io","MACHINƎ.io"
"瘛瑕artists","blenderartists"
"赞助","Patreon"
"叽叽喳喳","Twitter"
"视频","Youtube"
"艺术站","Artstation"
"DECALmachine","DECALmachine"
"网格机械","MESHmachine"
"曲线机","CURVEmachine"
"MACHIN3tools","MACHIN3tools"
"超级光标","HyperCursor"
"打孔","Punch It"
"定稿","Finalize"
"导航","Navigation"
"取消","Cancel"
"取消数字输入","Abort Numeric Input"
"数字输入...","Numeric Input..."
"输入数字","Enter Numeric Input"
"设置金额","Set Amount"
"重置金额","Reset Amount"
"完成","Finish"
"返回","Go Back"
"MACHIN3: 打孔","MACHIN3: Punch It"
"有效的歧管挤压","Manifold Extruding that works"
"使用自相交","Use Self Intersection"
"神奇地修复问题（较慢）/如果禁用，您将","Magically fix issues (slower)\nIf disabled, you"
"模式","Mode"
"数量","Amount"
"挤出深度","Extrusion Depth"
"移动面的数值","Numeric Amount to Move Face"
"移动面选择的数量","Amount to Move the Face Selection by"
"推","Pushed"
"将侧面推出","Push Side Faces out"
"拉","Pulled"
"将正面拉回","Pull Front Face back"
"自动清理","Auto-Cleanup"
"在最后运行自动网格清理","Run an automatic mesh cleanup at the end"
"推","Push"
"拉","Pull"
"网格为非网格！","Mesh is non-manifold!"
"非法选择！","Illegal Selection!"
"注意，笨蛋！","Pay attention, numbnuts!"
"选择区域紧靠非网格边缘！","Selection is next to non-manifold edges!"
"边缘","VERTS"
"边缘","EDGES"
"面","FACES"
"INVOKE_DEFAULT","INVOKE_DEFAULT"
"PUNCHit %s","PUNCHit %s"
"MACHIN3：绘制标签","MACHIN3: Draw Labels"
"绘制 HUD 的文本","Text to draw the HUD"
"第二个文本绘制 HUD","Second Text to draw the HUD"
"第三个文本绘制 HUD","Third Text to draw the HUD"
"屏幕坐标","Screen Coordinates"
"文本颜色","Text Color"
"文本 2 颜色","Text2 Color"
"文本 3 颜色","Text3 Color"
"文本 Alpha","Text Alpha"
"文本 2 阿尔法","Text2 Alpha"
"文本 3 阿尔法","Text3 Alpha"
"MACHIN3: 获取 PUNCHit 支持","MACHIN3: Get PUNCHit Support"
"为支持请求生成日志文件和说明。","Generate Log Files and Instructions for a Support Request."
"MACHIN3：添加挤出菜单键图","MACHIN3: Add Extrude Menu Keymap"
"为编辑网格挤出菜单添加用户键映射项，映射为 ALT + E","Add User Keymap Item for the Edit Mesh Extrude Menu, mapped to ALT + E"
"视口","Viewport"
