"kei2m","kei2m"
"图像至网格生成器","Image(s) To Mesh Generator"
"Alpha 容差","Alpha Tolerance"
"100% = 只允许使用完全不透明的图像像素","100% = Will only allow completely opaque image pixels\n"
"扩展边界","Expand Border"
"扩展 Alpha 边框（大致以像素为单位）- 0 表示禁用。","Expand Alpha Border (in pixels, roughly) - Zero to disable.\n"
"工作分辨率","Work Resolution"
"用于转换的内部分辨率。尽可能使用低值。","The internal res. used for conversion. Use as low value as possible.\n"
"尺寸","Size"
"设置相对于图像的自定义尺寸（最长轴），包括 Alpha。","Set custom size (longest axis) relative to the image, including alpha.\n"
"自定义像素尺寸","Custom Pixel Size"
"设置自定义像素尺寸（0 将禁用覆盖）\nObj Size = Pixel Size * Res","Set custom pixel size (Zero disables the override)\nObj Size = Pixel Size * Res"
"网格缩小","Mesh Reduction"
"使用哪种平滑类型：（n","Which type of smoothing to use:\n"
"材质","Material"
"无：只用于生成网格的图像","None  : Image only used in mesh generation\n"
"重置","Reset"
"I2M UV 项目","I2M UV-Project"
"I2M_","I2M_"
"UVMap","UVMap"
"I2M 重新载入图像","I2M Reload Image"
"加载图像","Load Image"
"打开文件浏览器以加载图像","Opens a filebrowser to load an image"
"批量处理","Batch Process"
"使用批处理文件浏览器选择多个图像，依次进行处理。","Select MULTIPLE IMAGES with the Batch filebrowser to process in sequence.\n"
"使用目录","Use Dir"
"处理当前目录下的所有图像","Process ALL images in current directory"
"keI2M v%s Pro","keI2M v%s Pro"
"首选项","Preferences"
"使用 RGB 作为 Alpha","Use RGB as Alpha"
"批处理","Batch"
"重置 I2M","Reset I2M"
"图像到网格","Image To Mesh"
"选项卡类别","Tab Category"
"为标签位置选择名称（类别","Choose a name (category) for tab placement"
"使用用户定义的 RGB 颜色代替 Alpha 通道","Use the user-defined RGB color instead of an alpha channel"
"RGB 值","RGB Value"
"自动运行","AutoRun"
"加载图像后自动运行 I2M","Automatically run I2M after loading image(s)"
"覆盖","Overwrite"
"替换同一图像中的网格（避免重复使用时出现重复","Replace mesh from same image\nAvoids dupes in repeated use"
"选项卡位置（类别）：","Tab Location (Category):"
"kei2m 一般信息","kei2m General Info"
"1. 加载 Alpha 图像（对象模式），文件夹图标位于 ","1. Load Alpha Image (in Object Mode) with the folder icon under "
"I2M 图像","I2M Image"
,
,
