"快速云雾 Quick Cloud&Fog","Quick Cloud&Fog"
"调用默认 INVOKE_DEFAULT","INVOKE_DEFAULT"
"操作器 Operator","Operator"
"体积渲染最佳设置 Optimal settings for volumetric rendering","Optimal settings for volumetric rendering"
"新面板 New Panel","New Panel"
"密度颜色 Density Color","Density Color"
"发射颜色 Emission Color","Emission Color"
"移动 Movement","Movement"
"沿 X 轴移动 Move on X","Move on X"
"沿 Y 轴移动 Move on Y","Move on Y"
"沿 Z 轴移动 Move on Z","Move on Z"
"截断线性 Cut-off Lin","Cut-off Lin"
"开/关 On/Off","On/Off"
"Z轴截断线 Z Cut-off line","Z Cut-off line"
"单个云 Single Cloud","Single Cloud"
"尺寸基本形状 Size Base Shape","Size Base Shape"
"羽化边缘形状 Feather Edge Form","Feather Edge Form"
"执行默认 EXEC_DEFAULT","EXEC_DEFAULT"
"核心密度 Core Density","Core Density "
"边缘密度 Edge Density","Edge Density "
"曲线_Z形式 Curve_Z-Form","Curve_Z-Form"
"全局密度 Global Density","Global Density"
"密度 Density","Density"
"发射 Emission","Emission"
"密度雾 Density Fog","Density Fog"
"发射雾 Emission Fog","Emission Fog"
"各向异性 Anisotropy","Anisotropy"
"颜色 Color","Color"
"全局对比度 Global Contrast","Global Contrast"
"全局噪声 Global Noise","Global Noise"
"相位动画 Phase Anim","Phase Anim"
"W","W"
"缩放 Scale","Scale"
"细节 Detail","Detail"
"粗糙度 Roughnes","Roughnes"
"空隙度 Lacunarit","Lacunarit"
"扭曲 Distortion","Distortion"
"附加噪声 Additional Noise","Additional Noise"
"叠加 Overlay","Overlay"
"标准化 Normalize","Normalize"
"相位噪声 Phase Noise","Phase Noise"
"截断线 Cut-off Line","Cut-off Line"
"亮度/对比度 Brightness/Contrast","Brightness/Contrast"
"亮度 Brightness","Brightness"
"对比度 Contrast","Contrast"
"层雾 Layer Fog","Layer Fog"
"添加层雾 Add Layer Fog","Add Layer Fog"
"Z位置 Z Position","Z Position"
"羽化边缘 Feather Edge","Feather Edge"
"旋转 Rotation","Rotation"
"添加纹理噪声 Add Texture Noise","Add Texture Noise"
"添加波浪 Add Wave","Add Wave"
"添加噪声 Add Noise","Add Noise"
"基础噪声 Base Noise","Base Noise"
"添加基础噪声 Add Base Noise","Add Base Noise"
"随机化多个对象 Randomze multiple objects","Randomze multiple objects"
"相位偏移 Phase Offset","Phase Offset"
"反转噪声 Invert Noise","Invert Noise"
"添加波浪噪声 Add Wave Noise","Add Wave Noise"
"形式 Form","Form"
"方向 Direction","Direction"
"细节比例 Detail Scale","Detail Scale"
"裁剪 Crop","Crop"
"裁剪角度 Crop angle","Crop angle"
"裁剪 Crop"," Crop"
"全局蒙版 Global Mask","Global Mask"
"圆形蒙版 Round Mask","Round Mask"
"尺寸蒙版 Size Mask","Size Mask"
"反转蒙版 Invert Mask","Invert Mask"
"噪声蒙版 Noise Mask","Noise Mask"
"混合全局噪声 Mix Global Noise","Mix Global Noise"
"变换 Transformation","Transformation"
"位置 Location","Location"
"蒙版变换 Mask Transform","Mask Transform"
"画廊_2 Gallery_2","Gallery_2"
"画廊 Gallery","Gallery"
"EVEE_Cycles 最佳体积 EVEE_Cycles Optimal Volumes","EVEE_Cycles Optimal Volumes"
"主画廊 Main Gallery","Main Gallery"
"类别 Category","Category"
"布尔 Bool","Bool"
