"执行","[LMB] Perform   "
"模式","Mode"
"轴位置","Axis Position"
"使用瓷砖边界","Use Tile Boundary"
"排除固定点","Exclude Pinned"
"对称UV","Symmetrize UV"
"使用刷子对称UV","Symmetrize UV by using a brush"
"刷子对称UV","Symmetrize UV by Brush"
"创建UV镜像副本","Create a mirrored copy of UV"
"镜像副本UV","Mirrored Copy UV"
"使用刷子创建UV镜像副本","Create a mirrored copy of UV by using a brush"
"从单面UV创建双面UV","Create double-sided UV from single-sided UV"
"打开翅膀","Open Wings"
"对称UV工具","Symmetrize UV Util"
"修复","Repair"
"修复（刷子）","Repair (Brush)"
"扩展","Expand"
"扩展（刷子）","Expand (Brush)"
"对称","Symmetrize"
"启动刷子","Start Brush"
"工具","Utilities"
"设置","Setup"
"UV镜像轴","UV Mirror Axis"
"网格镜像轴","Mesh Mirror Axis"
