," "
"映射","mapping_"
"蒙版_","mask_"
"混色","ColorAoMix_"
"图层","Layer_"
"金属","Metallic_"
"粗糙度","Roughness_"
"发射","Emission_"
"法线图","NormalMap_"
"法线","Normal_"
"AO_","AO_"
"'","'"
"颜色","Color"
"阿尔法","Alpha"
"矢量","Vector"
"蒙版","Mask"
"图像","IMAGE_"
"ALPHA_MIX_","ALPHA_MIX_"
"OPACITY_","OPACITY_"
"混色","MIX_"
"非彩色","Non-Color"
"sRGB","sRGB"
"打包图层图像 ""保存为 Blender 文件","Pack layer's image 'Save it in Blender file'"
"打包图层","Pack layer"
"添加新图像","Add a new image"
"添加图像","Add Image"
"图像名称","Image name"
"图像宽度","Image width"
"图像高度","Image height"
"图像颜色","Image color"
"添加新遮罩","Add a new mask"
"添加蒙版","Add Mask"
"添加新图层","Add a new layer"
"添加图层","Add layer"
"图层名称","Layer name"
"图层","Layer"
"图层名称","texCoord_"
"删除图层","Delete layer"
"删除活动图层","Delete active layer"
"上移活动图层","Move active layer up"
"向上移动图层","Move layer up"
"无","None"
"向下移动执行层","Move acitve layer down"
"向下移动图层","Move layer down"
"粘贴十六进制颜色值","Paste hex colors values"
"粘贴颜色","Paste colors"
"在混合和擦除 Alpha 之间切换","Toggle between MIX and Erase Alpha"
"混合与擦除","Mix & Erase"
"绘制","builtin_brush.Draw"
"锁定所有图层","Lock all layers"
"锁定所有图层","Lock All"
"打包所有图像","Pack all images"
"全部打包","Pack All"
"隐藏所有图层","Hide all layers"
"全部隐藏","Hide All"
"烘焙当前通道中的可见图层","Bake visible layers in current channel"
"烘焙","Bake"
"设备","Device"
"PSD 图层","PSD Layers"
"选择网格对象！","Select Mesh Object!"
"着色器","Shaders"
"指定","Assign"
"选择","Select"
"取消选择","Deselect"
"调色板","Palettes"
"切换到纹理绘制模式","Switch to Texture Paint Mode"
"图层","Layers"
"添加图层","Add Layer"
"新建图像","New Image"
"导入","Import"
"添加材质槽！","Add Material Slot!"
"选择材质！","Select Material!"
"绘制","Mapping"
"位置","Location"
"旋转","Rotation"
"缩放","Scale"
"新遮罩","New Mask"
"电子表格","Spreadsheet"
"基色","Base Color"
"金属色","Metallic"
"粗糙度","Roughness"
"发射","Emission"
"正常","Normal"
"AO","AO"
"视频教程","Video Tutorials"
"联系我们","Contact Us"
"更多插件","More Addons"
"捐赠","Donate"
