"工具库","Tool Base"
"贝塞尔区域底数","Bezier Area Base"
"‘","'"
"tmp-{}","tmp-{}"
"绘制曲线","Draw Curve"
"笔刷曲线","Brush Curve"
"将字符串矩阵转换回元组","convert stringified matrix back to tuple"
"从 mod 获取点坐标矩阵","get points coord matrix from mod"
"清除此曲线的所有点（需留下 2 个点）","clear all points of this curve (2 pts need to be left)"
"得到一个总数，也就是识别矩阵的一种方法","get a sum number, aka a way to identify a matrix"
"检查给定矩阵是否相等","check if the given matrix are equal"
"将图形横坐标移回原点","move graph abscissa back to origin"
"按给定的步长值向左/向右移动图形横坐标，锚点与第一个点","move graph abscissa left/right by given step value, anchor point with first point"
"改变图形的点不会触发更新，我们需要以某种方式手动发送更新。","changing points of a graph won't trigger an update, we need to send one manually somehow.."
"使用自定义预设矩阵更新修改器编辑曲线，注意","update modifier edit curve with custom preset matrix, note that it"
" 创建随机图"," create rando graph"
"创建正弦图","create sinus graph"
"创建地层（线性离散化）","create stratas (Linear Discretization)"
"百分比/衰减图","graph from percentage/falloff"
"来自最小最大值的图表","graph from min max value"
"更新任何预设枚举或道具的函数","update functions for any preset enum or props"
"仅适用于 vg-edit 的可选参数","facultative arg only for vg-edit"
"仅适用于 psy-fallremap 的兼性参数","facultative arg only for psy-fallremap"
"从上面给出的属性中组合出额外的实例属性","compose additional instance properties from these given above"
"私人，唐","private, don"
"决定是否调用模态框或对话框","decide if we'll invoke modal or dialog"
"当操作员完成时调用","called when the operator has finished"
"对于模态实例","for modal instance"
"当用户按下“确定”时强制调用该函数","mandatory function called when user press on 'ok' "
"传递所有单层文件并转换它们，将尝试自动找到预设","pass over all your single layer file and convert them, will try to find the preset automatically"
"在这个函数中我批量更改/添加 json 字典中的值","in this function i batch change/add values in json dict"
"可见性状态的值可能有问题，需要刷新信号","values of the visibility states might be buggy, need a refresh signal"
"查找发射器动画数据中的 scatter5 属性","find scatter5 properties that found in emitter animation data"
"刷新动画道具","refresh the animated props"
"将在渲染视图中关闭覆盖","will toggle off overlay while in renderede view"
"更新呈现的视图节点组","update rendered view nodegroup"
"消息总线渲染视图检查功能","message bus rendered view check function"
"确保粒子界面绘制正确，该功能在 Geo-Scatter 5.4 中已经实现，可能有些系统需要初始化该界面","ensure that the particle interface is drawn correctly, it has been implemeted in Geo-Scatter 5.4, and there might be some systems that need the interface to be initiated"
"保存 .blend 时，我们会跟踪系统版本。Geo-Scatter 使用几何节点，在较新的 blender 版本中保存会导致向前兼容性问题","when saving a .blend, we keep track of a system version. Geo-Scatter use geometry node, and saving in newer blender version will result in forward compatibility issues"
"等到 bpy.context 不再是 bpy_restrict_state._RestrictContext 为止","wait until bpy.context is not bpy_restrict_state._RestrictContext anymore"
"当用户与系统列表交互时","when user is interacting with system lists"
"返回存储在 .blend 中的处理程序列表","return a list of handler stored in .blend"
"默认_画笔","default_brush"
"工具默认","tool_default"
"点刷","Dot Brush"
"工具点","tool_dot"
"姿势画笔","Pose Brush"
"工具姿势","tool_pose"
"路径画笔","Path Brush"
"刀具路径","tool_path"
"链刷","Chain Brush"
"工具链","tool_chain"
"飞溅笔刷","Spatter Brush"
"刀具飞溅","tool_spatter"
"喷刷","Spray Brush"
"工具喷雾","tool_spray"
"对齐喷刷","Aligned Spray Brush"
"工具喷雾对齐","tool_spray_aligned"
"套索填充","Lasso Fill"
"工具套索填充","tool_lasso_fill"
"克隆笔刷","Clone Brush"
"工具克隆","tool_clone"
"橡皮擦画笔","Eraser Brush"
"工具_橡皮擦","tool_eraser"
"稀释刷","Dilute Brush"
"工具稀释","tool_dilute"
"放松刷","Relax Brush"
"工具平滑","tool_smooth"
"移动笔刷","Move Brush"
"工具移动","tool_move"
"旋转设置画笔","Rotation Settings Brush"
"工具旋转设置","tool_rotation_set"
"随机旋转画笔","Random Rotation Brush"
"工具随机旋转","tool_random_rotation"
"切线对齐画笔","Tangent Alignment Brush"
"工具梳","tool_comb"
"旋转刷","Spin Brush"
"工具旋转","tool_spin"
"正常对齐画笔","Normal Alignment Brush"
"工具z对齐","tool_z_align"
"比例设置画笔","Scale Settings Brush"
"工具比例尺设置","tool_scale_set"
"扩大/缩小画笔","Grow/Shrink Brush"
"工具_增大_收缩","tool_grow_shrink"
"对象索引画笔","Object Index Brush"
"工具对象集","tool_object_set"
"下拉画笔","Drop Down Brush"
"工具下拉列表","tool_drop_down"
"自由移动笔刷","Free Move Brush"
"工具自由移动","tool_free_move"
"机械手","Manipulator"
"scatter5.manual_brush_tool_manipulator_workspace_tool","scatter5.manual_brush_tool_manipulator_workspace_tool"
"工具操作器","tool_manipulator"
"内置选择框","builtin.select_box"
"堆刷","Heaper Brush"
"工具堆","tool_heaper"
"调试 3d","debug 3d"
"调试错误","debug errors"
"内置选择","builtin.select"
"展示","Show"
"圆圈步骤","Circle Steps"
"固定半径","Fixed Radius"
"固定点半径","Fixed Dot Radius"
"禁止进入标志尺寸","No Entry Sign Size"
"禁止进入标志颜色","No Entry Sign Color"
"禁止进入标志厚度","No Entry Sign Thickness"
"轮廓颜色","Outline Color"
"轮廓色彩出版社","Outline Color Press"
"轮廓颜色橡皮擦","Outline Color Eraser"
"轮廓颜色提示","Outline Color Hint"
"轮廓禁用 Alpha","Outline Disabled Alpha"
"大纲助手 Alpha","Outline Helper Alpha"
"轮廓手势助手 Alpha","Outline Gesture Helper Alpha"
"轮廓衰减辅助 Alpha","Outline Falloff Helper Alpha"
"轮廓厚度","Outline Thickness"
"轮廓辅助厚度","Outline Helper Thickness"
"轮廓虚线步骤乘数","Outline Dashed Steps Multiplier"
"填充颜​​色","Fill Color"
"填充颜​​色按钮","Fill Color Press"
"填充颜​​色橡皮擦","Fill Color Eraser"
"填充颜​​色提示","Fill Color Hint"
"填充已禁用的 Alpha","Fill Disabled Alpha"
"填充辅助 Alpha","Fill Helper Alpha"
"填充手势助手 Alpha","Fill Gesture Helper Alpha"
"文字大小","Text Size"
"文字颜色","Text Color"
"工具提示轮廓颜色","Tooltip Outline Color"
"工具提示背景颜色","Tooltip Background Color"
"工具提示轮廓厚度","Tooltip Outline Thickness"
"点大小","Point Size"
"覆盖网格大小","Overlay Grid Size"
"覆盖网格颜色 A","Overlay Grid Color A"
"覆盖网格颜色 B","Overlay Grid Color B"
"信息框比例","Infobox Scale"
"信息框阴影颜色","Infobox Shadow Color"
"信息框填充颜色","Infobox Fill Color"
"信息框轮廓颜色","Infobox Outline Color"
"信息框轮廓厚度","Infobox Outline Thickness"
"信息框标志颜色","Infobox Logo Color"
"信息框文本标题颜色","Infobox Text Header Color"
"信息框文本主体颜色","Infobox Text Body Color"
"操纵器","Maipulator"
"手动工具手势","Manual Tool Gesture"
"手势","Gesture"
"绿叶","VERTS"
"套索基础","Lasso Base"
"添加新面具+菜单","add a new mask + menu"
"“Creation>Scatter”中用户的主要散射运算符","main scattering operator for user in 'Creation>Scatter' "
"mask_types 中几乎所有 mask 模块都使用的通用删除函数","General Remove Function used by almost all mask modules in mask_types"
"在场景复制中烘焙 ao，返回 ao vcol 数组","bake ao in scene dupplicata, return ao vcol array"
"获取每个顶点的 AO 数据","get AO per vertices data"
"规格化","Normalize"
"从给定对象返回三角形点数组","return array of tris points from given object"
"返回给定对象的点数组","return array of points from given object"
"创建给定曲线的网格副本","Create mesh copy of given curve"
"创建动态画布设置","create dynamic paint canvas set-up"
"Scatter5 动态画布","Scatter5 Dynamic Paint Canvases"
"为画笔创建动态绘画画布","create dynamic paint canvas for brush"
"Scatter5 动态画笔","Scatter5 Dynamic Paint Brush"
"Geo-Scatter 额外功能","Geo-Scatter Extra"
"过滤器选择","filter selection"
