Value,Key
	(被优化器跳过),	(skipped by optimizer)
	- 图标: ,	- Icon: 
	- 名称: ,	- Name: 
	- 位置: ,	- Position: 
	 音频帧  #  ,	Audio Frame #  
"	轨道 0
","	CHANNELS 0
"
	 将重复项转换为临时插入6,	Converted duplicates into a temporary insert
	检测尺寸:,	Detected size:
	检测尺寸:{str(cmpsize)},	Detected size:{str(cmpsize)}
	检测工作流程: {},	Detected workflow: {}
	从最初的场景复制对象,	Duplicated objects from initial scene
	错误:无法映射到 %r\n	假设漫反射颜色.以后修改材质 %r .,"	Error: Cannot map to %r
	assuming diffuse color. modify material %r later."
	致命错误:不是有效的3ds文件: %r,	Fatal Error:  Not a valid 3ds file: %r
	文件与通过类型不匹配: ,	File not matched to pass type: 
	文件与通过类型不匹配: {file},	File not matched to pass type: {file}
	图像节点 {} 不存在于材质中,	Image node {} not present in material
	图像节点 {} 不存在于材质中 {format(imgpass)},	Image node {} not present in material {format(imgpass)}
	图像通道 {} 未设置,	Image pass {} not set
	图像通道 {} 未设置 {format(imgpass)},	Image pass {} not set {format(imgpass)}
"	图像通道 {} 未设置,但已分配的节点","	Image pass {} not set, but node already assigned"
"	图像通道 {} 未设置,但已分配的节点 {format(imgpass)}","	Image pass {} not set, but node already assigned {format(imgpass)}"
	 导入缩略图渲染场景,	Imported thumbnail rendering scene
	 插入材质,	Insert materials
	 插入父对象,	Insert parenting
	 插入大小 (最大尺寸 {}),	Insert size (max dimension of {})
	 插入目标: {},	Insert target: {}
	材质文件:,	Material files:
"	材质名称: %s, 需要烘焙: %s","	MtlName: %s, NeedsBake: %s"
"	材质名称: %s, 纹理种类: %s, 需要烘焙: %s, 有像素: %s","	MtlName: %s, TexKind: %s, NeedsBake: %s, HasPixels: %s"
"	非致命错误:版本大于3,可能无法正确加载 Non-Fatal Error:  Version greater than 3, may not load correctly: ","	Non-Fatal Error:  Version greater than 3, may not load correctly: "
"	偏移 0.0 0.0 0.0
","	OFFSET 0.0 0.0 0.0
"
	 渲染路径: {},	Render path: {}
	设置路径 + 大小:,	Set path + size:
	设置路径 + 大小:{set_path},	Set path + size:{set_path}
	集合名称:,	Setname:
	集合名称:{self.setname},	Setname:{self.setname}
"	跳过文件,金属性是为了工作流程，而不是通过: ","	Skipping file, metalness is for workflow not pass: "
"	跳过文件,不是金属工作流程: ","	Skipping file, not metal workflow: "
"	跳过文件,不是镜面工作流: ","	Skipping file, not specular workflow: "
"	跳过 {x}, 已经安装","	Skipping {x}, already installed"
"	警告, bezier曲线:","	Warning, bezier curve:"
"	警告, order_u 低于 vert count, 跳过:","	Warning, order_u is lower then vert count, skipping:"
"	警告, surface:","	Warning, surface:"
	导入到blender...,	importing to blender...
	正在将场景FPS（以前是 %f）更新为BVH FPS (%f),	updating scene FPS (was %f) to BVH FPS (%f)
	找到零长度骨骼:,	zero length bone found:
	找到零长度节点:,	zero length node found:
"	{} - 低于阈值, 选择","	{} - Below threshold, select"
"	{} - 高于阈值, 无选择","	{} - above thresh, NO select"
"

","

"
"


-----------------------------------------------  开始  -----------------------------------------------
","


-----------------------------------------------  Start  -----------------------------------------------
"
"

 ----------------------------- 顶点颜色值 -----------------------------

","

 ----------------------------- Indexing vertex colors -----------------------------

"
"

ALT: 一半质量
SHIFT: 两倍质量
ALT + CTRL: 四分之一质量
SHIFT + CTRL: 四倍质量","

ALT: Half Quality
SHIFT: Double Quality
ALT + CTRL: Quarter Quality
SHIFT + CTRL: Quadruple Quality"
"

Cats不支持2.79以上的Blender版本. 
请使用Blender2.79或更高版本.
","

Blender versions older than 2.79 are not supported by Cats. 
Please use Blender 2.79 or later.
"
"

发现CATS安装有问题!
请通过用户首选项安装CATS并重新启动Blender!
","

Faulty CATS installation found!
Please install CATS via User Preferences and restart Blender!
"
"

发现CATS安装有问题!
要解决这个问题，请删除插件文件夹中的以下文件和文件夹:
","

Faulty CATS installation found!
To fix this delete the following files and folders inside your addons folder:
"
"

发现CATS安装有问题!
要解决这个问题，以管理员身份重启Blender!     
","

Faulty CATS installation found!
To fix this restart Blender as admin!     
"
"

发现并修复了CATS安装故障!
请重新启动Blender并再次启用CATS!
","

Faulty CATS installation was found and fixed!
Please restart Blender and enable CATS again!
"
