（因为分组方案和预设的内部 ID 是相同的）。按“确定”继续。,(because the internal IDs of the grouping scheme and the preset are the same). Press OK to continue.
（启用左侧的复选框以覆盖特定选项）,(Enable checkboxes on the left to override particular options)
操作,Action
将组添加到当前分组方案,Add a group to the active grouping scheme
添加新的分组方案,Add a new grouping scheme
添加新的脚本,Add a new script
向当前组添加新的目标框,Add a new target box to the active group
添加脚本,Add Script
插件首选项,ADD-ON PREFERENCES
插件首选项,Add-on Preferences
将岛屿调整为纹理,Adjust Islands To Texture
调整所选岛屿的比例，使其适合打包到当前纹理中。注意：此操作仅在打包到非方形纹理时使用。有关非方形打包的更多信息，请点击帮助图标。,Adjust scale of selected islands so they are suitable for packing into the active texture. CAUTION: this operator should be used only when packing to a non-square texture. For for info regarding non-square packing click the help icon
调整未选中岛屿的纹理密度,Adjust TD To Unselected
调整所选岛屿的纹理密度，使其与未选中岛屿的纹理密度一致。,Adjust texel density of selected islands so it is uniform with texel density of unselected islands
高级打包选项,Advanced Packing Options
对齐优先级,Align Priority
对齐相似（堆叠）,Align Similar (Stack)
对齐所选岛屿，使相似的岛屿堆叠在一起。有关相似性检测的更多信息，请点击帮助按钮。,"Align the selected islands, so islands which are similar are stacked on the top of each other. For more info regarding similarity detection click the help button"
对齐中,ALIGNING
对齐中,Aligning
所有小于此参数值的相似性组将被忽略，其岛屿将被重新分配到默认组（{}）。如果不使用此功能（值设置为 1），则默认组将为空。,"All similarity groups of size lower than the value of this parameter will be ignored and their islands will be reassigned to the default group ({}). If the functionality is not used (value set to 1), the default group will be empty"
允许脚本执行,Allow Script Execution
将分组应用于方案,Apply Grouping To Scheme
应用于方案：,Apply To Scheme:
您确定要继续吗？,Are you sure you want to continue?
您确定要删除吗？,Are you sure you want to delete 
参数：,Args:
将岛屿分配到自由组 ,Assign Islands To Free Group
将岛屿分配到组 ,Assign Islands To Group
将岛屿分配到该组 ,Assign Islands To The Group
将所选岛屿分配到当前组 ,Assign the selected islands to the active group
将所选岛屿分配到第一个空闲组（当前 UV 图中未被面使用的最低组） ,Assign the selected islands to the first free group (the lowest group not currently used by faces in the UV map)
将所选岛屿分配到由以下确定的组 ,Assign the selected islands to the group determined by the 
平均迭代时间： ,Average iteration time: 
框 {}: {} ,Box {}: {}
框坐标： ,Box coordinates:
浏览分组方案 ,Browse Grouping Schemes
仅在您确实知道自己在做什么的情况下更改专家选项。 ,Change expert options only if you really know what you are doing.
检查 ,Check 
