"当设置use_print_traces时打印处理过的异常细节","Print handled exception details when use_print_traces is set"
"如果verbose为真，则打印详细的日志信息。","Print out a verbose logging message if verbose is true."
"所有对base url的API调用。","All API calls to base url."
"所有api调用的结果，解码成json格式。","Result of all api calls, decoded into json format."
"创建一个工作目录并下载新文件","Create a working directory and download the new files"
"在更新之前保存当前安装的插件的备份。","Save a backup of the current installed addon prior to an update."
"还原最后备份的插件版本，仅由用户发起","Restore the last backed up addon version, user initiated only"
"解压缩下载的文件，并验证内容","Unzip the downloaded file, and validate contents"
"合并文件夹'merger'到'base'，不删除现有文件夹","Merge folder 'merger' into 'base' without deleting existing"
"自定义url检索实现","Custom urlretrieve implementation"
"为在后台线程中运行check调用","Called for running check in a background thread"
"指定要更新到的标记名称和url","Assign the tag name and url to update to"
"为更新程序状态加载或初始化JSON字典数据","Load or initialize JSON dictionary data for updater state"
"触发当前json结构保存到文件内的插件","Trigger save of current json structure into file within addon"
"启动一个后台线程来检查更新","Start a background thread which will check for updates"
"执行更新检查，作为后台线程的目标运行","Perform update check, run as target of background thread"
"集成到git格式存储库的Bitbucket API","Integration to Bitbucket API for git-formatted repositories"
"bitbucket都","bitbucket"
"集成到Github API","Integration to Github API"
"github","github"
"集成到GitLab API","Integration to GitLab API"
"gitlab","gitlab"
"为更新器对象提供最少的字段和函数。","Fake, bare minimum fields and functions for the updater object."
"演示最基本的偏好","Demo bare-bones preferences"
"自动检查更新","Auto-check for Update"
"如果启用，则使用间隔自动检查更新","If enabled, auto-check for updates using an interval"
"个月","Months"
"检查更新之间的月数","Number of months between checking for updates"
"天","Days"
"检查更新之间的天数","Number of days between checking for updates"
"小时","Hours"
"检查更新之间的小时数","Number of hours between checking for updates"
"分钟","Minutes"
"检查更新之间的分钟数","Number of minutes between checking for updates"
"为字段添加注释属性以避免Blender 2.8+警告","Add annotation attribute to fields to avoid Blender 2.8+ warnings"
"中间方法用于前后混合2.8拆分UI功能","Intermediate method for pre and post blender 2.8 split UI function"
"中间方法的前后搅拌器2.8抓取首选项","Intermediate method for pre and post blender 2.8 grabbing preferences"
"检查并安装更新(如果可用)","Check and install update if available"
"更新{x}插件","Update {x} addon"
"弹出检查和显示当前可用的更新","Popup to check and display current updates available"
"全新安装","Clean install"
"流程更新","Process update"
