"编辑 Fluent 对象","Edit a Fluent object"
"Fluent 编辑器","Fluent editor"
"BOTH ","BOTH"
"TOP ","TOP"
"BOTTOM ","BOTTOM"
".f_Pre_Second_Bevel ",".f_Pre_Second_Bevel"
"bottom_face ","bottom_face"
"first_bevel。","first_bevel."
"Circular_Array","Circular_Array"
"几何半径","Geometry"
"计数","Radius"
"角度","Count"
"单独","Angle"
"旋转","Individual Rotation"
"全局旋转","Global rotation"
"X 尺寸","X size"
"Y 尺寸","Y size"
"单独 XYZ","Separate XYZ"
"矢量数学","Vector Math"
"边界框数学","Bounding Box"
".001","Math.001"
"组合 XYZ","Combine XYZ"
"数学","Math"
"组输出","Group Output"
"变换","Transform"
"组输入","Group Input"
"比例","Scale"
"旋转","Rotation"
"top_face ","top_face"
"Fluent cutter","Fluent cutter"
"切割/添加","Cut/Add"
"切割","Cut"
"切片","Slice"
"插入","Inset"
"创建","Creation"
"两个对象之间的布尔运算","Boolean operation between 2 objects"
"布尔","Boolean"
"显示/隐藏布尔对象","Show/Hide boolean objects"
"布尔可见性","Boolean visibility"
"添加最新的斜面","Add the latest bevel"
"显示/隐藏线框 + 布尔对象","Show/Hide wireframe + boolean objects"
"技术显示","Technical display"
"显示/隐藏线框","Show/Hide wireframe"
"线框显示","Wireframe display"
"自动完成","Autocomplete"
"from_normal_repair","from_normal_repair"
"正常修复","Normal Repair"
"_normalSource ","_normalSource"
"NormalRepair ","NormalRepair"
".f_weld_normal_repair",".f_weld_normal_repair"
"布尔实例","Boolean Instance"
"同步 Fluent 复制的布尔对象重复功能","Synchronize boolean objects duplicated by Fluent duplicate function"
"布尔","Boolean Synchronization"
"同步从每个顶点组中删除选定的顶点","Remove selected vertices from each vertex groups"
"VG 清洁器","VG Cleaner"
"切换斜面的循环滑动选项","Toggle the bevel's loop slide option"
"切换循环滑动","Toggle Loop Slide"
"成为 Fluent ","Become Fluent"
"call_from","call_from"
"抽取","Decimate"
"面提取","Face extraction"
"选项","Options"
"其他调整","Other adjustments"
"从中心","Draw array from the center"
"绘制数组居中数组","Centered array"
"自动镜像 X","Auto Mirror X"
"自动镜像 Y","Auto Mirror Y"
"自动镜像 Z","Auto Mirror Z"
"使用循环滑动选项","Use the loop slide option"
"循环幻灯片","Loop Slide"
"0 = 自动","0 = automatic"
"外斜面段","Outer bevel segments"
"斜面轮廓","Bevel profile"
"斜面、圆柱体和球体的分辨率（段/米）","Resolution of bevels, cylinders and spheres (segments/m)"
"模型分辨率","Model resolution"
"增加/减少所选对象的斜面大小","Increase/decrease the bevel size of selected object"
"斜面因子","Bevel factor"
"斜面的最小分辨率（段/米）。0 = 自动","Minimum resolution of bevels (segments/m). 0 = automatic"
"自动斜面的段数","Min. of segments for auto-bevel"
"最小值 圆柱体和球体的最小分辨率（段/米）。0 = 自动","Minimum resolution of cylinders and spheres (segments/m). 0 = automatic"
"自动圆柱体的段数最小值","Min. of segments for auto-cylinder"
"看着你的物体成长！","See your object growing !"
"动画生成器","Animation builder"
"动画布料","Animate cloth"
"移除切片中的不可见面 切片","Remove invisible faces in slice cuts"
"清洁器","Slice cleaner"
"菜单类型 菜单","Type of menu"
"类型","Menu type"
"UI 字体大小","UI font size"
"字体大小","Font size"
"图标","Size of icons"
"大小 图标大小","Icon size"
"默认斜面宽度","Default Bevel Width"
"斜面的最小分辨率（段/米）","Minimum resolution of bevels (segments/m)"
"自动斜面的段数最小值","Minimum of segments for auto-bevel"
"圆柱体和球体的最小分辨率（段/米）","Minimum resolution of cylinders and spheres (segments/m)"
