# Target Addon : Send to Unreal ver2.0.2
# User Translate : ver1.0.1
# Translate File : ver1.0.0
# Translate File Author : Bookyakuno
"无需对话框即可快速将您的资产发送到打开的虚幻编辑器实例","Quickly send your assets to an open unreal editor instance without a dialog"
"发送到 Unreal","Send to Unreal"
"打开设置对话框来修改工具属性","Open the settings dialog to modify the tool properties"
"设置对话框","Settings Dialog"
"导入来自虚幻的文件","Import a file came from unreal"
"导入资产","Import Asset"
"创建收集资产数据所需的预定义集合“导出”。","Creates the pre-defined collection 'Export' that is needed to collect asset data."
"创建预定义集合","Create Pre-defined Collections"
"将属性的当前状态保存到指定的模板文件中","Saves the current state of the properties to the specified template file"
"保存模板","Save Template"
"将指定的模板文件加载到模板文件夹位置","Loads the specified template file into the template folder location"
"加载模板","Load Template"
"删除所选的设置模板","Remove the selected settings template"
"删除该模板吗？","Delete this template?"
"重新加载扩展文件","Reload the extensions files"
"重新加载扩展","Reload Extensions"
"使用 rpc 服务器线程引导 unreal 和 blender，以便它们可以进行远程调用。","Bootstraps unreal and blender with rpc server threads, so that they are ready for remote calls."
"启动 RPC 服务器","Start RPC Servers"
"这是一个不改变任何内容的操作符，但它用于清除撤消堆栈","This is an operator that changes nothing, but it used to clear the undo stack"
"空运算符","Null Operator"
"自动创建预定义集合","Automatically create pre-defined collections"
"RPC 响应超时","RPC Response Timeout"
"扩展 Repo 路径","Extensions Repo Path"
"源应用程序","Source Application"
"创建原始文件的应用程序","The application the original file was created with"
"进步","Progress"
"模板版本","Template Version"
"设置模板","Setting Template"
"选择要加载的设置模板","Select which settings template you want to load"
"选择要查看的设置部分","Choose which section of the settings to view"
"路径模式","Path Mode"
"选择要导出的路径类型","Select which type of paths you want to export to"
"使用直接父集合名称","Use immediate parent collection name"
"使用集合作为文件夹","Use collections as folders"
"网格文件夹（虚幻）","Mesh Folder (Unreal)"
"动画文件夹（虚幻）","Animation Folder (Unreal)"
"骨架资产（虚幻）","Skeleton Asset (Unreal)"
"物理资产（虚幻）","Physics Asset (Unreal)"
"网格文件夹（磁盘）","Mesh Folder (Disk)"
"动画文件夹（磁盘）","Animation Folder (Disk)"
"自动缩放骨骼","Automatically scale bones"
"导出所有操作","Export all actions"
"将对象名称导出为根骨骼","Export object name as root bone"
"导出自定义属性 fcurves","Export custom property fcurves"
"自动存储活动操作","Auto stash active action"
"使用对象原点","Use object origin"
"合并子网格","Combine child meshes"
"材质和纹理","Materials and Textures"
"是否从 FBX 文件导入材质和纹理","Whether or not to import the materials and textures from the FBX file"
"动画","Animations"
"是否从 FBX 文件导入动画","Whether or not to import the animation from the FBX file"
"启动 FBX 导入 UI","Launch FBX Import UI"
"启用此选项后，将在 Unreal 中启动 FBX 导入 UI","When enabled this option launches the FBX import UI in Unreal"
"LOD","LODs"
"是否导出自定义 LOD","Whether or not to export the custom LODs"
"LOD 正则表达式","LOD Regex"
"LOD 设置（虚幻）","LOD Settings (Unreal)"
"检查场景比例","Check scene scale"
"检查场景帧速率","Check scene frame rate"
"这将检查场景时间单位并确保它们设置为指定值","This checks the scene time units and ensures they are set to the specified value"
"检查骨架上未应用的变换","Check armatures for un-applied transforms"
"检查资产是否有未使用的材料","Check if asset has unused materials"
"检查纹理参考","Check texture references"
"检查路径","Check paths"
"根","root"
"衔铁","Armature"
"BlenderRPC服务器","BlenderRPCServer"
"RPC服务器","RPCServer"
"虚幻RPC服务器","UnrealRPCServer"
"将定义的资产名称前缀添加到网格、纹理、材质等。","Adds the defined asset name affixes to Meshes, Textures, Materials etc."
"添加资产词缀","Add Asset Affixes"
"删除网格、纹理、材质等定义的资产名称前缀。","Removes the defined asset name affixes to Meshes, Textures, Materials etc."
"移除资产词缀","Remove Asset Affixes"
"词缀","affixes"
"导出时自动添加词缀","Automatically add affixes on export"
"导出后删除词缀","Remove affixes after export"
"静态网格词缀","Static Mesh Affix"
"用于导出静态网格资源的前缀或后缀。前缀以","The prefix or suffix to use for exported static mesh assets. Prefixes end with an "
"材质词缀","Material Affix"
"用于导出材质资产的前缀或后缀。前缀以","The prefix or suffix to use for exported material assets. Prefixes end with an "
"纹理词缀","Texture Affix"
"用于导出纹理资源的前缀或后缀。前缀以","The prefix or suffix to use for exported texture assets. Prefixes end with an "
"骨骼网格词缀","Skeletal Mesh Affix"
"用于导出的骨架网格体资源的前缀或后缀。前缀以","The prefix or suffix to use for exported skeletal mesh assets. Prefixes end with an "
"动画序列词缀","Animation Sequence Affix"
"用于导出动画序列资源的前缀或后缀。前缀以","The prefix or suffix to use for exported animation sequence assets. Prefixes end with an "
"词缀：","Affixes:"
"ue2rigify","ue2rigify"
"扩展 Repo 路径：","Extensions Repo Path:"
"模板：","Templates:"
"加载","Load"
"节省","Save"
"调用默认","INVOKE_DEFAULT"
"源应用程序：","Source Application:"
"进口","Import"
"出口","Export"
"实用工具","Utilities"
"管道","Pipeline"
"发生材质冲突时重置为 Fbx","Reset to Fbx on Material Conflict"
"生成缺失碰撞","Generate Missing Collision"
"静态网格体 LODGroup","Static Mesh LODGroup"
"顶点颜色导入选项","Vertex Color Import Option"
"顶点覆盖颜色 (RGB)","Vertex Override Color (RGB)"
"移除退化者","Remove Degenerates"
"构建反向索引缓冲区","Build Reversed Index Buffer"
"生成光照贴图 UV","Generate Lightmap UVs"
"每个 UCX 一个凸包","One Convex Hull Per UCX"
"合并网格","Combine Meshes"
"将顶点转换为绝对值","Transform Vertex to Absolute"
"在 Vertex 中烘焙枢轴","Bake Pivot in Vertex"
"正常导入方式","Normal Import Method"
"法线生成方法","Normal Generation Method"
"计算加权法线","Compute Weighted Normals"
"转换场景","Convert Scene"
"力锋 X 轴","Force Front X Axis"
"转换场景单位","Convert Scene Unit"
"导入翻译","Import Translation"
"导入轮换","Import Rotation"
"导入统一比例","Import Uniform Scale"
"将材质重新排序为 FBX 顺序","Reorder Material to FBX Order"
"导入内容类型","Import Content Type"
"顶点颜色导入选项","Vertex Color Import Option"
"顶点覆盖颜色 (RGB)","Vertex Override Color (RGB)"
"更新骨架参考姿势","Update Skeleton Reference Pose"
"导入变形目标","Import Morph Targets"
"使用 TO 作为参考姿势","Use TO As Ref Pose"
"保留平滑组","Preserve Smoothing Groups"
"在骨骼层级中导入网格","Import Meshes in Bone Hierarchy"
"将顶点转换为绝对值","Transform Vertex to Absolute"
"在 Vertex 中烘焙枢轴","Bake Pivot in Vertex"
"正常导入方式","Normal Import Method"
"法线生成方法","Normal Generation Method"
