初始化子类，将注解转换为字段。," Initialize subclasses, converting annotations to fields. "
检查器,Checker
用作测试 UV 地图的纹理,Used as a texture for testing UV maps
切换,Toggle
开启/关闭检查器修改器,Off/On checker modifier
纹理,Texture
锁定大小,Lock Size
获取现有检查器纹理,Get exist checker texture
获取现有检查器材质,Get exist checker material
获取现有检查器节点组,Get exist checker node group
UniV 检查器,UniV Checker
在分辨率后加上 'x',Has 'x' after resolution
检查器地图清理,Checker Map Cleanup
清理纹理、材质、节点和修改器,"Cleanup textures, materials, nodes and modifiers"
饱和度是可变的,Saturate is mutable
按组返回平面颜色,Return flat colors by group
绘制测试,Draw Test
精确 - 翻转面时的正确线偏移,exact - correct line offset for flipped faces
零,Zero
选择退化的 UV（零面积 UV 三角形）,Select degenerate UVs (zero area UV triangles)
精度,Precision
翻转,Flipped
选择翻转的 UV 面,Select flipped UV faces
未分割,Non-Splitted
选择应标记接缝并无连接地展开的边,Selects the edges where seams should be marked and unwrapped without connection
检查非接缝,Check Non-Seam
使用自动平滑,Use Auto Smooth
平滑角度,Smooth Angle
重叠,Overlap
选择所有相互重叠的 UV 面。\n,Select all UV faces which overlap each other.\n
检查重叠模式,Check Overlaps Mode
距离,Distance
保持岛屿不合并的小偏移。,A small shift to keep the island from merging.
围绕世界中心按角度（以弧度为单位）旋转面列表,Rotate a list of faces by angle (in radians) around a world center
围绕支点缩放面列表,Scale a list of faces by pivot
围绕世界中心缩放面列表,Scale a list of faces by world center
警告：所有 'bm.faces' 必须未标记,Warning: All 'bm.faces' must be untagged
警告：需要计算 UV 和 3D 面积,Warning: Need calc uv and 3d area
计算任何选定岛屿的顶点,Calc any verts selected islands
计算任何选定岛屿的边,Calc any edges selected islands
计算任何选定岛屿的边，并标记接缝,"Calc any edges selected islands, with markseam"
所有 == 标记接缝、角度、标记锐边、平滑角度,"All == mark seam, angle, mark sharp, smooth_angle"
isl_a = 目标岛屿,isl_a = target island
警告：标记应该是默认值。最佳阈值 = 0.0005,Warning: Tags should be the default. Optimal Threshold = 0.0005
对象模式,Object Mode
网格,Mesh
窗口,Window
UV 编辑器,UV Editor
快捷键配置,Keymaps Config
快捷键配置\n\n,Keymaps Config\n\n
模式,Mode
需要标记和索引, Need tagging and indexing
警告：需要按边界索引和标记,Warning: Need indexing and tags by boundary
固定,Pin
清除,Clear
预设处理,Presets Processing
合并,Join
合并时保留 UV 通道,Join with preserve uv channels
UV 地图,UV Maps
临时,temp
向上,Up
向下,Down
添加,Add
添加缺失项,Add with Missed
移除,Remove
移除全部,Remove All
设为活动,Set Active
修复 UV,Fix UVs
修复通道,Fix channels
纵横比 Y,Aspect Y
分组并返回仅相同的元素,Groups and returns only identical elements
纹素,Texel
UV 映射,UVMap
标志,Flag
纹素密度,Texel Density
单位表面面积在 3D 空间中的纹理像素（纹素）数量。,The number of texture pixels (texels) per unit surface area in 3D space.
TD 预设,TD Presets
显示 UV 层,Show UV Layers
大小,Size
活动 UV 索引,Active UV index
活动 UV 渲染索引,Active uv render index
UV 层,UV Layers
形状方法,Shape Method
缩放,Scale
缩放岛屿以填充单位方形,Scale islands to fill unit square
旋转,Rotate
旋转岛屿以改善布局,Rotate islands to improve layout
旋转方法,Rotation Method
锁定固定岛屿,Lock Pinned Islands
约束包含任何固定 UV 的岛屿,Constrain islands containing any pinned UV
锁定方法,Lock Method
锁定重叠,Lock Overlaps
打包到,Pack to
填充,Padding
岛屿之间的间距（以像素为单位）。,Space between islands in pixels.\n\n
调试,Debug
默认捕捉点,Default Snap Points
快速捕捉的默认捕捉点,Default Snap Points for QuickSnap
显示拆分切换 UV 按钮,Show Split ToggleUV Button
启用 UV 名称控制器,Enable UV name controller
启用同步边缘接缝 ,Enable sync Border Seam
显示拉伸 ,Show Stretch
拉伸类型 ,Stretch Type
最大选择距离 ,Max Pick Distance
选择、快速吸附操作的选择距离 ,"Pick Distance for Pick Select, Quick Snap operators"
快速吸附： ,QuickSnap:
默认 ,Default
开/关 ,Off/On
删除用户 ,Delete User
解决冲突 ,Resolve Conflicts
要恢复已删除的快捷键映射，请重新加载插件。但最好使用复选框禁用它们。 ,"To restore deleted keymaps, just reload the addon. But it is better to use the checkboxes to disable them"
您已安装的插件是免费版本，缺少一些高级操作和选项。 ,"You have the free version of the addon installed, which does not have some advanced operators and options"
UniV Pro包含以下高级操作： ,which does not have some advanced operators and options
矫正 - 通过选择的四个边界顶点来拉直岛，三角形和N-Gon也适用。 ,UniV Pro includes such advanced operators as:
传输 - 交互式地将UV图层从一个对象传输到另一个对象。 ,"Rectify - straightens the island by selected 4 boundary vertices, works also with triangles and N-Gone too."
按平面选择 [2D 和 3D] - 按角度选择链接的平面面。 ,Transfer - interactively transfers a UV layer from one object to another.
循环选择 [2D 和 3D] [Ctrl+Alt+滚轮向上] - 边缘循环选择，也适用于三角形和N-Gon。 ,Select by Flat [2D and 3D] - select linked flat faces by angle
拖动 - 此操作类似于快速吸附操作，但有根本区别： ,"Loop Select [2D and 3D] [Ctrl+Alt+WheelUp] - edge loop select, works also with triangles and N-Gone too."
    1) 它仅适用于岛屿 ,"Drag - this operator is similar to the QuickSnap operator, but has fundamental differences:"
    2) 仅移动一个岛屿 ,     1) It works only with islands
    3) 取消选择所有其他元素并选择所选岛屿。 ,     2) Moves only one island
    4) 更快的操作，左键单击 + Alt + 拖动移动岛屿，释放左键后操作结束。 ,     3) Unselects all other elements and selects the picked island.
    5) 可以拉出重叠的翻转岛屿。 ,"     4) Faster manipulation, LMB + Alt + Drag moves the islands, if you release LMB - the operator ends."
