"关于","About"
"对象模式","objectmode"
"Flow4 Pro","Flow4 Pro"
"适用于 Blender 4.0+ 的工作流程工具","Workflow Tool for Blender 4.0+"
"v.4.1.0","v.4.1.0"
"2024年6月","June 2024"
"由 polyspaace 制作","created by polyspaace"
"视频","Youtube"
"文档","Documentation"
"教程与新闻","Tutorials & News"
"沿曲线散布","Scatter Along Curve"
"在曲线上散布所选资产。如果活动对象不是曲线，则会创建一个新的曲线对象","Scatter Selected Asset on Curve. If active object is not a curve, a new curve object will be created"
"FLOW_Array","FLOW_Array"
"内置绘制","builtin.draw"
"在活动网格上散射","Scatter on Active"
"在活动网格上散布选中的对象","Scatter the selected object on the active mesh"
"密度","Density"
"最小距离","Min Distance"
"对齐全局 Z 轴","Align Global Z Axis"
"散射密度","Scatter Density"
"创建阵列","Create Array"
"使用所选资产创建随机阵列","Create randomized array with the selected asset"
"随机缩放和旋转","Randomize Scale & Rotation"
"将活动实例转换为数组","Convert Active Instance to Array"
"放置在 3D 光标上","Place on 3D Cursor"
"将选定对象放置在 3D 光标上，不做任何变换","Place the selected object on the 3d cursor with no transformations"
"替换选定实例","Replace Selected Instances"
"替换选定的实例","Replace selected instance"
"替换实例组","Replace Instances Group"
"此类别中没有项目","No Items in this category"
"搜索结果：","Search Results:"
"未找到项目","No items found"
"没有项目。请先添加内容！","No items. Add something first!"
"基本颜色","Base Color"
"INVOKE_DEFAULT","INVOKE_DEFAULT"
"雕刻","Sculpt"
"FLOW_MT_BrushPieMenu","FLOW_MT_BrushPieMenu"
"图像绘制","Image Paint"
"将画笔添加到库","Add Brush to Library"
"将当前画笔添加到选定的 Flow 库中","Add current brush to your selected Flow Library"
"类别","Category"
"子类别","Subcategory"
"类别名称","Category name"
"复制画笔纹理并使其相对","Copy Brush Texture & Make Relative"
"将纹理从 Flow 库外复制到 Flow 文件夹中，并使所有纹理路径与资产相对。在文档中阅读更多内容","Copies textures from outside the Flow Library into Flow folders, and makes all texture paths relative to the asset. Read more in docs"
"新名称（留空以保留当前名称）","New name (Leave blank to keep the current name)"
"创建空画笔","Create Empty Brush"
"从头开始创建空画笔","Create empty brush from scratch"
"新建画笔","NewBrush"
"从库中加载画笔","Load Brush from Library"
"从 Flow 库中加载预定义的笔刷","Load pre-defined brush from your Flow Library"
"对象","Object"
"为当前工具加载","Load for Current Tool"
"工具","Tool"
"所选类别中没有画笔！","No brushes in selected category!"
"选择画笔：","Select the brush:"
"未找到画笔","No brushes found"
"加载画笔纹理","Load Brush Texture"
"从 Flow 库中为当前画笔加载图像纹理","Load image texture from Flow Library for the current brush"
"选定对象","Selected object"
"所选库中没有项目","No items in selected library"
"加载纹理","Load Texture"
"从 Flow 主库加载纹理","Load Texture from main Flow Library"
"搜索","Search"
"素材库","Library"
"材质","Material"
"加载为","Load as"
"您的资料库中没有对象","There are no objects in your library"
"先添加一些东西！","Add something first!"
"选择图像：","Select the image:"
"此目录中没有纹理图像","There are no texture images in this directory"
"搜索结果：","Search results:"
"已选择库：","Selected Library:"
"您的库中没有笔刷","There are no brushes in your library"
"没有连接的库","There are no connected libraries"
"画笔纹理设置","Brush Texture Settings"
"设置","Settings"
"加载蒙版","Load Mask"
"流动画笔库","Flow Brushes Library"
"雕刻模式","sculpt_mode"
"图像绘制","imagepaint"
"纹理类型","Texture Type"
"禁用纹理","Disable Texture"
"摄像机与物体贴合","Camera Fit to Objects"
"以较小的余量将相机边框与所选对象贴合","Fits camera frame to the selected objects with a small margin"
"创建资产数据","Create Asset Data"
"创建资产数据","Creates Asset Data"
"FLOW_Asset","FLOW_Asset"
"资产名称","Asset Name"
"预览","_preview"
"本地化所有纹理","Make All Textures Local"
"资产库","Asset Library"
"资产名称","Name"
"资产名称","Asset name"
"新类别","New category"
"新子类别","New subcategory"
"资产类型","Asset Type"
"读取资产数据","Read Asset Data"
"重新加载默认 HDRi","Reload Default HDRi"
"重新加载 HDRi","Reload HDRi"
"渲染资产缩略图","Render Asset Thumbnail"
