"%s弯曲","%sBend"
"影响对象","Affect Object"
"动画对象变换","Animate object transformations"
"影响骨骼","Affect Bones"
"动画骨骼","Animate bones"
"清晰姿势","Clear Pose"
"加载新姿势前清除姿势","Clear the pose before loading a new one"
"主骨","Master Bone"
"对象动画影响主骨骼而不是对象变换。\n对于简单 IK、MHX 和 Rigify","Object animations affect master bone rather than object transformations.\nFor Simple IK, MHX and Rigify"
"影响比例","Affect Scale"
"在动画中包含骨骼比例。\n始终包含对象比例","Include bone scale in animation.\nObject scale is always included"
"仅选定骨骼","Selected Bones Only"
"仅为选定的骨骼设置动画","Only animate selected bones"
"转换姿势","Convert Poses"
"尝试将姿势转换为当前装备。","Attempt to convert poses to the current rig."
"源字符","Source Character"
"此文件适用于的角色","Character this file was made for"
"影响变形","Affect Morphs"
"动画变形属性","Animate morph properties"
"清晰的变形","Clear Morphs"
"加载新的变形属性之前，清除所有未受保护的变形属性","Clear all unprotected morph properties before loading new ones"
"加载至形状键","Load To Shapekeys"
"将变形加载到网格形键而不是装备属性","Load morphs to mesh shapekeys instead of rig properties"
"乘数","Multiplier"
"用这个因子乘以所有变形","Multiply all morphs with this factor"
"加载缺失的变形","Load Missing Morphs"
"加载缺失的变形","Load missing morphs"
"类别","Category"
"将缺失的变体添加到此类别","Add missing morphs to this category"
"使用扫描数据库","Use Scanned Database"
"使用扫描数据库查找变体","Use the scanned database to find morphs"
"影响地理移植","Affect Geograft"
"将变形添加到此合并的地理移植中","Add morphs to this merged geograft"
"新行动","New Action"
"取消当前操作的链接并创建新操作","Unlink current action and make a new one"
"动作名称","Action Name"
"已加载操作的名称。\n如果为空，则使用文件名","Name of loaded action.\nUse file name if blank"
"帧速率","Frame Rate"
"Daz Studio 中的动画 FPS","Animation FPS in Daz Studio"
"整数帧","Integer Frames"
"将所有关键帧四舍五入为整数","Round all keyframes to intergers"
"从第 1 帧开始","Start At Frame 1"
"总是从第 1 帧开始新动作","Always start new actions at frame 1"
"第一帧","First Frame"
"以此框架开始导入","Start import with this frame"
"最后一帧","Last Frame"
"以此框架完成导入","Finish import with this frame"
"行动","Action"
"导入操作","Import Action"
"从 DAZ 姿势预设文件导入姿势以进行操作","Import poses from DAZ pose preset file(s) to action"
"导入姿势库","Import Pose Library"
"将姿势从 DAZ 姿势预设文件导入到姿势库","Import poses from DAZ pose preset file(s) to pose library"
"新姿势库","New Pose Library"
"取消链接当前姿势库并创建一个新的姿势库","Unlink current pose library and make a new one"
"位姿库名称","PoseLib Name"
"加载的位姿库名称","Name of loaded pose library"
"资源浏览器","Asset Browser"
"创建资产浏览器库","Create asset browser library"
"导入预览","Import Previews"
"导入姿势的预览图像","Import preview images for imported poses"
"标签","Tags"
"要添加到导入的姿势的标签列表","List of tags to add to the imported Poses"
"作者","Author"
"描述","Description"
"执照","License"
"版权","Copyright"
"导入姿势","Import Pose"
"从 DAZ 姿势预设文件导入姿势","Import a pose from DAZ pose preset file(s)"
"导入表达式","Import Expression"
"从 DAZ 姿势预设文件导入表情","Import an expression from DAZ pose preset file(s)"
"从场景导入姿势","Import Pose From Scene"
"从 DAZ 场景文件（不是姿势预设文件）导入姿势","Import a pose from DAZ scene file(s) (not pose preset files)"
"清除所有骨骼和物体变换","Clear all bones and object transformations"
"修剪动作","Prune Action"
"仅删除零键的 F 曲线","Remove F-curves with zero keys only"
"开始帧","Start Frame"
"动画的起始帧","Starting frame for the animation"
"动画的最后一帧","Last frame for the animation"
"将姿势烘焙到 FK 装备","Bake Pose To FK Rig"
"在保存姿势预设之前，将姿势烘焙到 FK 装备。\nIK 手臂和腿部必须单独烘焙","Bake pose to the FK rig before saving pose preset.\nIK arms and legs must be baked separately"
"施加锁定和限制","Impose Locks And Limits"
"对当前姿势施加锁定和限制","Impose locks and limits for current pose"
"无名","Noname"
"%s-1","%s-1"
"%s-%d","%s-%d"
"类型","Type"
"将变形添加到此自定义变形类别中","Add morphs to this category of custom morphs"
"重命名类别","Rename Category"
"重命名选定类别","Rename selected category"
"新名字","New Name"
"删除形状键","Delete Shapekeys"
"删除驱动程序和形状键","Delete both drivers and shapekeys"
"删除属性","Delete Properties"
"删除与此变形相关的对象和骨架属性","Delete object and armature properties associated with this morph"
"删除驱动程序","Delete Drivers"
"删除与此变形相关的驱动程序","Delete drivers associated with this morph"
"删除标准变形","Remove Standard Morphs"
"删除选定的标准变形和相关驱动程序","Remove selected standard morphs and associated drivers"
"删除类别","Remove Categories"
"删除选定的类别和相关驱动程序","Remove selected categories and associated drivers"
"加入类别","Join Categories"
"将选定的类别与所选类别合并","Join selected categories with the chosen category"
"保护/取消保护类别","Protect/Unprotect Categories"
"保护/取消保护选定类别中的所有变形","Protect/unprotect all morphs in selected categories"
"保护","Protect"
"如果启用，则保护选定类别中的所有变形，否则取消保护它们","Protect all morphs in selected categories if enabled, otherwise unprotect them"
"保护/取消保护变形","Protect/Unprotect Morphs"
"保护/取消保护选定的变形","Protect/unprotect selected morphs"
"如果启用则保护变形，否则取消保护","Protect morphs if enabled, otherwise unprotect them"
"更新滑块限制","Update Slider Limits"
"更新选定的滑块最小值和最大值。\n从脚本调用时选择所有滑块限制。","Update selected slider min and max values.\nAll slider limits are selected when called from script"
"分钟","Min"
"最小滑块值","Minimum slider value"
"最大限度","Max"
"最大滑块值","Maximum slider value"
"滑块","Sliders"
"更新滑块值的最小值和最大值","Update min and max for slider values"
"最终的","Final"
"更新最小值和最大值以获取最终值","Update min and max for final values"
"形键","Shapekeys"
"更新形状键的最小值和最大值","Update min and max for shapekeys"
"删除所有驱动程序","Remove All Drivers"
"从选定对象中删除所有驱动程序","Remove all drivers from selected objects"
"烘焙所有 ERC 驱动程序","Bake All ERC Drivers"
"将所有 ERC 驱动程序烘焙到选定的装备和子项。\n仅当 ERC 方法是 Armature 或 Armature All 时才有效","Bake all ERC drivers to selected rigs and children.\nOnly works if ERC method is Armature or Armature All"
"添加驱动值节点","Add Driven Value Nodes"
"添加驱动值节点","Add driven value nodes"
"活性物质：%s","Active material: %s"
"将 Shapekey 添加至类别","Add Shapekey To Category"
"将选定的形状键添加到网格类别","Add selected shapekeys to mesh category"
"新类别","New Category"
"创建新类别","Create a new category"
"添加 Shapekey 驱动程序","Add Shapekey Drivers"
"将装备驱动程序添加到形状键","Add rig drivers to shapekeys"
"从类别中删除 Shapekey","Remove Shapekey From Category"
"从网格类别中删除选定的形状键","Remove selected shapekeys from mesh category"
"移除形状键","Remove Shapekeys"
"从活动网格中删除形键和驱动程序","Remove shapekeys and drivers from active mesh"
"删除 Shapekey 驱动程序","Remove Shapekey Drivers"
"从 Shapekey 中移除装备驱动程序","Remove rig drivers from shapekeys"
"移除滑块","Remove Sliders"
"删除驱动形键的装备属性","Remove rig properties that drive the shapekeys"
"从子网格中移除","Remove From Submeshes"
"还要从同一图形中的其他网格中删除驱动程序（睫毛等）。","Also remove drivers from other meshes in the same figure (eye-lashes etc.)"
"将变形转换为形状键","Convert Morphs To Shapekeys"
"将选定的变形转换为形状键。\n从脚本调用时，所有变形都会被转换","Convert selected morphs to shapekeys.\nAll morphs are converted when called from script"
"标签作为名称","Labels As Names"
"使用形态标签而不是形态名称作为形态键名称","Use the morph labels instead of morph names as shapekey names"
"删除现有形状键","Delete Existing Shapekeys"
"删除已存在的形状键","Delete shapekeys that already exists"
"将动画传输到 Shapekeys","Transfer Animation To Shapekeys"
"％s：％s","%s:%s"
"将网格传输至 Shapekey","Transfer Mesh To Shapekey"
"将选定的网格传输到活动形状键","Transfer selected mesh to active shapekey"
"没有任何","NONE"
"创建着色器组","Make Shader Groups"
"为活动材质创建着色器组","Create shader groups for the active material"
"扩散","Diffuse"
"日志颜色","Log Color"
"色彩效果","Color Effect"
"有色效果","Tinted Effect"
"菲涅尔","Fresnel"
"石里克","Schlick"
"排放","Emission"
"单面","One Sided"
"漫反射叠加","Diffuse Overlay"
"光滑","Glossy"
"面漆","Top Coat"
"折射","Refraction"
"薄壁","Thin Wall"
"假焦散","Fake Caustics"
"透明的","Transparent"
"反转法线贴图","Invert Normal Map"
"半透明","Translucent"
"地下","Subsurface"
"另类SSS","Alt SSS"
"金属薄片","Metallic Flakes"
"射线夹","Ray Clip"
"双叶（超级着色器）","Dual Lobe (Uber Shader)"
"双叶（PBR 皮肤）","Dual Lobe (PBR Skin)"
"金属（超级着色器）","Metal (Uber Shader)"
"金属（PBR 皮肤）","Metal (PBR Skin)"
"体积","Volume"
"普通的","Normal"
"移位","Displacement"
"贴花","Decal"
"优化 IK 姿势","Optimize Pose For IK"
"优化 IK 姿势。\n与姿势加载和身体变形不兼容","Optimize pose for IK.\nIncompatible with pose loading and body morphs"
"应用休息姿势","Apply Rest Pose"
"将当前姿势应用为所有骨架的静止姿势","Apply current pose as rest pose for all armatures"
"开始","Start"
"结尾","End"
"静音/取消静音形状键","Mute/unmute shapekeys too"
"烘焙形键","Bake Shapekeys"
"将形状键值与当前动作匹配。\n随后静音控制装置","Bake shapekey values to current action.\nMute control rig afterwards"
"静音控制装置","Mute Control Rig"
"禁用驱动程序并复制位置/旋转约束","Disable drivers and copy location/rotation constraints"
"烘烤动作","Bake action"
"将视觉变换融入到动作中","Bake visual transform to an action"
"%s：已烤","%s:BAKED"
"取消静音控制装置","Unmute Control Rig"
"启用驱动程序并复制位置/旋转约束","Enable drivers and copy location/rotation constraints"
"明确行动","Clear action"
"清除当前操作","Clear the current action"
"未使用的纹理","Unused Textures"
"谎言 %s","LIE %s"
"分层谎言","LIE Layered"
"静音模式","Silent Mode"
"打开或关闭静音模式（关闭或打开错误弹出窗口）","Toggle silent mode on or off (error popups off or on)"
"扫描绝对路径","Scan Absolute Paths"
"扫描整个 DAZ 数据库。\n对于区分大小写的文件系统","Scan the entire DAZ database.\nFor case-sensitive file systems"
"添加内容目录","Add Content Directory"
"添加内容目录","Add a content directory"
"添加 MDL 目录","Add MDL Directory"
"添加 MDL 目录","Add an MDL directory"
"添加云目录","Add Cloud Directory"
"添加云目录","Add a cloud directory"
"保存设置文件","Save Settings File"
"将当前设置保存到文件","Save current settings to file"
"加载出厂设置","Load Factory Settings"
"将所有全局设置恢复为出厂默认设置","Restore all global settings to factory defaults"
"加载根路径","Load Root Paths"
"从文件加载 DAZ 根路径","Load DAZ root paths from file"
"加载内容目录","Load Content Directories"
"加载 MDL 目录","Load MDL Directories"
"加载云目录","Load Cloud Directories"
"添加内容目录","Add Content Directories"
"在目录中添加 DAZ 根路径","Add DAZ root paths in directory"
"加载设置文件","Load Settings File"
"从文件加载设置","Load settings from file"
"全局设置","Global Settings"
"显示或更新全局设置","Show or update global settings"
"DAZ 内容目录","DAZ Content Directories"
"DAZ Studio 内容的搜索路径","Search paths for DAZ Studio content"
"DAZ MDL 目录","DAZ MDL Directories"
"DAZ Studio MDL 的搜索路径","Search paths for DAZ Studio MDL"
"DAZ 云目录","DAZ Cloud Directories"
"DAZ Studio 云内容的搜索路径","Search paths for DAZ Studio cloud content"
"错误路径","Error Path"
"错误报告文件的路径","Path to error report file"
"扫描数据库路径","Scanned Database Path"
"扫描数据库的路径","Path to scanned database"
"绝对路径文件","Absolute Paths File"
"带有扫描绝对路径的文件路径","Path to file with scanned absolute paths"
"单位比例","Unit Scale"
"用于在 DAZ 和 Blender 单位之间进行转换的比例。\n默认单位为米","Scale used to convert between DAZ and Blender units.\nDefault unit meters"
"冗长","Verbosity"
"记住上一个文件夹","Remember Last Folder"
"记住最后打开的文件的目录，而不是从默认位置开始","Remember the directory of the last opened file,\ninstead of starting at default location"
"调整强度","Adjust Strength"
"添加额外的滑块来调整整体强度","Add extra sliders to adjust the overall strength"
"自定义最小值","Custom Min"
"滑块的自定义最小值","Custom minimum for sliders"
"自定义最大值","Custom Max"
"滑块的自定义最大值","Custom maximum for sliders"
"变形乘数。将滑块的最小值和最大值乘以该因子","Morph multiplier. Multiply the min and \nmax values for sliders with this factor"
"最终限制","Final Limits"
"当考虑所有滑块时，DAZ 属性的最终最小值和最大值","Final min and max values for DAZ properties,\nwhen all sliders are taken into account"
"滑块限制","Slider Limits"
"滑块的最小值和最大值","Min and max values for sliders"
"显示最终变形值","Show Final Morph Values"
"显示 \","Display the \"
"仅显示已使用的变形","Show Used Morphs Only"
"仅显示非零 \ 的变形","Only display morphs with nonzero \"
"在终端中显示","Show In Terminal"
"加载和传输变形时显示完整的变形名称","Display full morph names when loading and transferring morphs"
"加载形状键以进行变形","Load shapekeys for morphs"
"Shapekey 静音驱动器","Shapekey Mute Drivers"
"如果 shapekey 值 = 0，则添加静音 shapekey 的驱动程序。\n影响 JCM、屈曲和自定义变形","Add drivers that mute shapekeys if shapekey value = 0.\nAffects JCMs, flexions and custom morphs"
"ERC 方法","ERC Method"
