"清洁面板","Clean Panels"
"你好世界","Hello World"
"成功","Success"
":::",":::"
"PAP_MT_Panels_Sub_Pie_菜单","PAP_MT_Panels_Sub_Pie_Menu"
"打开焦点面板","Open Focused Panel"
"未找到面板！","No Panels found!"
"导出附加组件列表","Export Addons List"
"将附加组件列表导出为 txt 或 pdf 文件","Export addons list as txt or pdf file"
"文件路径","File Path"
"用于导出文件的文件路径","Filepath used for exporting the file"
"导出为：","Export as:"
"描述","Description"
"配置路径","config_path"
"，F",",f"
"atl_文件","atl_file"
"，",","
"N 面板订单","N-Panel Order"
"姓名","name"
"N-Panel 重命名","N-Panel Renaming"
"N-Panel 的清理方法（更改后重新启动 Blender）：","Clean Up method for N-Panel (Restart Blender after changing this):"
"请确保在使用实验功能之前备份你的插件目录！","Make sure you backup your addon directory before using Experimental Features!"
"重新排序标签之前请单击此按钮！","Click this button before reordering the tabs!"
"确认","Confirm"
"工作区插件类别","Workspace Addon Categories"
"图标","Icon"
"过滤面板的标签名称","Tab name for filtered out panels"
"发现强制命令","Forced Order Found"
"添加新类别","Add New Category"
"为该部分创建新类别","Create a new Category for this section"
"姓名","Name"
"删除此插件/面板","Remove this addon/panel"
"从此类别中删除此插件/面板","Remove this Addon/Panel from this category"
"删除此类别","Remove this Category"
"打开清洁面板快速设置","Open Clean Panels quick settings"
"从下拉菜单部分删除此类别","Remove this Category from Dropdowns section"
"从焦点面板部分删除此类别","Remove this Category from Focus Panel section"
"从工作区过滤中删除此类别","Remove this category from workspace filtering"
"重新排序","Reorder"
"更改面板的顺序。\n在使用每个类别排序时很有用（使用 N 面板过滤方法）","Change the order of Panels.\nUseful when using per category sorting(with N-Panel Filtering method)"
"移除此下拉菜单","Remove this Dropdown"
"添加面板","Add Panel"
"控制板","Panel"
"添加插件","Add Addon"
"更改视口和饼形菜单上显示的图标","Change the icon displayed on the viewport and the pie menu"
"使用此图标","Use this icon"
"搜索下拉菜单","Search Dropdown"
"快速搜索任何面板并将其显示为下拉列表","Quickly search for any panel to display it as dropdown"
"加载插件","Load Addons"
"重新加载列表","Reload the list"
"重置","Reset"
"重置为原始标签名称\nCTRL+LMB：全部重置","Reset to original Tab Name\nCTRL+LMB:Reset all"
"打开插件偏好设置","Open Addon Preferences"
"单击此按钮可正确排序子面板","Click this button for proper ordering of Sub-Panels"
"按下此按钮将在 blender 的 utils 模块中插入几行代码，这将使 Clean Panels 能够正常工作","Pressing this button will insert a few lines of code in the utils module of blender which will enable Clean Panels to work correctly"
"启用订购","Enable Ordering"
"按下此按钮将在 blender 的 addon_utils 模块中插入几行代码，这将使 Clean Panels 能够正常工作","Pressing this button will insert a few lines of code in the addon_utils module of blender which will enable Clean Panels to work correctly"
"启用延迟插件加载","Enable Delayed Addon Loading"
"按下此按钮将在 blender 的 addon_utils 文件中插入几行代码，这将使 Clean Panels 能够在启动时延迟加载其他插件","Pressing this button will insert a few lines of code in the addon_utils file of blender which will enable Clean Panels to delay the loading of other addons on boot"
"保存配置","Save Config"
"保存清洁面板配置","Save Clean Panels Configuration"
"重置配置","Reset Config"
"重置所有清洁面板设置","Reset all Clean Panels Settings"
"导出配置","Export Config"
"导出配置文件","Export Config File"
"导入配置","Import Config"
"导入配置文件","Import Config File"
"清除强制命令（实验性）","Clear Forced Order (Experimental)"
"清除强制 N 面板订单\nCTRL+LMB：重置","Clear Forced N-Panel orders\nCTRL+LMB:Reset"
"更新源文件中的类别","Update Category in source file"
"移动","Move"
"面板","Panels"
"筛选","Filter"
"倾倒","DUMP"
"使用搜索而不是弹出窗口将面板/插件添加到类别","Use Search instead of Popup for adding Panels/Addons to categories"
