," "
"切换基本纹理","Switch Base Texture"
"刷新纹理","Refresh Texture"
"实验性循环细分","Experimental Cycles Subdivision"
"删除所有图像","Remove all Images"
"删除所有图像","Remove all images"
"渲染空腔的图像纹理","render image texture for cavity"
"为空腔渲染图像","Render img for Cavity"
"为活动对象设置材质","Setup Material for active object"
"基础纹理 ","Base Texture - "
"微观纹理","Micro Texture"
"覆盖纹理","Overlay Texture"
"SC 主图","SC_Master"
"通过文件路径选择图像","Select Image by selection from filepath"
"从活动对象烘焙纹理","Texture Bake from active object"
"将选定纹理烘焙到导出路径","Bake selected Textures to Export Path"
"'","'"
"非彩色","Non-Color"
"线性","Linear"
"线性 Rec.709","Linear Rec.709"
"sRGB","sRGB"
"叠加纹理的油漆蒙版","Paint Mask for Overlay Texture"
"纹理绘制","Texture Paint"
"切换至自定义基色的纹理喷漆","Switch to Texture Paint for custom Base Color"
"纹理名称： ","Texture Name: "
"宽度 ","Width "
"高度 ","Height "
"阿尔法 ","Alpha "
"为活动对象设置模糊几何节点","Setup Fuzzle Geometry Nodes for active object"
"SM_Fuzz_Geo_Nodes","SM_Fuzz_Geo_Nodes"
"简单几何节点","SimplyGeoNode"
"简单支持","Simply Support"
"设置重置","Setup Reset"
"重置所有参数","Reset all Parameter"
"Simply 材质中所有图像的图像计数","Image Count of all images from Simply Material"
"基本纹理的图像索引","Image Index of Base Texture"
"微纹理图像索引","Image Index of Micro Texture"
"覆盖纹理图像索引","Image Index of Overlay Texture"
"简单材质插槽","Simply Material Slot"
"活动对象的材质名称","Material Name of active object"
"图像强度","Image Intensity"
"打开/关闭用户界面法线","Set UI Normal on/ off"
"设置用户界面粗糙度/金属效果开/关","Set UI Roughness/ Metallic on/ off"
"设置 UI 副表面/菲涅尔和发射开/关","Set UI Subsurface/ Fresnel and Emission on/ off"
"设置 UI 基本色/斜坡开/关","Set UI Base Color / Ramp on/ off"
"设置 UI 阿尔法颜色/斜坡开启/关闭","Set UI Alpha Color/ Ramp on/ off"
"设置微覆盖颜色/斜坡开启/关闭","Set Micro Overlay Color/ Ramp on/ off"
"设置叠加粗糙度/斜坡开启/关闭","Set Overlay Roughness/ Ramp on/ off"
"开启/ 关闭颜色设置","Set Colors on/ off"
"打开/关闭变形和旋转设置","Set Transform and Rotation on/ off"
"导出至 UE 引擎","Export for UE Engine"
"预览空腔烘焙的用户界面","preview UI for Cavity Bake"
"工作流程","Workflow"
"打开/关闭基本图像、微图像和叠加图像用户界面","Base, Micro, Overlay Images UI open/ close"
"打开附加效果 UI 打开/关闭","Open Additional Effects UI open/ close"
"打开/关闭附加粗糙度图像","Open Additional Roughness Image open/ close"
"打开/关闭污垢设置","Set Dirt on/ off"
"单片机模糊","SCM Blur"
"打开/关闭模糊","Set Blur on/ off"
"设置子表面开/关","Set Sub Surface on/ off"
"打开/关闭辐射","Set Emissive on/ off"
"打开/关闭磨损设置","Set Wearing on/ off"
"开启/ 关闭天鹅绒","velvet on/ off"
"天鹅绒","velvet"
"打开/ 关闭分散","dispersion on/ off"
"分散","dispersion"
"闪粉开/关","glitter on/ off"
"闪粉","glitter"
"开启/关闭谜题","Fuzzle on/ off"
"细缝","fuzzle"
"开/关背光","Backface on/ off"
"背面","backface"
"打开/关闭泪痕设置","Set Tear on/ off"
"打开/关闭泪痕彩绘","Set Tear Paint on/ off"
"打开/关闭泪痕噪音设置","Set Tear Noise on/ off"
"开启/ 关闭烘焙设置","Bake Settings on/ off"
"基色","basecolor"
"normal_opgl","normal_opgl"
"正常值","normal_ue"
"粗糙度","roughness"
"环境光","ambient_occlusion"
"发射","emissive"
"阿尔法","alpha"
"开启/关闭紫外线烘烤","UV Bake on/ off"
"uv","uv"
"图像输出名称","image output name"
"自定义基色图像纹理名称","custom base color image texture name"
"图像分辨率宽度","image resolution width"
"图像分辨率高度","image resolution height"
"打开/关闭自定义正常纹理","Enable custom Normal Texture on/ off"
"启用/关闭自定义粗糙度纹理","Enable custom Roughness Texture on/ off"
"开启/关闭口型修饰器","Fuzzle Modifier on/ off"
"打开/关闭支持页面","Support Page on/ off"
"支持","support"
"简单材质| v.1.7.0","Simply Material | v.1.7.0"
"简单启动","Simply Start"
"清理未使用的图片","Clean Unused Images"
"创建简单素材","Create Simply Material"
"重置所有更改","Reset all Changes"
"自定义底色纹理","Custom Base Color Texture"
"纹理强度","Texture Intensity"
"叠加纹理喷涂","Overlay Texture Paint"
"比例","Scale"
"强度","Intensity"
"撕裂纹理效果","Tearing Texture Paint"
"混合程序 + 纹理喷涂","Mix Procedural + Texture Paint"
"程序","Procedural"
"噪音强度","Noise Intensity"
"完成","Finish"
"完成","Done"
"混合模式","Blend Mode"
"简单纹理","Simply Textures"
"导出纹理","Export Textures"
"基本纹理 | 微型纹理 | 叠加纹理 | 附加纹理","Base | Micro | Overlay | Additional"
"基础纹理","Base Texture"
"实验--进行中","Experimental - Work in Progress"
"使用自定义纹理进行混合","Use Custom Texture for Blend"
"先保存图像！","Save Image First!"
"绘制纹理","Paint Texture"
"创建自定义纹理颜色","Create Custom Texture Color"
"绘制叠加纹理蒙版","Paint Overlay Texture Mask"
"附加图像纹理 | 徽标","Additional Image Texture | Logo"
"正常混合模式","Normal Blend Mode"
"粗糙度强度","Roughness Intensity"
"变换","Transform"
"X","X"
"Y","Y"
"°","°"
"输出","Output"
"输出","Export"
"文件格式","File Format"
"文件压缩","File Compression"
"纹理分辨率","Texture Resolution"
"px 宽度","px Width"
"像素高度","px Height"
"烘焙纹理","Textures for Bake"
"基色","Base Color"
"粗糙度","Roughness"
"阿尔法","Alpha"
"环境光遮蔽","Ambient Occlusion"
"发射（WIP）","Emissive (WIP)"
"空腔","Cavity"
"正常 - Open GL","Normal - Open GL"
"正常 - Direct X","Normal - Direct X"
"紫外线","Uv´s"
"纹理名称","Texture Name"
"烘焙所选纹理","Bake selected Textures"
"请选择要导出纹理的对象。","Please select object to export textures."
"请选择一个要导出的纹理","please select one Texture for export"
"请输入纹理名称","Please enter Texture Name"
"用户界面 - 元素","UI - Elements"
"附加图像","Additional Image"
"变换 | 旋转 | 缩放","Transform | Rotation | Scale"
"颜色","Colors"
"法线","Normals"
"额外阴影","Extra Shading"
"额外效果","Additional Effects"
"渲染引擎","Render Engine:"
