"清除可见性关键帧","Clear Visibility Keyframes"
"清除选择的可见对象上的对象可见性关键帧","Clear object visibility keyframes on selected visible objects"
"设置集合nView","Set Collection nView"
"隐藏那些没有对象在相机视角下可见的集合","Hides collections where none of its objects are visible by the camera"
"视图图层","View Layer"
"将不可见集合排除在视图图层之外","Exclude invisible collections as view layers"
"可选择性","Selectable"
"无法选择不可见集合","Invisible collections cannot be selected"
"可见性","Visible"
"在视口中临时隐藏不可见集合","Invisible collections are hidden temporarily in viewport"
"视口","Viewport"
"在视口中全局禁用不可见集合","Invisible collections are disabled globally in the viewport"
"渲染","Render"
"在渲染中全局禁用不可见集合","Invisible collections are disabled globally in renders"
"生成可见性网格","Generate Visibility Mesh"
"边缘","Margin"
"相机空间的边缘","Margin for camera space"
"使用凸包","Use Convex Hull"
"在结果网格上创建凸包","Creates a convex hull on the resulting mesh"
"布尔求解器","Boolean Solver"
"求解器","Solver"
"取消选择视角外的几何体","Deselect Geometry Outside View"
"选择相机视角下可见的几何体","Selects geometry visible by the camera"
"显示网格nView","Show Mesh nView"
"隐藏相机未见的几何体","Hides geometry not seen by the camera"
"遮罩网格","Mask Meshes"
"对选择的网格对象应用遮罩修改器，仅显示相机可见的几何体","Applies mask modifier on selected mesh objects, showing only geometry visible by the camera"
"在视口中应用","Apply in Viewport"
"在视口中应用遮罩修改器","Apply mask modifiers in viewport"
"在渲染中应用","Apply in Renders"
"在渲染中应用遮罩修改器","Apply mask modifiers in render"
"顶点组名称","Vertex Group Name"
"修改器名称","Modifier Name"
"渲染","Renders"
"命名","Naming"
"顶点组","Vertex Group"
"遮罩修改器","Mask Modifier"
"取消选择视角外的对象","Deselect Objects Outside View"
"选择相机视角下可见的对象","Selects objects visible by the camera"
"隐藏对象nView","Hide Objects nView"
"隐藏相机未见的选择对象","Hides selected objects not seen by the camera"
"不可见对象无法选择","Invisible objects cannot be selected"
"在视口中临时隐藏不可见对象","Invisible objects are hidden temporarily in viewport"
"在视口中全局禁用不可见对象","Invisible objects are disabled globally in the viewport"
"在渲染中全局禁用不可见对象","Invisible objects are disabled globally in renders"
"显示所有集合","Reveal All Collections"
"在此场景中显示所有集合","Reveal all collections in this scene"
"包括视图图层中的所有集合","Include all collections in the view layer"
"使所有场景集合可选择","Make all scene collections selectable"
"使所有场景集合可见","Make all scene collections visible"
"在视口中全局启用所有场景集合","Globally enable all scene collections in the viewport"
"在渲染中全局启用所有场景集合","Globally enable all scene collections in renders"
"显示所有对象","Reveal All Objects"
"在此场景中显示所有对象","Reveal all objects in this scene"
"使所有场景对象可选择","Make all scene objects selectable"
"使所有场景对象可见","Make all scene objects visible"
"在视口中全局启用所有场景对象","Globally enable all scene objects in the viewport"
"在渲染中全局启用所有场景对象","Globally enable all scene objects in renders"
"更新之前运行操作及其属性的数据。","Updates data of the previously run operator and its properties."
"位置：向量，方向：向量，光泽计数：整数，透射计数：整数","location: Vector, direction: Vector, glossy_count: int, transmission_count: int"
"在给定法线上反射向量。","Reflects a vector on the given normal."
"如果未被相机看到...","If Not Seen by the Camera..."
"mesh_edit","mesh_edit"
"取消选择","Deselect"
"隐藏","Hide"
"objectmode","objectmode"
"对象","Objects"
"集合","Collections"
"网格","Meshes"
"遮罩","Mask"
"清洁","Clean"
"显示所有对象","Show All Objects"
"显示所有集合","Show All Collections"
"实用程序","Utility"
"类别","Category"
"添加面板将列在其下的类别。","Category the add-on panels will be listed under."
"面板将处于的类别之下。","Category the panel will be under."
"使用对话框框","Use Dialog Box"
"单击nView操作按钮后显示属性，并在单击确定后执行操作。","Show properties upon clicking nView operator buttons, and only execute after clicking OK"
"允许在单击nView操作后显示属性，以在运行之前调整参数。","Allows properties to show upon clicking nView operator, to tweak parameters before running."
"帧范围","Frame Range"
"查询帧范围内的相机可见性","Query camera visibility over a frame range"
"类型","Type"
"要使用的帧范围","Which frame range to use"
"起始帧","Start Frame"
"结束帧","End Frame"
"帧步进","Frame Step"
"烘焙到关键帧","Bake to Keyframes"
"如有必要设置可见性属性的关键帧","Sets keyframes for visibility attributes, if necessary"
"查询","Query"
"起始帧","Frame Start"
"结束","End"
"步骤","Step"
"包括","Included"
"Blender UI列表以显示重做操作符中的摄像机","Blender UI List to display cameras in the redo operator"
"摄像机类型","Camera Type"
"必须从中可见的摄像机（s）对象","Camera(s) an object must be visible from"
"操作","Operation"
"网格剔除","Mesh Culling"
"用于确定可见性的剔除类型","Type of culling used to determine visibility"
"网格方法","Mesh Method"
"相机空间剔除的边缘","Margin for camera space culling"
"距离","Distance"
"相机和对象之间的最大距离","Maximum distance between the camera and objects"
"块大小","Tile Size"
"将渲染分辨率分割为方形块，每个块投射自己的光线","Splits render resolution into square tiles, each casting its own ray"
"总反弹","Total Bounces"
"反射的最大总数","Total maximum number of bounces"
"光泽反弹","Glossy Bounces"
"光泽反弹的最大数量，受总最大限制","Maximum number of glossy bounces, bounded by the total maximum"
"透射反弹","Transmission Bounces"
"透射反弹的最大数量，受总最大限制","Maximum number of transmission bounces, bounded by the total maximum"
"剪辑开始","Clip Start"
"反弹光线的偏移","The offset of a bounce ray\"
"剪辑结束","Clip End"
"反弹光线可以行进的最大距离","Maximum distance a bounce ray can travel"
"反弹最大","Bounces Max"
"光泽","Glossy"
"传输","Transmission"
"最小界限尺寸","Min Bound Size"
"更小的对象将被放大到此大小以进行可见性测试","Smaller objects will be scaled up to this size for visibility tests"
"对象剔除","Object Culling"
"对象方法","Object Method"
"反转选择","Invert Selection"
