"选择空","Select Empty"
"空 ID","EmptyID"
"修复宽高比","Fix Aspect Ratio"
"刷新印章 ID","Refresh StampID"
"选择父级","Select Parent"
"快速编辑","Quick Edit"
"编辑 ID","EditID"
"SNA_PT_QUICK_EDIT_F8321","SNA_PT_QUICK_EDIT_F8321"
"复制印章","Duplicate Stamp"
"创建一个复制印章","Create a duplicate Stamp"
"复制ID","DupleID"
"设置布尔切换OP","SettingsBooleanToggleOP"
"替换图像","Replace Image"
"图章 ID","StampID"
"非彩色","Non-Color"
"移除图章","Remove stamp"
"删除 ID","RemoveID"
"Don","Don"
"盖章！","Stamp It!"
"EXEC_DEFAULT","EXEC_DEFAULT"
"INVOKE_DEFAULT","INVOKE_DEFAULT"
"选择要盖章的对象。","Select an object to stamp."
"在视口中移动图章以查看效果。","Move the stamp in viewport to see effect."
"这只是控制图章位置的空。","This is just the empty that controls the stamp position."
"要更改或删除图章，请选择应用图章的对象。","To change or delete the stamp, select the object that the stamp is applied to."
"快速编辑选项：","Quick Edit Options:"
"不透明度","Opacity"
"切换圆形遮罩","Toggle Circle Mask"
"边缘混合","Edge Blend"
"盖印","Stamp It"
"设置","Settings"
"移动图章时按住 CTRL 键，使图章为空，以便捕捉","Hold CTRL while moving stamp empty for snapping"
"将图章粘贴到表面设置：","Stick Stamp To Surface Settings:"
"贴到","Snap To:"
"将图章旋转对准目标","Align Stamp Rotation To Target"
"实验","Experimental"
"切换图章自动粘贴到表面（测试版）","Toggle Stamps Auto Stick To Surfaces (Beta)"
"存储指针","StoredPointer"
"存储的群组名称","StoredGroupName"
"存储的空指针","StoredEmptyPointer"
"纹理坐标名称","TextureCoordName"
"旧节点名称","OldNodeName"
"图像文件夹","ImageHolder"
"存储父节点","StoreParent"
"是否为父节点","Is Parented"
"布尔变换","TransformBoolean"
"空命名指针","EmptyRenamePointer"
"布尔切换","TransformBooleanToggle"
"设置布尔","SettingsBoolean"
"编辑 ID","EDIT ID"
"图章透明度","StampOpacity"
