"导入灯光","Import Light"
"导入灯光预设","Import light presets"
"设置灯光预设","Set Light Presets"
"灯光预设","Light Presets"
"灯光","Light"
"所有预设","All Presets"
"更好的照明 v2","Better Lighting v2"
"Light Tool UI 切换面板","light_tool_ui_toggle_panel"
"库选择器","Library Selector"
"选择一个选项","Choose an option"
"导入","Import"
"灯光节点控制面板","Light node control panel"
"ui_toggle_2","ui_toggle_2"
"所选灯光没有节点树。","Selected light has no node tree."
"不在Cycles渲染引擎中。","Not in Cycles render engine."
"未选择灯光。","No light selected."
"设置","Setting"
"UI 切换设置","ui_toggle_setting"
"键映射设置","Keymap Setting"
"UI oggle 设置键盘映射","ui_toggle_setting_keymap"
"饼菜单UI设置","Pie Menu UI Setting"
"UI 切换设置 piemenu UI","ui_toggle_setting_piemenu_ui"
"饼菜单UI设置正在开发中。","Pie Menu UI Setting is under development."
"文档","Documents"
"UI 切换信息","ui_toggle_info"
"不和","Discord"
"我的网站","My Website"
"灯光控制饼菜单","Light Control Pie Menu"
"类型","Type"
"功率","Power"
"半径","Radius"
"聚光大小","Spot Size"
"混合","Blend"
"显示光锥","Show Cone"
"角度","Angle"
"形状","Shape"
"尺寸","Size"
"光束形状","Beam Shape"
"阴影","Shadow"
"不在Cycles渲染引擎中或选择的对象不是灯光。","Not in Cycles render engine or selected object is not a light."
"射线可见性","Ray Visibility"
"相机","Camera"
"漫反射","Diffuse"
"光泽","Glossy"
"透射","Transmission"
"体积散射","Volume Scatter"
"镜面反射","Specular"
"体积","Volume"
"不支持的渲染引擎。","Render engine not supported."
"调用灯光控制饼菜单","Call Light Control Pie Menu"
"LIGHT MT 馅饼菜单","LIGHT_MT_pie_menu"
"重复","Repeat"
"CMD的","Cmd"
"键映射：","Keymap:"
"3D 视图","3D View"
