"开始","Inception"
"遗产位置","LegacyPose"
"startup.blend","startup.blend"
"更新文件路径","Update File Path"
"更新信息","Update Message"
"插件终端注册输出","Addon Terminal Registration Output"
"显示焦点首选项","Show Focus Preferences"
"视口过渡","Viewport Tweening"
"忽略灯光（保持灯光始终可见）","Ignore Lights (keep them always visible)"
"显示文件浏览器首选项","Show FileBrowser Preferences"
"调整模态缩略图大小","Modal Thumbnail Size Adjustment"
"显示组首选项","Show Group Preferences"
"自动命名组","Auto Name Groups"
"自动为任何用户设置的组名称添加前缀和/或后缀","Automatically add a Prefix and/or Suffix to any user-set Group Name"
"组基本名称","Group Basename"
"添加到组名称的前缀","Prefix to add to Group Names"
"添加到组名称的后缀","Suffix to add to Group Names"
"组空绘图大小","Group Empty Draw Size"
"默认组大小","Default Group Size"
"淡化组空尺寸","Fade Group Empty Sizes"
"创建子组","Make Sub Group"
"淡化组尺寸系数","Fade Group Size Factor"
"减少每个空群的系数","Factor by which to decrease each Group Empty"
"删除空组","Remove Empty Groups"
"在每次清理过程中自动移除空组","Automatically remove Empty Groups in each Cleanup Pass"
"显示资产浏览器工具首选项","Show Asset Browser Tools Preferences"
"首选默认目录","Preferred Default Catalog"
"创建装配资产的首选工作区","Preferred Workspace for Assembly Asset Creation"
"在保存饼中显示装配资产创建","Show Assembly Asset Creation in Save Pie"
"在 “模式 ”饼中显示集合实例装配体","Show Collection Instance Assembly in Modes Pie"
"创建装配资产时隐藏导线对象","Hide Wire Objects when creating Assembly Asset"
"装配集合实例时隐藏导线对象","Hide Wire Objects when assembling Collection Instance"
"显示区域首选项","Show Region Preferences"
"左/右优于底/顶","Prefer Left/Right over Bottom/Top"
"关闭范围","Close Range"
"切换资产架而不是浏览器","Toggle the Asset Shelf, instead of the Browser"
"在顶部切换资产浏览器","Toggle the Asset Browser at the Top"
"在底部切换资产浏览器","Toggle the Asset Browser at the Bottom"
"将鼠标移至资产浏览器边框","Warp Mouse to Asset Browser Border"
"显示渲染首选项","Show Render Preferences"
"渲染文件夹名称","Render Folder Name"
"用于存储相对于 .blend 文件位置的渲染图像的文件夹","Folder used to stored rended images relative to the Location of the .blend file"
"种子渲染次数","Seed Render Count"
"设置用于移除萤火虫的种子渲染数量","Set the Amount of Seed Renderings used to remove Fireflies"
"保留单个渲染","Keep Individual Renderings"
"保留种子渲染后的单个渲染。","Keep the individual Seed Renderings, after they"
"使用 Clownmatte 名称","Use Clownmatte Name"
"在灯光属性面板中显示渲染按钮","Show Render Buttons in Light Properties Panel"
"同步灯光的可见性/渲染性","Sync Light visibility/renderability"
"根据隐藏视口道具同步灯光的隐藏渲染道具","Sync Light hide_render props based on hide_viewport props"
"在 Cycles 中渲染时调整区域灯光","Ajust Area Lights when Rendering in Cycles"
"调整渲染时的区域灯光，以更好地匹配 Eevee 和 Cycles","Adjust Area Lights when Rendering, to better match Eevee and Cycles"
"在视口渲染时执行隐藏渲染设置","Enforce hide_render setting when Viewport Rendering"
"使用 Cyclces 进行视口渲染时，根据隐藏渲染道具隐藏对象","Hide Objects based on their hide_render props, when Viewport Rendering with Cyclces"
"在循环渲染时自动设置斜角着色器","Automatically set up Bevel Shader when Cycles Rendering"
"在循环渲染时为所有可见材质设置斜面着色器","Set up Bevel Shader on all visible Materials when Cycles Renderings"
"显示材质选取器首选项","Show Material Picker Preferences"
"材质选取器应显示的工作区","Workspaces the Material Picker should appear on"
"在所有材质着色视口中显示材质选取器","Show Material Picker in all Material Shading Viewports"
"在所有渲染着色视口中显示材质选取器","Show Material Picker in all Render Shading Viewports"
"对象模式间距","Object Mode Spacing"
"编辑模式间距","Edit Mode Spacing"
"在右键菜单的顶层添加材质选取器","Add Material Picker at Top Level in the Context Menu"
"将材质选择器添加到上下文菜单的顶层，而不是 MACHIN3tools 子菜单中","Add Material Picker to Top Level in the the Context Menu, not in the MACHIN3tools Sub Menu"
"显示自定义首选项","Show Customize Preferences"
"启动场景","Startup Scene"
"主题","Theme"
"贴图","Matcaps"
"阴影","Shading"
"叠加","Overlays"
"大纲","Outliner"
"首选项： 界面","Preferences: Interface"
"首选项 视口","Preferences: Viewport"
"偏好设置 输入和导航","Preferences: Input & Navigation"
"偏好设置 键图","Preferences: Keymap"
"偏好设置 系统","Preferences: System"
"首选项：系统 保存和加载","Preferences: Save & Load"
"显示模式派首选项","Show Modes Pie Preferences"
"在 “编辑 ”模式下切换 “空腔/曲率 ”为 OFF，在 “对象 ”模式下切换为 ON","Toggle Cavity/Curvature OFF in Edit Mode, ON in Object Mode"
"如果 “编辑 ”模式中启用了 “穿越 ”或 “线框”，则在 “编辑 ”模式中切换为 “X 射线 ”ON，在 “对象 ”模式中切换为 ""OFF","Toggle X-Ray ON in Edit Mode, OFF in Object Mode, if Pass Through or Wireframe was enabled in Edit Mode"
"切换模式时尽可能同步工具","Sync Tool if possible, when switching Modes"
"显示保存派","Show Save Pie"
"显示 .obj 导出","Show .obj Export"
"显示塑性导出","Show Plasticity Export"
"显示 .fbx 导出","Show .fbx Export"
"显示 .usd 导出","Show .usd Export"
"显示 .stl 导出","Show .stl Export"
".obj 文件夹",".obj Folder"
"使用 ","Use "
"这对 Unity 很有用，但对虚幻引擎不好","This is useful for Unity, but bad for Unreal Engine"
"在 “保存派 ”中显示屏幕截图","Show Screencast in Save Pie"
"操作员数量","Operator Count"
"屏幕截图时显示的最大操作数","Maximum number of Operators displayed when Screen Casting"
"字体大小","Font Size"
"突出显示 MACHIN3 操作员","Highlight MACHIN3 operators"
"突出显示 MACHIN3 附加组件中的操作符","Highlight Operators from MACHIN3 addons"
"显示操作符","Display Operator"
"使用屏幕播出键（扩展，首选）","Use Screencast Keys (Extension, pereferred)"
"使用 SKRIBE（外部）","Use SKRIBE (external)"
"使用 SKRIBE（外部，首选）","Use SKRIBE (external, preferred)"
"使用截屏键（插件）","Use Screencast Keys (addon)"
"在 “饼 ”中提供预取消保存功能","Make Pre-Undo Saving available in the Pie"
"显示阴影饼","Show Shading Pie"
"默认情况下以纯色阴影显示叠加效果","Show Overlays in Solid Shading by default"
"对于新创建的场景或.blend 文件，默认情况下在材质着色中显示叠加效果。","For a newly created scene, or a .blend file where where it wasn"
"默认情况下在材质阴影中显示叠加效果","Show Overlays in Material Shading by default"
"默认情况下在渲染着色中显示覆盖层","Show Overlays in Rendered Shading by default"
"默认情况下在线状阴影中显示叠加效果","Show Overlays in Wire Shading by default"
"遮罩 1","Matcap 1"
"Matcap 2","Matcap 2"
"在 Matcap 2 中强制使用单色阴影","Force Single Color Shading for Matcap 2"
