"导入节点组","Import Node Group"
"导入城市生成器节点组","Import City Generator Node Group"
"城市生成器","CityGenerator"
"城市","City"
"城市生成器资产","City Generator Assets"
"应用节点组","Apply Node Group"
"将城市生成器节点组应用到活动对象","Apply City Generator Node Group to Active Object"
"导入城市生成器","Import City Generator"
"将城市生成器应用到活动对象","Apply City Generator to Active Object"
"几何设置","Geometry Settings"
"低多边形预览","Low Poly Preview"
"没有选中的活动对象","No active object selected"
"建筑设置","Building Settings"
"隔离建筑","Isolate Buildings"
"最小高度","Height Min"
"最大高度","Height Max"
"随机种子","Random Seed"
"基于面大小的高度","Height based on face size"
"划分面大小","Divide face size"
"随机化建筑形状","Randomize Building Shape"
"概率","Probability"
"最小","Min"
"最大","Max"
"种子","Seed"
"细分级别","SubDiv Level"
"随机化Z形状","Randomise Z shape"
"层1最小","Layer 1 Min"
"层1最大","Layer 1 Max"
"层2最小","Layer 2 Min"
"层2最大","Layer 2 Max"
"层3最小","Layer 3 Min"
"层3最大","Layer 3 Max"
"细分概率","SubDiv Probability"
"细分种子","SubDiv Seed"
"屋顶资产","Roof Assets"
"密度因子","Density Factor"
"最小距离","Distance Min"
"距离边缘","Distance to Edges"
"立面设置","Facade Settings"
"墙资产种子","Wall Asset Seed"
"墙资产层2混合","Wall Asset Layer 2 Mixture"
"消防梯密度","Fire Escape Density"
"高级设置","Advanced Settings"
"使用高楼资产的楼层阈值","Threshold of floors to use high building assets"
"在最大索引的立面上设置消防梯","Fire Escape on Facade with a max index of"
"墙资产的数量，最大索引","Amount of wall assets, max index"
"高楼资产索引最小","High building assets index Min"
"高楼资产索引最大","High building assets index Max"
"底楼","Ground Floor"
"资产索引范围1最小","Asset Index Range 1 Min"
"资产索引范围1最大","Asset Index Range 1 Max"
"高度","Height"
"宽度","Width"
"资产索引范围2最小","Asset Index Range 2 Min"
"资产索引范围2最大","Asset Index Range 2 Max"
"资产索引范围3最小","Asset Index Range 3 Min"
"资产索引范围3最大","Asset Index Range 3 Max"
"街道设置","Street Settings"
"隔离街道","Isolate Streets"
"街道规模","Street Scale"
"建筑空间","Building Space"
"角半径","Corner Radius"
"角分辨率","Corner Resolution"
"道路标记","Road Markings"
"双车道","Double Lanes"
"车道距离","Lane Distance"
"交叉路口距离","Intersection Distance"
"线条长度","Line Length"
"线条宽度","Line Width"
"斑马线","Zebra Crossing"
"斑马线间距","Zebra Line Distance"
"斑马线宽度","Zebra Line Width"
"斑马线长度","Zebra Line Length"
"道路边缘","Roadsides"
"距离","Distance"
"三角形线距离","Triangulated Lines Distance"
"边缘半径","Edge Radius"
"红线","Red Lines"
"红线概率","Red Lines Probability"
"红线种子","Red lines Seed"
"红线距离","Red Lines Distance"
"井盖贴花","Manhole Decals"
"井盖贴花密度","Manhole Decals Density"
"贴花大小","Decal Size"
"人行道","Sidewalk"
"人行道高度","Sidewalk Height"
"人行道资产密度","Sidewalk Assets Density"
"人行道资产距离","Sidewalk Assets Distance"
"街灯","Street lamps"
"距角落的距离","Distance to the Corner"
"密度","Density"
"交通信号灯","Traffic Lights"
"偏移","Offset"
"树木","Trees"
"停车的汽车","Parking Cars"
"删除汽车","Delete Cars"
"汽车距离","Car Distance"
"随机缩放最小","Random Scale Min"
"随机缩放最大","Random Scale Max"
"交通模拟","Traffic Simulation"
"计算到帧","Calculate to Frame"
"烘焙模拟","Bake Simulation"
"删除烘焙","Delete Bake"
"隔离交通","Isolate Traffic"
"集合","Collection"
"显示路径","Show Paths"
"显示交通灯为点","Show Traffic Lights as Points"
"路径数量","Amount of Paths"
"汽车数量","Amount of Cars"
"起始位置","Start Position"
"汽车速度最小","Car Speed Min"
"汽车速度最大","Car Speed Max"
"交通灯切换速度","Traffic Light Switching Speed"
"保持距离","Keep Distance"
"随机化汽车大小","Randomize Car Size"
"交通灯停止距离","Traffic Lights Stop Distance"
"材质设置","Material Settings"
"砖墙材质","Brick Wall  Material"
"材质节点","Material "
"法线强度","Node "
"凹凸强度","Normal Strength"
"缩放","Bump Strength"
"随机亮度强度","Scale"
"随机亮度对比度","Randomise Brigntess Strength"
"随机亮度噪声尺度","Randomise Brigntess Contrast"
"道路材质","Randomise Brigntess Noise Scale"
"纹理遮罩比例","Road Material"
"水坑大小","Texture Mask Scale"
"水坑粗糙度","Puddle Size"
"噪声尺度","Puddle Roughness"
"噪声粗糙度","Noise Scale"
"柏油线遮罩","Noise Roughness"
"柏油线尺度","Tar Line Mask"
"柏油线随机性","Tar Line Scale"
"基础颜色","Tar Line Randomness"
"磨损度","Base Color"
"人行道材质","Woreness"
"随机亮度","Side Walk Material"
"水坑强度","Random Brightness"
"遮罩","Puddle Strength"
"汽车油漆","Mask"
"金属度","Car Paint"
"粗糙度","Metallic"
"灯光设置","Roughness"
"夜灯开启","Light Settings"
"Cycles灯光优化","Night Lights On"
"街灯设置","Cycles Light Optimization"
"对象","Street Light Settings"
"随机颜色","Object "
"灯光不使用节点","Random color"
"聚光尺寸","Light does not use nodes."
"最小到最大","Spot Size"
"最大到最小","To Min"
"车灯设置","To Max"
"发光强度","Car Light Settings"
"窗户灯光设置","Emission Strength"
"灯光概率","Window Lights Settings"
"随机化纹理位置","Light Probability"
"纹理种子","Randomizne Texture Position"
"饱和度","Texture Seed"
"着色","Saturation"
"着色因子","Colorize"
