"图标","icon"
"文本曲线","TextCurve"
"文本对象","TextObject"
"未命名磁带","Unnamed_Tape"
"布尔","Boolean"
"镜像","Mirror"
"收缩包装","Shrinkwrap"
"设置窗口高度","settingheightfornow"
"查看 UVMap","ViewUVMap"
"UV 项目","UVProject"
"油漆属性","Paint Property"
"设计属性","Design Property"
"设计绘制属性","Design Paint Property"
"预设属性","Presets Property"
"物理属性","Physics Property"
"其他工具属性","OtherTools Property"
"接缝颈部工具属性","SeamNeckTool Property"
"接缝袖口工具属性","SeamCuffsTool Property"
"接缝背面工具属性","SeamBackTool Property"
"接缝中心属性","SeamCenter Property"
"接缝肩部属性","SeamShoulder Property"
"接缝属性","Seam Property"
"绑定可见性属性","Bind Visibility Property"
"BloatSleeve 属性","BloatSleeve Property"
"BloatUpperSleeve 属性","BloatUpperSleeve Property"
"前臂属性","BloatForearm Property"
"上衣属性","BloatTop Property"
"裤子腿属性","BloatTrouserLeg Property"
"开/关切换属性","Open/Close Toggle Property"
"连帽衫切换属性","Hoodie Toggle Property"
"衣领切换属性","Collar Toggle Property"
"材料切换属性","Materials Toggle Property"
"脚踝袖口切换属性","Ankle Cuff Toggle Property"
"启用领子切换属性","Enable Collar Toggle Property"
"百褶裙","Pleated Skirt"
"褶数","Pleat Count"
"布料质量","Cloth Quality"
"布料重量","Cloth Weight"
"布料弹性","Cloth Stretchiness"
"布料压力","Cloth Pressure"
"布料充气/放气","Cloth Inflation/Deflation"
"河豚信息","Puffer Message"
"布料质量信息","Cloth Quality Message"
"布料弹力信息","Cloth Stretchiness Message"
"拉链信息","Zip Message"
"油漆信息 信息","Paint Message Message"
"紧急绑定警报器","Emergency Bind Siren"
"游戏模式","Game Mode"
"保存状态","Save State"
"自定义颜色","Custom Color"
"自定义颜色值","Custom Color Value"
"打印试验","Print Experimental"
"神圣切割 ","Divine Cut "
" 智能布料生成器"," Smart Cloth Generator"
"新布","New Cloth"
"生成上衣","Generate Top Rig"
"生成裤子","Generate Trouser Rig"
"生成裙子","Generate Skirt Rig"
"生成裤子","Generate Trouser"
"生成上衣","Generate Top"
"生成裙子","Generate Skirt"
"重新开始","Start over"
"袖口脚踝","Cuff Ankles"
"材料","Materials"
"布料类型 ","Cloth Type "
"特征 ","Character "
"布料 ","Cloth "
"装备/肢体","Rig/Armature"
"绑定","Bind"
"在角色上定位点","Position the points on your Character"
"是的。可爱","Yes. Lovely"
"好了，现在确保圆圈紧贴角色","Alright now make sure the circles hug the character"
"未找到神衣","No Divine Cloth found"
"选择角色并点击 ","Select your Character and click "
"剩下的就交给上天吧","The heavens will take care of the rest"
"摆好姿势","Pose"
"休息","Rest"
"画画","Paint"
"针脚","Pinning"
"针脚设置","PinSet"
"收缩套装","ShrinkSet"
"平滑","Smooth"
"光滑设置","SmoothSet"
"压力","Pressure"
"压力刷新","PressureRefresh"
"充气/放气","Inflate/Deflate"
"收缩","Shrinking"
"收缩刷新","ShrinkRefresh"
"插针和收缩","Pin & Shrink"
"插针和收缩","PinAndShrink"
"刷新","Refresh"
"弯曲","Bending"
"设计","Design"
"按钮","Button"
"添加按钮","Add Button"
"添加项圈","Add Collar"
"停用项圈","Deactivate Collar"
"激活衣领","Activate Collar"
"添加连帽衫","Add Hoodie"
"收缩包装袖口","Shrinkwrap Cuffs"
"神圣配件","Divine Accessory"
"切换接缝","Toggle Seams"
"切换碰撞","Toggle Collision"
"弹性","Elastify"
"新装饰","New Frill"
"完成装饰","Finish Frill"
"起皱","Puff"
"应用形状","Apply Form"
"蓬松压力","Puff Pressure"
"填充刷新","PuffRefresh"
"添加拉链","Add Zip"
"喷涂工具","Painting Tools"
"喷涂","Spray"
"擦拭","Wipe"
"烘烤","Bake"
"将图像保存为混合图像","Save Image to Blend"
"使用自定义颜色","Use Custom Color"
"材质化（试验性）","Materialize (Experimental)"
"这些功能正在开发中，可能无法始终按预期运行","These features are in development and may not always work as expected"
