"x","x"
"驳回这个版本","Dismiss this version"
"驳回此消息","Dismiss this message"
"机市场","Blender Market"
"GumRoad","GumRoad"
"信息","Info"
"路径名","Path Name"
"可见","Visible"
"从这个文件夹显示KPACKS","Show KPACKS from this folder"
"路径","Path"
"KIT OPS库的路径","Path to KIT OPS library"
"上下文","Context"
"KIT OPS首选项设置上下文","KIT OPS preference settings context"
"作者","Author"
"创建insert时将使用的名称","Name that will be used when creating INSERTS"
"插入偏移量X","INSERT offset X"
"从鼠标光标添加INSERT时使用的偏移量","Offset used when adding the INSERT from the mouse cursor"
"插入偏移量Y","INSERT offset Y"
"清洁的名字","Clean names"
"将UI中使用的名称变为大写并从KPACKS中清除","Capatilize and clean up the names used in the UI from the KPACKS"
"干净的数据锁名称","Clean datablock names"
"启用并清理insert中用于数据锁的名称","Capatilize and clean up the names used for datablocks within INSERTS"
"缩略图的标签","Thumbnail labels"
"在预览弹出的缩略图下显示insert的名称","Displays names of INSERTS under the thumbnails in the preview popup"
"边框颜色","Border color"
"边框使用的颜色","Color used for the border"
"边界大小","Border size"
"边框大小(像素)\n注:DPI因子","Border size in pixels\n  Note: DPI factored"
"标志颜色","Logo color"
"用于KIT OPS标志的颜色","Color used for the KIT OPS logo"
"色差","Off color"
"当没有带有插入目标的活动插入时，用于KIT OPS标识的颜色","Color used for the KIT OPS logo when there is not an active insert with an insert target"
"标志尺寸","Logo size"
"Logo尺寸在3d视图中\n注:DPI因子","Logo size in the 3d view\n  Note: DPI factored"
"标志填充x","Logo padding x"
"在3d视图中从边角处填充标志\n注意:DPI因素","Logo padding in the 3d view from the border corner\n  Note: DPI factored"
"标志填充y","Logo padding y"
"标志自动偏移","Logo auto offset"
"偏移标志自动为HardOps和BoxCutter","Offset the logo automatically for HardOps and BoxCutter"
"文本颜色","Text color"
"用于KIT OPS帮助文本的颜色","Color used for the KIT OPS help text"
"模式","Mode"
"插入模式","Insert mode"
"插入规模","Insert Scale"
"添加Insert时，基于活动对象的插入缩放模式","Insert scale mode based on the active obj when adding an INSERT"
"主尺度","Primary Scale"
"为primary添加INSERT时对象大小的百分比","Percentage of obj size when adding an INSERT for primary"
"中等规模","Secondary Scale"
"为次要对象添加INSERT时对象大小的百分比","Percentage of obj size when adding an INSERT for secondary"
