"打开下载页面","Open Downloads Page"
"更新信息：","Update Information:"
"更新消息：","Update Message:"
"下载页面网址","Download Page URL"
"插件是最新的！","Addon is Up to Date!"
"更新可用","Update Available"
"检查更新","Check for Updates"
"检查启动时的更新！","Check for Updates on Boot!"
"每 X 天检查一次","Check every X days"
"每 X 天检查一次更新","Check for Updates every X days"
"从 node_groups.blend 加载所有云节点组名称","Load all cloud node group names from node_groups.blend"
"将default_preset_icon.png加载为图标","Load the default_preset_icon.png as the icon"
"将missing_preset_icon.png加载为图标","Load the missing_preset_icon.png as the icon"
"删除此资产的图标","Remove the icon for this asset"
"返回相对于资产路径的完整图标路径","Return the full icon path relative to the asset path"
"为此预设绘制图标选择器","Draw the icon picker for this preset"
"从节点创建新预设。","Create a new preset from a node."
"按每个列表项中的最后一项（即订单号）对传递的枚举进行排序","Sort passed enum by the last item in each list item (ie the order number)"
"返回相对于资产路径的完整 hdri 纹理路径","Return the full hdri texture path relative to the asset path"
"返回相对于资产路径的完整 hdri 图标路径","Return the full hdri icon path relative to the asset path"
"确保存在名为“TSKY_HDR_IMAGE”的映像，如果没有，则将其应用于正确的节点","Ensure an image named 'TSKY_HDR_IMAGE' exists and is applied to the correct node if not"
"将此 HDRI 设置为天空的 hdri","Set this HDRI as the sky's hdri"
"sun_elevation","sun_elevation"
"将资产移回根路径，并相应地设置资产路径","Move assets back to the root path and set the asset path accordingly"
"将此类中的数据加载到其同级 bpy CollectionProperty 类“TSKY_PerformanceCollection”中","Load data from this class into its sibling bpy CollectionProperty class 'TSKY_PerformanceCollection'"
"加载/创建任何 EnumProperty 项的所有元组列表","Load/create all lists of tuples for any EnumProperty's items"
"为 UI 创建所有图标选取器","Create all icon pickers for the UI"
"清除/删除所有图标选取器","Clear/delete all icon pickers"
"将所有图标加载到 Blender 中","Load all icons into Blender"
"（回复）从存储的预设中加载所有 CollectionProperty","(Re)Load all CollectionProperty's from the stored presets"
"使用所需的基本数据创建字典。主要用于不更改的数据，并将 TSky 指向资产所在的位置。","Create a dictionary with the base data needed. Mainly for data that doesn't change and pointing TSky to where the assets are located."
"full_sky_presets","full_sky_presets"
"创建字典并将其另存为 JSON 文件","Create a dictionary and save it as a JSON file"
"保存到存储的json_path","Save to the stored json_path"
"保存自定义用户资产","Save Custom User Assets"
"保存到根文件夹，以备资产为外部资产时使用","Save to root folder for when assets are external"
"将所有 json 文件加载到内存中","Load all json files into memory"
"将基础 json 文件加载到内存中并存储必要的数据","Load the base json file into memory and store necessary data"
"将 assets json 文件加载到内存中，并从中创建资产数据","Load the assets json file into memory and create the asset data from it"
"更新Blender的所有区域，甚至在弹出窗口中更新","Update all areas of Blender even ones in pop up windows"
"注册和注销 ts 对象。之前不保存更改","Register and unregister ts object. Does not save changes before"
"确保有一个名为“tVFX-True-Sky”的集合。如果未找到，请创建。返回找到/创建的 bpy.types.Collection","Ensure there is a collection named 'tVFX-True-Sky'. Create if not found. Returns the found/created bpy.types.Collection"
"创建天空使用雾霾/雾所需的材质","Create the material needed for the sky to use Haze/Fog"
"确保材质“tVFX-World Sphere”存在，否则创建它，然后返回它","Ensure the material 'tVFX-World Sphere' exists, otherwise create it, then return it"
"创建天空体积所需的巨型世界球体","Create the giant world sphere needed for sky volumetrics"
"设置云对象和场景","Setup the cloud object and scene"
"重置为默认值","Reset To Default"
"将此值重置为它","Reset this value to it"
"将节点重置为默认值","Reset Node To Default"
"重置每个节点输入","Reset each Node input to it"
"导出补丁/更新","Export Patch/Update"
"导出相关文件夹和文件，以便仅使用脚本进行修补/更新","Export relevant folders and files for script-only patch/update"
"导出目录","Export Directory"
"您在哪里","Where you"
"版本","Version"
"此修补程序/更新的版本。将被命名为...","The version of this patch/update. Will be named..."
"补丁说明","Patch Description"
"安装补丁后要显示的内容","What to display once patch has been installed"
"导出后打开","Open After Export"
"导出后打开父目录","Open the parent directory after exporting"
"补丁","Patch"
"无论这是否是补丁或更新。如果是","Whether or not this is a patch or update. If it"
"试用版","Beta"
"添加字符串","Add the string "
"阿尔法","Alpha"
"返回程序中的当前行号。","Returns the current line number in our program."
"将字典写入打开的 JSON 文件","Write dict to an opened JSON file"
"用error_message结尾打印每件东西","Print each thing with error_message ending"
"打开密码文件路径的位置","Open the location of the pass file path"
"闲置","Unused"
"绘制标签比平时更容易","Draw a label easier than normally"
"绘制多行标签","Draw multiple lines of labels"
"绘制具有异常比例和警报的道具","Draw props with abnormal scales and alerts"
"默认情况下绘制展开枚举","Draw enum as expanded by default"
"绘制节点的所有输入","Draw all inputs of a node"
"绘制节点输入的默认值","Draw a node input's default value"
"使用正确的箭头图标绘制下拉列表","Draw dropdown with correct arrow icons"
"使用正确的箭头图标绘制下拉列表，如果未打开，则该图标会褪色","Draw dropdown with correct arrow icons that is faded if not open"
"在下拉区域中切换绘制下拉列表","Draw dropdown with a toggle in the dropdown area"
"从传递的输入中设置节点树、节点和输入","Sets the node tree, node, and input all from the passed input"
"打开或关闭此设置","Turn this setting on or off"
"显示设置","Display Settings"
"显示此部分","Display this section"
"显示高级设置","Show Advanced Settings"
"要绘制的输入节点","The node of the inputs to draw"
"主要","Main"
"设置相机","Setup Cameras"
"将建议的设置应用于场景中的所有摄像机","Apply recommended settings to all cameras in scene"
"资产运营","Asset Ops"
"更改资产路径（无移动）","Change Asset Path (No Move)"
"在不尝试移动文件的情况下更改资产文件路径","Change the asset file path without trying to move the files"
"重置资产路径","Reset Asset Path"
"将资产路径重置为插件目录","Reset the asset path to the addon directory"
"创建云数据","Create Cloud Data"
"创建新的云数据","Create new cloud data"
"云名称","Cloud Name"
"新云数据项的名称","The name of the new cloud data item"
"移除云数据","Remove Cloud Data"
"移除云数据项","Remove a cloud data item"
"要删除的云数据的名称","The name of the cloud data to remove"
"加载云数据","Load Cloud Data"
"从文件加载云数据","Load cloud data from file"
"添加图标","Add Icon"
"向云数据添加图标","Add an icon to a cloud data"
"删除图标","Remove Icon"
"从云数据中删除图标","Remove an icon from cloud data"
"复制到剪贴板","Copy to Clipboard"
"将一些文本复制到剪贴板中","Copy some text into the clipboard"
"启用 AE","Enable AE"
"启用自动曝光处理程序","Enable Auto Exposure handler"
"AE 设置","AE Settings"
"测光模式","Metering Mode"
"导出节点","Export Nodes"
