阁楼,"Loft"
选定曲线的纬度,"Lofts selected curves"
从 %s 到 %s 的自动纬度,"Auto loft from %s to %s"
自动纬度,"Auto Loft"
更新自动鸽舍,"Update Auto Loft"
更新所选曲线的纬纱,"Update Lofts selected curves"
圆角,"Fillet"
半径,"Radius"
圆角半径,"Radius of the rounded corners"
倒角,"Chamfer"
切掉锐角，不进行圆角处理,"Cut off sharp without rounding"
限制一半长度,"Limit Half Way"
将线段限制为其长度的一半，以防止碰撞,"Limits the segments to half their length in order to prevent collisions"
布尔值,"Boolean"
类型,"Type"
相交,"Intersection"
处理投影,"Handle Projection"
合并端点,"Merge Ends"
距离,"Distance"
合并两个控制点的最大距离阈值,"Threshold of the maximum distance at which two control points are merged"
细分,"Subdivide"
参数,"Params"
数组,"Array"
偏移,"Offset"
到副本之间的向量,"Vector between to copies"
份数,"Count"
副本数,"Number of copies"
连接,"Connect"
连接各个副本,"Concatenate individual copies"
蛇形,"Serpentine"
每第二个副本切换方向,"Switch direction of every second copy"
圆形,"Circle"
长度,"Length"
曲线 (.svg),"Curves (.svg)"
仅选择,"Selection only"
而不是导出所有可见曲线,"instead of exporting all visible curves"
绝对坐标,"Absolute coordinates"
而不是相对坐标,"instead of relative coordinates"
视口投影,"Viewport projection"
所见即所得，而非本地正投影,"WYSIWYG instead of an local orthographic projection"
单位,"Unit"
工具路径 (.gcode),"Toolpath (.gcode)"
速度,"Speed"
最大速度（毫米/分钟,"Maximal speed in mm / minute"
分辨率,"Resolution"
数值越小，增加的顶点越多，曲线越平滑,"Smaller values make curves smoother by adding more vertices"
局部坐标,"Local coords"
而不是全局坐标,"instead of global coordinates"
检测圆,"Detect Circles"
以 G02 和 G03 输出贝塞尔圆和螺旋线,"Export bezier circles and helixes as G02 and G03"
曲线圆角,"Curve Fillet"
x,"x"
y,"y"
起始位置,"Start location"
信息,"Info"
显示活动/选定曲线的一般信息,"Displays general info about the active/selected curve"
计算活动/选定曲线的长度,"Calculates the length of the active/selected curves"
显示活动/选定曲线的花键的一般信息,"Displays general info about the splines of the active/selected curve"
显示活动/选定曲线的一般信息,"Displays general info about the segments of the active/selected curve"
原点至样条 0 开始,"OriginToSpline0Start"
将活动/选定曲线的原点设置为（第一条）样条曲线的起点。适合曲线修改器,"Sets the origin of the active/selected curve to the starting point of the (first) spline. Nice for curve modifiers"
相交,"Intersect"
与选定曲线相交,"Intersects selected curves"
扫描,"Sweep"
将活动曲线沿其他曲线（轨道）移动,"Sweeps the active curve along to other curve (rail)"
轨迹,"Birail"
从 3 条选定的曲线（依次为导轨 1、导轨 2 和轮廓）中生成偏轨曲面,"Generates a birailed surface from 3 selected curves -- in order: rail1, rail2 and profile"
样条线设置分辨率,"SplinesSetResolution"
设置所有样条曲线的分辨率,"Sets the resolution of all splines"
删除零段曲线,"SplinesRemoveZeroSegment"
移除没有分段的花键--它们有时似乎会爬上去,"Removes splines with no segments -- they seem to creep up, sometimes"
删除短花键,"SplinesRemoveShort"
移除长度小于阈值的拼接线,"Removes splines with a length smaller than the threshold"
连接相邻曲线,"SplinesJoinNeighbouring"
连接距离小于阈值的相邻花键,"Joins neighbouring splines within a distance smaller than the threshold"
将选定的面转换为贝塞尔曲线,"Convert selected faces to Bezier"
将贝塞尔曲线转换为曲面,"Convert Bezier to Surface"
中心点,"Center"
考虑中心点,"Consider center points"
分辨率 U,"Resolution_U"
曲面分辨率 U,"Surface resolution U"
分辨率_V,"Resolution_V"
曲面分辨率 V,"Surface resolution V"
贝塞尔曲线点 圆角,"Bezier points Fillet"
圆角类型,"Fillet type"
贝塞尔样条分割,"Bezier Spline Divide"
圆角曲线的贝塞尔分割（进入编辑模式,"Bezier Divide (enters edit mode) for Fillet Curves"
t (0% - 100%),"t (0% - 100%)"
曲线比例重置,"Curve Scale Reset"
分割,"Split"
分离轮廓,"Separate Outline"
"创建 ","Makes "
曲线布尔运算,"Curve Boolean"
样条线数,"Spline Number"
设置第一点,"Set first points"
将所选点设置为每条样条曲线的第一点,"Set the selected points as the first point of each spline"
曲线轮廓,"Curve Outliner"
创建轮廓,"Create Outline"
数量,"Amount"
路径查找器,"Path Finder"
选择,"Selection"
"Sel： ","Sel: "
名称,"name"
合并相邻的连续点,"Merge consecutive points that are near to each other"
删除双点,"Remove Doubles"
显示曲线分辨率,"Show Curve Resolution"
显示曲线分辨率 / [ESC] - 删除,"Show curve Resolution / [ESC] - remove"
显示样条曲线序列,"Show Splines Sequence"
显示样条曲线序列 / [ESC] - 删除,"Show Splines Sequence / [ESC] - remove"
重新排列样条曲线,"Rearrange Spline"
命令,"command"
命令（上一条或下一条）,"Command (prev or next)"
TODO: 自动命名,"TODO: autoname"
悬浮曲面,"LoftedSurface"
横扫曲面,"SweptSurface"
平铺曲面,"BirailedSurface"
偏移曲线,"Offset Curve"
原始轨迹与第一个轨迹之间的距离,"Distace between the original and the first trace"
间距,"Pitch"
