," "
,"""\""""
"""",""Operator.026"""
操作符.027,Operator.027
选择性颜色,'
默认调用,Selective Color
启用,INVOKE_DEFAULT
禁用,Enable
混合,Disable
默认执行,Mix
红色,EXEC_DEFAULT
重置,Red
色调,Reset
饱和度,Hue
亮度,Saturation
绿色,Brightness
蓝色,Green
青色,Blue
品红,Cyan
黄色,Magenta
操作符.028,Yellow
在合成器中链接选择性颜色节点,Operator.028
Colorist Pro,Link Selective Color node in Compositor
操作符.030,Colorist Pro
操作符.031,Operator.030
操作符.032,Operator.031
操作符.033,Operator.032
操作符.027,Operator.033
镜头炫光,Lens Flare
启用眩光,Enable Glares
在合成器中链接眩光节点,Link Glares node in Compositor
眩光,Glares
镜头污垢,Lens Dirt
禁用眩光,Disable Glares
取消链接眩光节点，按此以保存视口性能,"Unlink Glares node, press to safe viewport performance"
眩光,Glare
操作符.001,Operator.001
取消链接镜头污垢节点，按此以保存视口性能,"Unlink Lens Dirt node, press to save viewport performance"
操作符,Operator
在合成器中链接镜头污垢节点,Link Lens Dirt node in compositor
额外亮度,Extra Brightness
像差,Aberration
色散,Dispersion
镜头污垢 1 - 小污垢 4K,Lens Dirt 1 - Small Dirts 4K
不透明度,Opacity
缩放,Scale
模糊,Blur
镜头污垢 2 - 中等散景 4K,Lens Dirt 2 - Medium Bokeh 4K
额外散景,Extra Bokeh
镜头污垢 3 - 巨大散景 4K,Lens Dirt 3 - Huge Bokeh 4K
启用的眩光将会影响,Enabled Glares will have influence on
操作符.005,Operator.005
使启用的镜头污垢看起来湿润,Make enabled Lens Dirts appear wet
湿镜头,Wet Lens
操作符.006,Operator.006
禁用湿镜头效果,Disable Wet Lens effect
操作符.020,Operator.020
操作符.014,Operator.014
操作符.021,Operator.021
操作符.022,Operator.022
操作符.008,Operator.008
操作符.009,Operator.009
操作符.007,Operator.007
操作符.010,Operator.010
操作符.011,Operator.011
操作符.012,Operator.012
操作符.013,Operator.013
操作符.016,Operator.016
操作符.017,Operator.017
操作符.015,Operator.015
操作符.019,Operator.019
操作符.018,Operator.018
宽高比和分辨率,Aspect Ratio & Resolution
分辨率 X,Resolution X
分辨率 Y,Resolution Y
启用调色师,Enable Colorist
启用合成树并添加必要的节点,Enable the compositing tree and add the necessary nodes
胶片模拟,Film Emulation
渲染图层 - 调色师,Render Layers - Colorist
合成 - 调色师,Composite - Colorist
查看器 - 调色师,Viewer - Colorist
重置 WB,Reset WB
将 WB 值还原为默认值,Return WB values to default
,Operator.002
将曝光值还原为默认值,Return Exposure values to default
调色,Color Grading
白平衡,White Balance
色温,Temperature
色调,Tint
色彩,Color
亮度,Vibrance
曝光,Exposure
伽玛,Gamma
对比度,Contrast
色调,Tone
高光,Highlight
中间调,Midtone
阴影,Shadow
白色,White
黑,Black
高光/增益,Highlight/Gain
操作符.003,Operator.003
恢复颜色值为默认,Return Color values to default
色彩管理,Color Management
颜色空间预设,Color Space Preset
Blender AGX,Blender AGX
ACES sRGB,ACES sRGB
显示设备,Display Device
视图变换,View Transform
LUTs（查找表）,LUTs (Look)
序列编辑器,Sequencer
操作符.024,Operator.024
恢复色调值为默认,Return Tone values to default
操作符.004,Operator.004
更改颜色空间为 Blender,Change colorspace to Blender
sRGB,sRGB
操作符.023,Operator.023
更改颜色空间为 ACES sRGB,Change colorspace to ACES sRGB
ACEScg,ACEScg
清除 LUTs,Clear LUTs
更改 LUTs 为：无,Change LUTs to: None
操作符.029,Operator.029
取消链接选择性颜色节点,Unlink Selective Color Node
启用胶卷,Enable Film
在合成器中链接胶卷仿真节点,Link Film Emulation node in Compositor
禁用胶卷,Disable Film
取消链接胶卷仿真节点,Unlink Film Emulation node
4k 粒子噪声,4k Grain
黑白噪声,BW Noise
4k 粒子噪声.001,4k Grain.001
黑白噪声.001,BW Noise.001
启用镜头炫光,Enable Lens Flare
在合成器中链接镜头炫光节点,Link Lens Flare node in Compositor
禁用镜头炫光,Disable Lens Flare
取消链接镜头炫光节点，按下以确保安全视口性能,"Unlink Lens Flare node, press to safe viewport performance"
Colorist Pro v1.1.1,Colorist Pro v1.1.1
启用 Colorist Pro,Enable Colorist Pro
警告： 启用 Colorist Pro 将删除,Warning: Enabling Colorist Pro will delete
合成器中的任何现有节点,any existing nodes in the compositor
使用节点（合成器）,Use Nodes (Compositor)
版本：1.1.1,Version: 1.1.1
虹膜幽灵,Iris Ghost
质量,Quality
色彩叠加,Color Overlay
虹膜,Iris
柔化,Soften
失真,Distortion
色散饱和度,Dispersion Saturation
迭代,Iterations
色彩模块,Color Module
阈值,Threshold
鬼影,Ghost
色彩调制,Color Modulation
简单星形,Simple Star
渐变,Fade
旋转 45,Rotate 45
条纹,Streaks
角度偏移,Angle Offset
雾状光晕,Fog Glow
尺寸,Size
弄湿！,Make It Wet!
擦干,Dry It!
4:3,4:3
4:3 4K,4:3 4K
4:3 720p,4:3 720p
4:3 1080p,4:3 1080p
16:9,16:9
16:9 1080p,16:9 1080p
16:9 4K,16:9 4K
16:9 720p,16:9 720p
16:9 480p,16:9 480p
社交媒体,Social Media
Insta 正方形 1:1,Insta Square 1:1
Insta 垂直 4:5,Insta Vertical 4:5
Insta Reels/Tiktok 9:16,Insta Reels/Tiktok 9:16
,2.35:1
,2.35:1 4K
