功能,Post
烘焙后贴图列,BW_Post_Col
烘焙后,BW_Post_
物体副本,Object Copy
应用修改器后的副本,Copy with modifiers applied
物体副本帧,Object Copy frame
创建时的帧号,Frame number when created
剥离修改器的物体副本,Object Stripped
剥离修改器后的副本,Copy with modifiers stripped
剥离修改器副本帧,Object Stripped frame
顶点色副本,Object VCol Copy
保留修改器的副本,Copy with modifiers intact
笼框（包裹体）,Cage
烘焙工具自动生成的笼框,Bake Wrangler auto generated cage
线性,Linear
烘焙_,bake_
材质平面_,mat_plane_
基础_,bw_basic_
弯曲_,bw_bent_
遮罩_,bw_mask_
合并输出,BW_Combined
包围盒输出,BW_BBOut
输出,BW_Out
包围盒输入,BW_BBIn
输入,BW_In
烘焙步骤,BWStep
FBX预设,FBX Presets
添加FBX预设,Add FBX preset
包含,Include
变换,Transform
几何体,Geometry
骨架,Armature
烘焙动画,Bake Animation
输出导出网格,Output Export Mesh
输出路径,Output Path
保存网格的路径,Path to save mesh in
输出文件,Output File
保存网格的文件前缀,File prefix to save mesh as
格式,Format
导出文件格式,Export file format
烘焙节点,Bake Recipe
配方信息,Recipe Info
区域,area
未加载配方,No recipe loaded
配方版本：,Recipe version:
插件版本：,Add-on version:
节点：,Nodes:
状态：插件需要更新,Status: Add-on requires update
状态：配方需要更新,Status: Recipe requires update
更新配方,Update Recipe
无法更新,Update Unavailable
自动笼框,Auto Cages
显示日志,Show Log
生成笼框,Generate Cages
更新笼框,Update Cages
移除笼框,Remove Cages
添加选中项,Add Selected
丢弃数据,Discard Data
应用数据,Apply Data
取消烘焙,Cancel Bake
烘焙通道,Bake Pass
!!! 验证失败：,!!! Validation FAILED:
详情请查看控制台,See console for details
!!! 材质警告：,!!! Material Warnings:
已初始化,Initialized
树版本,Tree Version
最后日志,Last Log
物体,Object
用于烘焙通道的物体,Object to be used in some way in a bake pass
类型,Type
值类型的ID字符串,ID String of value type
递归选择,Recursive Selection
启用后，选中集合内的所有集合将被使用,When enabled all collections within the selected collection will be used
拾取UV贴图,Pick UV Map
启用后可以选择使用哪个UV贴图而非当前激活的,Enables selecting which UV map to use instead of the active one
UV贴图,UV Map
当物体为网格时，替代激活UV贴图使用的UV,UV Map to use instead of active if value is a mesh
使用笼框,Use Cage
启用笼框功能并选择笼框网格,Enables cage usage and selection of cage mesh
用作笼框的网格,Mesh to use a cage
材质,Material
烘焙通道中使用的材质,Material to be used in a bake pass
网格,Mesh
颜色,Color
后缀,Suffix
追加到该输出文件名的后缀,Suffix appended to filename for this output
名称,Name
通道贴图,Channel Map
输入通道,Input Channel
从输入颜色数据中取值使用的通道,Channel of input color data to take values from
从,From
浮点,Float
系数,Fac
数值,Value
底数,Base
指数,Exponent
烘焙,Bake
网格设置,Mesh Settings
通道设置,Pass Settings
采样数,Samples
采样设置,Sample Settings
输出设置,Output Settings
物体名称,Object Names
拆分输出,Split Output
保存图像的路径,Path to save image in
保存图像的文件前缀,File prefix to save image as
使用标记替换,Use Token Substitution
文件名中所有出现的 <OBJECT>、<SUFFIX>、<UDIM> 和 <FRAME> 将被替换为当前值。缺失的标记将从名称中省略，从而完全控制命名方式,"All occurrences of <OBJECT>, <SUFFIX>, <UDIM> and <FRAME> in the file name will be replaced with the current values. Missing tokens will be omitted from the name giving full control over namings"
路径：,Path: 
名称：,Name: 
设置,Settings
正在停止...,Stopping...
固定,Pin
固定后，在节点树中全局使用设置,"When pinned, use settings globally in node tree"
