# Target Addon : LoopTools ver4.7.7
# User Translate : ver1.0.1
# Translate File : ver1.0.0
# Translate File Author : Bookyakuno
"桥接/悬空","Bridge / Loft"
"桥接两个顶点环或悬空多个顶点环","Bridge two, or loft several, loops of vertices"
"强度","Strength"
"强度越高，曲线越流畅","Higher strength results in more fluid curves"
"插值模式","Interpolation mode"
"插值模式：创建时使用的算法 ","Interpolation mode: algorithm used when creating "
"加载","Loft"
"多个 Loft 循环时使用的算法，而不是将它们视为 ","Loft multiple loops, instead of considering them as "
"循环","Loop"
"将第一个和最后一个循环连接起来","Connect the first and the last loop with each other"
"最小宽度","Minimum width"
"合并边缘小于此值的线段 ","Segments with an edge smaller than this are merged "
"模式","Mode"
"用于桥接的算法","Algorithm used for bridging"
"删除面","Remove faces"
"删除桥接后的内部面","Remove faces that are internal after bridging"
"反向","Reverse"
"手动更改循环的方向 ","Manually override the direction in which the loops "
"线段","Segments"
"用于桥接间隙的线段数（0= 自动）","Number of segments used to bridge the gap (0=automatic)"
"扭曲","Twist"
"扭曲相互连接的顶点","Twist what vertices are connected to each other"
"圆","Circle"
"将选定的顶点移动成圆形","Move selected vertices into a circle shape"
"半径","Radius"
"强制设置自定义半径","Force a custom radius"
"方法","Method"
"用于将圆与顶点拟合的方法","Method used for fitting a circle to the vertices"
"压扁","Flatten"
"压扁圆，而不是将其投影到网格上","Flatten the circle, instead of projecting it on the mesh"
"影响","Influence"
"工具的作用力","Force of the tool"
"锁定 X","Lock X"
"锁定 X 坐标的编辑","Lock editing of the x-coordinate"
"锁定 Y","Lock Y"
"锁定 Y 坐标的编辑","Lock editing of the y-coordinate"
"锁定 Z","Lock Z"
"锁定 Z 坐标的编辑","Lock editing of the z-coordinate"
"自定义圆半径","Custom radius for circle"
"角度","Angle"
"将圆旋转一个角度","Rotate a circle by an angle"
"常规","Regular"
"沿圆以恒定距离分布顶点","Distribute vertices at constant distances along the circle"
"X","X"
"Y","Y"
"Z","Z"
"曲线","Curve"
"将循环变为平滑曲线","Turn a loop into a smooth curve"
"边界","Boundaries"
"限制工具在所选顶点的边界内工作","Limit the tool to work within the boundaries of the selected vertices"
"插值","Interpolation"
"用于插值的算法","Algorithm used for interpolation"
"沿曲线以恒定距离分布顶点","Distribute vertices at constant distances along the curve"
"限制","Restriction"
"对顶点移动方式的限制","Restrictions on how the vertices can be moved"
"将顶点平铺在最合适的平面上","Flatten vertices on a best-fitting plane"
"平面","Plane"
"顶点平移的平面","Plane on which vertices are flattened"
"删除注释","Remove Annotation"
"删除所有注释笔画","Remove all Annotation Strokes"
"删除 GPencil","Remove GPencil"
"删除所有 GPencil 笔触","Remove all GPencil Strokes"
"拉伸","Gstretch"
"将选定顶点拉伸至活动笔触","Stretch selected vertices to active stroke"
"转换","Conversion"
"是否将笔触转换为几何体、 ","If strokes are converted to geometry, "
"距离","Distance"
"顶点之间的绝对距离 ","Absolute distance between vertices along the converted "
"最大顶点数","Max Vertices"
"笔画的最大顶点数 ","Maximum number of vertices strokes will "
"最小顶点","Min Vertices"
"最小顶点笔画数 ","Minimum number of vertices strokes will "
"顶点","Vertices"
"将绘制的顶点数 ","Number of vertices strokes will "
"删除描边","Delete strokes"
"删除已使用的笔画。","Remove strokes if they have been used."
"将顶点分布在 ","Method of distributing the vertices over the "
"最小值","Min"
"最大值","Max"
"删除注释笔划","Delete annotation strokes"
"删除 GPencil 笔画","Delete GPencil strokes"
"放松","Relax"
"放松循环，使其更平滑","Relax the loop, so it is smoother"
"输入","Input"
"已放松的循环","Loops that are relaxed"
"迭代次数","Iterations"
"放松循环的次数","Number of times the loop is relaxed"
"沿循环以恒定距离分布顶点","Distribute vertices at constant distances along the loop"
"空间","Space"
"在循环上有规律地分布顶点","Space the vertices in a regular distribution on the loop"
"有间隔的循环","Loops that are spaced"
"循环工具","LoopTools"
"桥接","Bridge"
"网格编辑","mesh_edit"
"删除注释描边","Delete Annotation Strokes"
"删除 GPencil 笔触","Delete GPencil Strokes"
"网桥设置","Bridge settings"
"桥接工具的显示设置","Display settings of the Bridge tool"
"圆圈设置","Circle settings"
"显示圆工具的设置","Display settings of the Circle tool"
"曲线设置","Curve settings"
"显示曲线工具的设置","Display settings of the Curve tool"
"压平设置","Flatten settings"
"显示压扁工具的设置","Display settings of the Flatten tool"
"拉伸设置","Gstretch settings"
"显示 Gstretch 工具的设置","Display settings of the Gstretch tool"
"拉伸设置","Loft settings"
"显示阁楼工具的设置","Display settings of the Loft tool"
"放松设置","Relax settings"
"显示放松工具的设置","Display settings of the Relax tool"
"空间设置","Space settings"
"显示空间工具的设置","Display settings of the Space tool"
"插值模式：创建线段时使用的算法","Interpolation mode: algorithm used when creating segments"
"限制该工具在 “线段 ”的边界内工作。","Limit the tool to work within the boundaries of the "
"如果使用了 “油脂铅笔 ”笔触，则将其删除 ","Remove Grease Pencil strokes if they have been used "
"在 “油脂 ”上分布顶点的方法 ","Method of distributing the vertices over the Grease "
"使用向导","Use guides"
"GPencil 对象","GPencil object"
"设置 GPencil 对象","Set GPencil object"
"选项卡类别","Tab Category"
"为面板类别选择名称","Choose a name for the category of the panel"
"选项卡类别：","Tab Category:"
