"默认调用","INVOKE_DEFAULT"
"Picto Filmo","Picto Filmo"
"Blender Market","Blender Market"
"Gumroad","Gumroad"
"网页链接","KB_OP_Web_Link"
"网页链接","WebLink"
"添加爆炸器","kb_op_add_blaster"
"破坏球外壳-KrumblR","WreckingBallOuter-KrumblR"
"爆能器：","BLASTER:"
"核心半径","Core Radius"
"动态范围","Dynamic Range"
"力量：","FORCES:"
"执行默认操作","EXEC_DEFAULT"
"添加爆炸器","Add Blaster"
"更新依赖","KB_OP_UpdateDepncies"
"计数","Count"
"碎裂","Fracture"
"碎石","Crushed_Stone"
"外部材质","Outer_material"
"碎裂操作","KB_OP_Fracture"
"迭代器","iterator"
"新组","new_group"
"来自碎裂组","is_from_fracture_group"
"关于迭代器","is_about_iterator"
"多个新组","is_new_group_of_multiple"
"索引来源","index_src"
"现在进行碎裂？","Fracture now ?"
"新组","New Group"
"作为迭代器","As Iterator"
"是否来自迭代器组","Is from Iterator Group"
"KB_OP_Frature_Help_Video（碎裂帮助视频）","KB_OP_Frature_Help_Video"
"kb_op_delete_kaboom（删除Kaboom）","kb_op_delete_kaboom"
"索引","index"
"烘焙","KB_OP_Bake"
"删除烘焙","KB_OP_Delete_Bake"
"清理项目","KB_OP_CLEAN_PROJECT"
"Kaboom","Kaboom"
"清理项目","Clean Project"
"从选择中添加组","KB_OP_Add_Group_From_Selection"
"碎裂组_","Fracture_Group_"
"选择Kaboom部件","kb_op_select_kaboom_parts"
"选择动态碎片","KB_OP_Select_dynamic_shards"
"选择移动的动态碎片","Select Moved Dynamic Shards"
"动态","dynamic"
"扩展选择","extend selection"
"启用粗切割","MODOP_KB_Enable_Rough_Cut"
"对象数量","nb_obj"
"i","i"
"KB_I","kb_i"
"ID","id"
"级别（视图）","levelv"
"视图","view"
"级别（渲染）","levelr"
"渲染","render"
"位移","displace"
"简化","decimate"
"缩放","scale"
"MODOP_KB_删除_粗切","MODOP_KB_Remove_Rough_Cut"
"MODOP_KB_应用_粗切割","MODOP_KB_Apply_Rough_Cut"
"KB_OP_复制粗糙切割参数","KB_OP_COPY_ROUGH_CUT_PARAMS"
"KB_OP_PASTE_粗切割_参数","KB_OP_PASTE_ROUGH_CUT_PARAMS"
"KB_OP_显示_隐藏粒子","KB_OP_Show_Hide_Particles"
"在视口中显示/隐藏粒子","Show / Hide Particles In Viewport"
"粒子类型","particle_type"
"KB_OP_复制烟雾参数","KB_OP_Copy_Smoke_params"
"将选定对象的烟雾参数复制到所有破碎组对象","Copy Selected Object Smoke Parametters to All Fractured Group Objects"
"KB_OP_删除粒子","KB_OP_Remove_Particles"
"删除所有破碎组对象的所有选定类型粒子","Delete All Selected Type Particles of All Fractured Group Objects"
"粒子模式","Particles_mode"
"KB_OP_删除选定对象粒子","KB_OP_Remove_Selected_objects_particles"
"移除选定物体的发射","Remove Selected Objects Emission"
"KB_OP_创建烟雾域","KB_OP_Create_Smoke_Domain"
"使用所选对象边界框的大小创建烟雾域","Create Smoke Domain With The Size of The Selected Objects Bounding Box of "
"KB_烟雾域","KB_Smoke_Domain"
"材料输出","Material Output"
"原则体积","Principled Volume"
"数学","Math"
"伽玛","Gamma"
"更改路线","Reroute"
"音量信息","Volume Info"
"KB_OP_刷新_烟雾域","KB_OP_Refresh_Smoke_Domain"
"删除缓存选定的烟雾域","Delete Cache Selected Smoke Domain "
"KB_OP_partcles_time_offset","KB_OP_partcles_time_offset"
"贴花粒子时间发射（帧内）","Decal Particles Time Emission ( in frame )"
"抵消","offset"
"有多少帧？","How Many Frames ?"
"KB_OP_创建烟雾湍流","KB_OP_Create_Smoke_Turbulence"
"KB_OP_烟雾发射时间偏移","KB_OP_smoke_emit_time_offset"
"贴花烟雾排放时间（帧内）","Decal Smoke Emission Time ( in frame )"
"KB_OP_更新_碎片","KB_OP_Update_Debris"
"指数","Index"
"KB_OP_复制_粒子参数","KB_OP_Copy_particle_params"
"将选定对象粒子参数复制到所有破碎组对象","Copy Selected Object Particles Parametters to All Fractured Group Objects"
"KB_OP_添加_粒子","KB_OP_ADD_Particles"
"在所有活跃的破碎群物体上创建 Deris 粒子","Creates Deris Particles On All of Active Fractured Group Objects"
"更新","update"
"KB_碎片_粒子实例","KB_debris_particle_instances"
"碎片","Debris_"
"颜色","color"
"维尔","vel"
"会计","acc"
"实数累计","real_acc"
"碎片颗粒","Debris Particles"
"部分","Parts"
"清除杂物","Remove Debris"
"添加碎片","Add Debris"
"临界点","Threshold"
"发射持续时间","Emit Duration"
"影响","Impact"
"更新碎片","Update Debris"
"时间偏移","Time Offset"
"选定的粒子：","Selected Particles:"
"部署粒子","Deploy Particles"
"粒子缓存","Particles Cache"
"烘焙所有动态","Bake All Dynamics"
"删除所有烘焙","Delete All Bakes"
"抽烟","Smoke"
"消除烟雾排放","Remove Smoke Emission"
