"增量_主要","increment_main"
"增量_小","increment_small"
"切换顶点权重","toggle_vertex_weight"
"v_长度","v_length"
"v_indx","v_indx"
"切换操作","toggle_ops"
"toggle_x_neg_dir","toggle_x_neg_dir"
"最大卷组数","max_vg_count"
"权重阈值","weight_threshold"
"切换骨骼名称","toggle_bone_names"
"toggle_com_ops","toggle_com_ops"
"smooth_active","smooth_active"
"切换活动顶点组","toggle_active_vertex_groups"
"切换杂项","toggle_misc"
"scrub_multiplier","scrub_multiplier"
"隔离骨骼","isolate_bone_toggle"
"镜像方向","mirror_direction"
"切换自定义前缀","toggle_custom_prefix"
"切换自定义后缀","toggle_custom_suffix"
"皮肤权重文件","Skin Weight files"
"进出口","import_export"
"导入设置","import settings"
"导入选项","import options"
"转移选项","transfer options"
"便捷重量编辑","Handy Weight Edit"
"顶点权重切换","Vertex Weight Toggle"
"所有顶点组：","All Vertex Groups:"
"活动顶点权重组","Active Vertex Weight Groups"
"  ","  "
"选择一个顶点继续","Select A Single Vertex To Continue"
"运算符","Operators"
"自动规范化切换","Auto Normalize Toggle"
"选择半顶点","Select Half Vertices"
"倒置","Invert"
"镜子重量（对称）","Mirror Weight (Symmetric)"
"镜子重量（不对称）","Mirror Weight (Asymmetric)"
"VertexGroup 限制","VertexGroup Limit"
"检查超出的组","Check Exceeded Groups"
"移除重量","Remove Weight"
"校验权重总和","Check Weight Sum"
"规格化权重","Normalize Weight"
"常见操作","Common Ops"
"增加重量（填充）","Add Weight (Fill)"
"减轻重量（填充）","Reduce Weight (Fill)"
"添加微重量（填充）","Add Micro Weight (Fill)"
"减轻微重量（填充）","Reduce Micro Weight (Fill)"
"添加重量（渐变）","Add Weight (Gradient)"
"减轻重量（渐变）","Reduce Weight (Gradient)"
"添加微重量（渐变）","Add Micro Weight (Gradient)"
"减轻微重量（渐变）","Reduce Micro Weight (Gradient)"
"复制权重","Copy Weight"
"锁","Lock"
"平滑权重","Smooth Weight"
"积极的","Active"
"开关电压","Switch VG"
"切换骨骼","Switch Bone"
"杂项","MISC"
"增量","Increment"
"增量微","Increment Micro"
"切换骨骼名称","Toggle Bones Name"
"隔离活动骨骼","Isolate Active Bone"
"擦洗倍增器","Scrub Multiplier"
"进出口重量","Import/Export Weight"
"文件夹","Folder"
"出口重量","Export Weight"
"转移重量","Transfer Weight"
"导入权重","Import Weight"
"请一次选择一个网格对象","Please Select One Mesh Object at a Time"
"活动顶点组已锁定，请解锁以继续","Active vertex group locked, unlock to continue"
"使用顶点选择的最低顶点索引作为起始权重值，均匀添加权重","Use lowest vertex index of vertices selection as starting weight value, Add weight uniformly"
"在选定顶点上添加权重填充方法","Add Weight On Selected Vertices Fill Method"
"温度","temp"
"使用顶点选择的最低顶点索引作为起始权重值，均匀降低权重","Use lowest vertex index of vertices selection as starting weight value, Reduce weight uniformly"
"减少选定顶点的权重填充方法","Reduce Weight On Selected Vertices Fill Method"
"使用顶点选择的最低顶点索引作为起始权重值，均匀添加微权重","Use lowest vertex index of vertices selection as starting weight value, Add micro weight uniformly"
"在选定顶点上添加微权重填充方法","Add micro Weight On Selected Vertices Fill Method"
"使用顶点选择的最低顶点索引作为起始权重值，均匀减少微权重","Use lowest vertex index of vertices selection as starting weight value, Reduce micro weight uniformly"
"减少选定顶点的微权重填充方法","Reduce micro Weight On Selected Vertices Fill Method"
"复制所有选定顶点的权重作为最后选定顶点","Copy All Selected Vertices Weight As Last Selected Vertex"
"复制上次选择的权重","Copy Weight As Last Selected"
"平滑选定顶点上的权重值","Smooth weight value on selected vertices"
"平滑选定顶点的权重","Smooth Weight On Selected Vertices"
"选择 X 正方向上的顶点","Select vertices on X Positive Direction"
"选定顶点 X 正","Selected Vertices X Positive"
"设置最大数量顶点组对选定顶点的影响","Set Max Count Vertex Groups Influence on Selected Vertices"
"最大 VG 影响","Max VG Influence"
"删除选定顶点上低于设定阈值的顶点权重","Remove Vertex Weight Below Set Threshold on Selected Vertices"
"删除体重阈值","Remove Weight Threshold"
"选择后视镜重量","Mirror Weight On Select"
"在单个顶点上循环 VG","Cycle VG On Single Vert"
"检查每个顶点的总权重是否等于一","Check if each vertex's total weights equal to one"
"检查顶点权重总和","Check_Vertex_Weight_Sum"
"检查是否有任何顶点超出设置的最大权重组","Check if there is any vertices that exceed the set max weight groups"
"检查超重组","Check_Exceeded_Weight_Groups"
"将选定顶点规范化为总权重值等于一","Normalize selected vertices to total weight value equal to one"
"选择时规格化权重","Normalize Weight On Select"
"忘记绑定到骨架吗？","Forget to Bind To Armature ?"
"以梯度方式对每个选定的顶点权重值添加权重","Add weight with respect to each selected vertex weight value in a gradient manner"
"在选定顶点上添加权重梯度法","Add Weight On Selected Vertices Gradient Method"
"以梯度方式降低每个选定顶点权重值的权重","Reduce weight with respect to each selected vertex weight value in a gradient manner"
"减少选定顶点的权重梯度法","Reduce Weight On Selected Vertices Gradient Method"
"以梯度方式对每个选定的顶点权重值添加微权重","Add micro weight with respect to each selected vertex weight value in a gradient manner"
"在选定顶点上添加微权重梯度法","Add Micro Weight On Selected Vertices Gradient Method"
"以梯度方式减少针对每个选定顶点权重值的微权重","Reduce micro weight with respect to each selected vertex weight value in a gradient manner"
"减少选定顶点的微权重梯度法","Reduce Micro Weight On Selected Vertices Gradient Method"
"磨砂时间线","Scrub Time Line"
"左_HWE_","LEFT_HWE_"
"右_HWE_","RIGHT_HWE_"
"镜子重量不对称","Mirro weight asymmetrically"
"首先保存混合文件。","Save Blend File First."
"请选择与当前混合文件不同的文件夹路径。","Please choose a folder path different from where current blend file is."
"请选择上面的文件夹，而不是文件或无效路径。","Please choose a folder above, not a file nor invalid path."
"出口重量","Export_Weight"
"选择一个有效的文件。","Select a valid file."
"中止！顶点数不匹配。","Abort! Vertices count do not match."
"导入权重","Import_Weight"
"切换鼠标光标下的活动骨骼","Switch Active Bone Under Mouse Cursor"
"切换光标下的骨骼","Switch Bone Under Cursor"
"重量文件夹","Weight Files Folder"
"UI标签","UI_Tab"
"自动规范化","Auto Normalize"
"开启后，任何重量值调整（如增加重量或平滑重量）将自动调整为总计 1","When Turned on, any weight value adjustment such as increase weight or smooth weight will auto adjusted to total of 1"
"锁定顶点组","Locked Vertex Group"
"启用时，平滑权重将考虑锁定顶点组状态，任何锁定顶点组均不受影响。但在高密度网格上运行速度稍慢","When Turned on, Smooth Weight will take into account the locked vertex group state,any locked vertex group is untouched. but operate slightly slower on high density mesh"
"平滑活动顶点组","Smooth Active Vertex Group"
"启用时，“平滑权重”操作符将仅适用于活动顶点组，否则所有顶点组都会受到影响","When Turned on, the Smooth Weight operator will only work on active vertex group, otherwise all vertex groups are effected "
"自定义前缀","Custom Prefix"
"正X","Positive X"
"负 X","Negative X"
"自定义后缀","Custom Suffix"
"自定义快捷方式：","Custom Shortcuts: "
"3D 视图","3D View"
