"将碰撞添加到选定对象","Add Collision to selected objects"
"在这里，您可以将碰撞和摩擦分配给对象或布料网格","Here you can assign collision and friction to objects or to Cloth Meshes"
"simply_coll","simply_coll"
"Play Cloth Simulation","Play Cloth Simulation"
"这是动画管理器。这是您设置重力、速度的地方。在这里，您还可以决定是否从缓存中烘焙布料动画以允许流畅的演示（动画推荐程度）","This is the Animation Manager. This is where you set the gravity, speed. Here you can also decide if the Cloth animation is baked from the cache to allow a smooth presentation (degree recommended for animations)"
"暂停布料模拟","Pause Cloth Simulation"
"额外的缝纫操作员","Extra Sewing Operator"
"其他缝纫操作员，如桥边环、网格填充、移除缝纫","Additional Sewing Operators like Bridge Edge Loops, Grid Fill, Remove Sewing"
"创建缝","Create Sew"
"纫工具。这用于在网格上创建或删除接缝。对缝有接缝","Sewing Tool. This is used to create or remove seams on the mesh. Very helpful for clothes that have sewn seams"
"的衣服非常有帮助 戳脸","Poke Faces"
"戳脸操作","Poke Faces Operation"
"Remesh 布","Remesh Cloth"
"Remesh 布 Quad 基","Remesh Cloth Quad based"
"整理布","Finishing Cloth"
"将布网作为静态网格应用！","Apply the Cloth mesh as a static mesh!"
"将布料另存为备份对象","Save the cloth as a backup object"
"应用细分修改器（更高分辨率）","Apply Subdivision Modifier (Higher Resolution)"
"应用固化修改剂（厚度）","Apply Solidify Modifier (Thickness)"
"Simply_Cloth_Finished","Simply_Cloth_Finished"
"builtin_brush。布","builtin_brush.Cloth"
"料密度 油漆","Density Paint"
"SimplyDensity","SimplyDensity"
"添加钩","Add Hook"
"子 添加具有所选顶点组","Add Hook with selected Vertexgroup"
"的钩子 删除钩","Delete Hook"
"子 粗重油漆引脚组","Weightpaint Pin Groups"
"权重油漆引脚组","Weightpaint pingroup"
"工具提示","Tooltip"
"删除引脚图层","Delete Pin Layer"
"添加引脚层","Add Pin Layer"
"滑块名称","Slider Name"
"权重值","Weight Value"
"分配或加权油漆引脚","Assign or Weightpaint Pins"
"重置所有布料参数","Reset all Cloth Parameters"
"重置布料参数！","Reset Cloth Parameters!"
"移除简单布料","Remove Simply Cloth"
"从选定的网格中删除布料和修改器！","Deletes Cloth and the modifiers from the selected mesh!"
"移除风","Remove Wind"
"从场景中","Remove Wind from Scene"
"移除风 移除简单布网格 移除简单布创建","Remove Simply Cloth Mesh"
"网格","Remove Simply Cloth created Mesh"
"翻转法线","Flip Normals"
"翻转面 方向","Flip Faces Orientation"
"细分网格","Subdivide Mesh"
"网格的分辨率可以在此处设置。（+） 细分网格并增加分辨率，（-） 取消细分并降低网格的分辨率！","The resolution of the mesh can be set here. (+) subdivide the mesh and increase the resolution, (-) un-subdivide and decreases the resolution of the mesh!"
"为所选对象","Create Cloth to selected Object"
"创建布料 创建简单的布料专业网格！","Creates a Simply Cloth Pro Mesh!"
"收缩到碰撞","Shrink to Collision"
"收缩到碰撞（如果存在","Shrink to Collision if exists"
"） 选择对象","select object"
"选择要附加的对象 选定对象","Select Object to Attach selected Object"
"simply_cloth","simply_cloth"
"SimplyPin","SimplyPin"
"SimplyWeld","SimplyWeld"
"SimplyStrength","SimplyStrength"
"SimplyShrink","SimplyShrink"
"将选择","SimplyPressure"
"设置为强度组","Set selection as Strength Group"
"将选择设置为收缩组","Set selection as Shrink Group"
"压力组选择","Pressure Group Selection"
"现场绘画销组","Live painting Pin Group"
"清除引脚组","Clear Pin Group"
"切换到 Cloth Sculpt","Switch to Cloth Sculpt"
"Select Brush Force Falloff","Select Brush Force Falloff"
"Sculpt Mask 功能","Sculpt Mask Functions"
"builtin_brush。蒙版","builtin_brush.Mask"
"网格分辨率 细分或取消细分","Mesh Resolution Subdivide or Un-Subdivide"
"网格着色器 平滑/平","Mesh Shader Smooth/ Flat"
"荷布模板 为场景","Load Cloth Templates"
,"Add Wind Force to Scene"
"添加风力 将风添加到场景中，并使用强度和强度","Add Wind to your Scene and adjust with Strenght and Intensity"
"进行调整 清洁修改器","Clean Modifiers"
"Dyntopo 三角测量","Dyntopo Triangulation"
"SimplyFaceMap","SimplyFaceMap"
"刷新布料参数","Refresh Cloth Parameters"
"自动缝纫操作员","Auto Sewing Operator"
"自动挤出选择","Auto Extrude Selection"
"实验性 - 进行","EXPERIMENTAL - WORK IN PROGRESS"
"中简单支持","Simply Support"
"简单的布料网","Simply Cloth Remesher"
"格 用于简单的服装","Remesh for Simply Clothing"
"网格 将模拟缓存转换为关键帧","Convert Simulation Cache to Keyframe"
"SC_Key","SC_Key"
"attach 作为 Surface Deform to Cloth 对象","Attach as Surface Deform to Cloth Object"
"1.选择布 第一 – 2。选择要附加的对象","1. select Cloth first - 2. select object to attach"
"选择对象","Select Object"
"删除附加对象 设置 将附加对象","Remove Attached Object Setup"
"重新绑定到 Cloth 对象","Rebind attached object to Cloth objects"
"选择","SELECT"
"优化布料模拟性能","Optimize Cloth Simulation Performance"
"确定吗？","Sure?"
"TEst","TEst"
"draw Cut and Sew Pattern","draw Cut and Sew Pattern"
"Simply Cut & Sew","Simply Cut & Sew"
"Unitard （One closed piece）","Unitard (One closed piece)"
"Gpencil_length","Gpencil_length"
"SC_GP_Cut_Sew_Pattern","SC_GP_Cut_Sew_Pattern"
"builtin.draw","builtin.draw"
"builtin.curve","builtin.curve"
"在模拟","Drag cloth during simulation"
"过程中拖动布料 只需拖布","Simply Drag Cloth"
"设置 简单布料 活动对象","Setup Simply Cloth Geo Nodes for active object"
"SimplyCloth_GeoEnhance","SimplyCloth_GeoEnhance"
"输入_2","Input_2"
"输入_4","Input_4"
"输入_5","Input_5"
"输入_6","Input_6"
"输入_7","Input_7"
"简单几何_缝合","SimplyGeo_Sewing"
"简单几何_拉伸","SimplyGeo_Pull"
"简单几何_推挤","SimplyGeo_Push"
"简单几何_细节","SimplyGeo_Detail"
"简单几何_边缘","SimplyGeo_Edge"
"分配","Assign"
"将选择分配到顶点组","Assign Selection to Vertex Group"
"绘制面片集","Draw Face Sets"
"绘制面集集合","Draw Face Set Collections"
"builtin_brush.绘制面集","builtin_brush.Draw Face Sets"
"重置简单几何增强节点","Reset Simply Geometry Enhancement Nodes"
"添加空弯曲？","Add Empty for Bend?"
"Builtin_brush.Pose ","builtin_brush.Pose"
"Builtin_brush.Boundary","builtin_brush.Boundary"
"选择目标 固定层","Select target Pin Layer"
"清除","Clear"
"线框","Wireframe"
"线框开/关","Wireframes on/off"
"自碰撞","Self Collision"
"开/关自碰撞","Self Collision on/off"
"布料参数","Cloth Parameter"
"基本布料参数","Base Cloth Parameter"
"高级","Advanced"
"高级开/关","Advanced on/off"
"弹簧","Spring"
"内部弹簧开/关","Internal Spring on/off"
"压力","Pressure"
"开/关压力","Pressure on/off"
"缝纫","Sewing"
"布料 开/关","Cloth Sewing on/off"
"缝纫 密度 开/","Density Paint on/off"
"关油漆 启用/禁用布料","Enable/ Disable Cloth"
"启用/禁用布料模拟","Enable/ Disable Cloth Simulation"
"面朝向视图","Face Orientation View"
"启用/禁用面朝向视图","Enable/ Disable Face Orientation View"
"重量油漆视图","Weight Paint View"
"启用/禁用固定重量视图","Enable/ Disable Pin Weight View"
"直接更新固定层滑块","Update Pin Layer Slider directly"
"启用/禁用直接更新固定滑块","Enable/ Disable Update Pin Slider directly"
"开/关缝纫合并距离焊接 启用","On/ Off Sewing Merge Distance Weld"
"/禁用缝纫合并距离焊接","Enable/ Disable Sewing Merge Distance Weld"
"信息 简单布料雕刻","info simply cloth for sculpt"
"切换力衰减","Switch Force Falloff"
"在径向和平面之间切换力衰减 布料","Switch Force Falloff between RADIAL and PLANE"
"前/后厚度","Thickness Before/After Cloth"
"决定凝固应该在哪里 - 在布料计算之前还是之后","Decide where Solidify should be - before or after cloth computing"
"是否应该将选择细分为布料","Should subdivide on selection to cloth"
"将选择细分为布料开/关","Subdivide on selection to cloth on/ off"
"是否应该将选择三角化为布料","Should triangulate on selection to cloth"
"将选择三角化为布料开/关","Triangulate on selection to cloth on/ off"
"已经是简单的布料","Is already Simply Cloth"
"已经附着","Is already Attached"
"皱纹滑块","wrinkle Slider"
"0皱纹较少 - 100 皱纹较多","0 less wrinkles - 100 lot of wrinkles"
"折叠 滑块","fold Slider"
"一般折叠","General folding"
"摩擦","friction"
"0 无摩擦 - 100 强摩擦","0 no friction - 100 strong friction"
"物体碰撞距离","object collision distance"
"自碰撞距离","self collision distance"
"自碰撞距离（小心！）","self collision distance (Be carefull!)"
"硬度","stiffness"
"0 无硬度 - 100 非常坚硬","0 no stiff - 100 very stiff"
"收缩","shrink"
"使布料本身膨胀（负值）或收缩（正值）","lets the cloth expand (negativ value) or shrink (positive value) in itself"
"填补缝合过程后可能出现的网格孔洞","fills holes in the mesh that can appear after the sewing process"
"按距离值合并顶点","Merge vertices by Distance value"
"此值定义质量等级。数字越小 - 质量越差 = 性能越好。数字越大 - 质量越好 = 性能较差","This value defines the quality levels.  Small numbers - less quality = better performance.Higher numbers - better quality = poor performance"
"压力强度在此处设置","The strength of the pressure is set here"
"压力强度因子在此处","The factor of pressure intensity is set here"
"设置 弹簧强度在此处设置","The strength of the spring is set here"
"布料物体的重量在此处设置","The weight of the Cloth Object is set here"
"设置重量值","Set the Weight Value"
"调整缝纫 焊接距离","Adjust Sewing Weld Distance"
"调整加强强度","Adjust Strengthen Intensity"
"蒙版硬度","Mask Hardness"
"质量 碰撞步骤","Quality Steps of Collision"
"细分修改器级别","Subdivision Modifier Levels"
