"灯光系统_%s","ls_lights_%s"
"导入灯光","Import light"
"删除灯光","Delete light"
"仅显示灯光","Show only light"
"打开文件浏览器（耶）","Open the file browser (yay)"
"选择文件","Select a file"
"放置灯光用于反射","Place light for reflexion"
"添加灯光系统","Add light system"
"手动移动灯光后刷新位置滑块","Refresh position sliders after manual light moving"
"刷新位置","Refresh position"
"更改灯光","Change light"
"激活/停用","Activated/Deactivated"
"仅显示此灯光","Show only this light"
"颜色","Color"
"灯光颜色","Color of light"
"强度","Intensity"
"不透明度","Opacity"
"模糊量","Blur amount"
"模糊","Blur"
"模糊质量","Blur quality"
"裁剪灯光","Cut light"
"对相机隐藏","Hide to camera"
"渐变","Gradient"
"衰减","Fallof"
"纬度","Latitude"
"经度","Longitude"
"宽度","Width"
"高度","Height"
"缩放","Scale"
"距离","Distance"
"旋转","Rotation"
"灯光类别","Light Category"
"灯光列表","List of lights"
"颜色或渐变","Color or Gradient"
"假：颜色，真：渐变","False : color, True : gradient"
"背景","Backdrop"
"背景颜色不\","Background color doesn\"
"颜色 1","Color 1"
"颜色 2","Color 2"
"移动","Move"
"HDRI","HDRI"
"使用 HDRI","Use HDRI"
"仅反射","Only reflexion"
"仅将 HDRI 用于反射","Use HDRI only for reflexion"
"HDRI 名称","HDRI name"
"灯光工作室","Light Studio"
"添加灯光","Add light"
"反射位置","Position reflexion"
"右键退出","Right click to quit"
"灯光列表","Light list"
"灯光设置","Light settings"
"变换","Transformation"
"刷新滑块","REFRESH SLIDERS"
"背景","Background"
"浏览图像","Browse image"
