"在对象模式下显示上下文菜单","Show in Object Mode Context Menu"
"在编辑模式下显示上下文菜单","Show in Edit Mode Context Menu"
"显示循环工具包装器","Show LoopTools Wrappers"
"显示网格分割工具","Show Mesh Split tool"
"显示删除菜单","Show Delete Menu"
"HUD 比例","HUD Scale"
"HUD 字体颜色","HUD Font Color"
"显示提示","Show Hints"
"跟随鼠标","Follow Mouse"
"超时","Timeout"
"用于加快或减慢基于时间的模式操作（如创建储藏、布尔运算、对称绘图等）的因子","Factor to speed up or slow down time based modal operators like Create Stash, Boolean, Symmetrize drawing, etc"
"隐藏 HUD 偏移量","Stashes HUD offset"
"点击距离","Flick Distance"
"正常传输 Matcap","Normal Transfer Matcap"
"实验功能","Experimental Features"
"插件库","Plug Libraries"
"新库名","New Library Name"
"反向插件排序（需要重新加载库或重启 Blender）","Reverse Plug Sorting (requires library reload or Blender restart)"
"插件库图标大小","Size of Plug Libary Icons"
"插件库中图标的大小","Size of Icons in Plug Libaries"
"在库名称旁显示插件数量","Show Plug Count next to Library Name"
"在库下方显示插件按钮","Show Plug Buttons below Libraries"
"在插入按钮上显示插件名称","Show Plug Name on Insert Button"
"在插件库中显示插件名称","Show Plug Names in Plug Libraries"
"在场景中插入插件时，自动 X 射线显示插件及其子集","Auto-X-Ray the plug and its subsets, when inserting Plug into scene"
"渐变线框（试验性）","Fading wire frames (experimental)"
"插件创建器","Plug Creator"
"使用传统的线条平滑","Use Legacy Line Smoothing"
"使用已贬值的 bgl 模块进行传统线条平滑处理（如果禁用此功能，则 MESHmachine 绘制的线条将不会平滑。","Legacy Line Smoothing using the depreciated bgl module\nIf this is disabled, lines drawn by MESHmachine won"
,"'"
"标签","Tabs"
"插头模式","Plug Mode"
"删除插头","Remove Plugs"
"更新可用","Update is available"
"插头设置","Plug Settings"
"机器3","MACHIN3"
"获取更多插头","Get More Plugs"
"菜单","Menu"
"在上下文菜单中显示","show in Context Menus"
"编辑模式","in Edit Mode"
"对象模式下","in Object Mode"
"工具","Tools"
"正常传输","Normal Transfer"
"用于曲面检查的 Matcap。","Matcap used for Surface Check."
"留空，禁用","Leave empty, to disable"
"HUD","HUD"
"真","True"
"HUD 颜色","HUD Color"
"闪烁 HUD 偏移","Stashes HUD Offset"
"对称","Symmetrize"
"三维视图","View 3D"
"实验性","Experimental"
"使用实验功能，风险自负","Use Experimental Features, at your own risk"
"不在产品支持范围内！","Not covered by Product Support!"
"键图","Keymaps"
"位置","Location"
"资料库","Libraries"
"资产加载器","Asset Loaders"
"插件库图标大小","Size of Plug Library Icons"
"插件库图标大小","Size of Icons in Plug Libraries"
"反向插件排序","Reverse Plug Sorting"
"需要重新加载库或重启 Blender","reqiures library reload or Blender restart"
"在装饰图库中显示插件名称","Show Plug Names in Decal Libraries"
"在插入按钮上显示插头名称","Show Plug Name on Insert Buttons"
"显示插件 ","Show Plugs "
"更改此选项，这样您创建的插件就会标注您的信息！","Change this, so Plugs created by you, are tagged with your info!"
"Blender 附加组件","Blender Addons"
"MESHmachine","MESHmachine"
"网页","Web"
"Gumroad","Gumroad"
"混合器市场","Blender Market"
"DECALmachine","DECALmachine"
"MACHIN3 工具","MACHIN3tools"
"MESHmachine 文档","MESHmachine Documentation"
"文档","Docs"
"视频","Youtube"
"常见问题","FAQ"
"获取支持","Get Support"
"MESHmachine 讨论区","MESHmachine Discussion"
"Blender 艺术家","Blender Artists"
"polycount","polycount"
"关注我的作品","Follow my work"
"推特 @machin3io","Twitter @machin3io"
"推特 #MESHmachine","Twitter #MESHmachine"
"艺术站","Artstation"
"在 MESHmachine 菜单中显示","Show in MESHmachine Menu"
"防止创建插件。需要重新加载库","Prevent Plug Creation. Requires Library Reload"
"缩放","Scale"
" "," "
"存储版本","stash version"
"储藏 uuid","stash uuid"
"储藏对象","Stash Object"
"自存储","Self Stash"
"翻转法线","Flipped Normals"
"对齐模式","Align Mode"
"在鼠标或光标位置插入插件","Insert Plug at Mouse or Cursor position"
"在 3D 视图中绘制活动存储空间","Draw Active Stash in 3D View"
"在 X-Ray 中绘制活动存储空间","Draw Active Stash in X-Ray"
"是藏匿对象","is stash object"
"三角矩阵","Delta Matrix"
"孤立矩阵","Orphan Matrix"
"储藏库名称","stash name"
"匿名矩阵","Stash Matrix"
"目标矩阵","Target Matrix"
"插件 uuid","plug uuid"
"是插件","is plug"
"是插头句柄","is plug handle"
"是插头变形器","is plug deformer"
"是塞子子集","is plug subset"
"是插头闭塞器","is plug occluder"
"有圆角","has fillet"
"变形器精度","Deformer Precision"
"使用变形器","Use Deformer"
"强制子集变形","Force Subset Deform"
"插入插件的鼠标位置","Mouse Position for Plug Insertion"
"添加布尔值","Add Boolean"
"完成","Finish"
"完成并选择切割器","Finish and select Cutters"
"视口","Viewport"
"取消","Cancel"
"MACHIN3: 布尔运算","MACHIN3: Boolean"
"添加布尔修改器","Add Boolean Modifier"
"方法","Method"
"求解器","Solver"
"自动平滑","Auto-Smooth"
"角度","Angle"
"时间（秒","Time (s"
"%s","%s"
"机器3：布尔应用","MACHIN3: Boolean Apply"
"应用所有布尔修改器，并存储切割器","Apply all Boolean Modifiers, and stash the Cutters"
"存储原始数据","Stash Original"
"存储运算符","Stash Operants"
"应用所有修改器","Apply All Modifiers"
"布尔运算","Boolean"
"MACHIN3：布尔清理","MACHIN3: Boolean Cleanup"
"合并布尔运算产生的循环选区上的顶点","Merge verts on cyclic selections resulting from Boolean operations"
"边","Side"
"将红色翻转为绿色","Flip Red to Green"
"阈值","Threshold"
"三角化","Triangulate"
"翻转","Flip"
"MACHIN3: 布尔运算复制","MACHIN3: Boolean Duplicate"
"复制布尔对象及其切割器/nALT：实例对象和切割器网格","Duplicate Boolean Objects with their Cutters\nALT: Instance the Object and Cutter Meshes"
"实例","Instance"
"MACHIN3：倒角","MACHIN3: Chamfer"
"对布尔操作产生的循环选择进行倒角","Chamfer cyclic selections resulting from Boolean Operations"
"平滑","Smooth"
"A 侧","Side A"
"B 边","Side B"
"合并","Merge"
"到达","Reach"
"创建顶点群","Create Vertex Groups"
"侧面选择","Side Select"
"循环滑动","Loop Slide"
"倒角","chamfer"
"面","FACES"
"MACHIN3：更改宽度","MACHIN3: Change Width"
"更改倒角（平面斜角）的宽度","Change the width of Chamfers(flat Bevels)"
"宽度","Width"
"反向","Reverse"
"锥度","Taper"
"锥度翻转","Taper Flip"
"单","Single"
"循环","Cyclic"
"MACHIN3：贴合","MACHIN3: Conform"
"选择与储藏面贴合","Conform selection to Stash surface"
"X 射线","X-Ray"
"阿尔法","Alpha"
"应用收缩包装","Apply Shrink Wrap"
"删除顶点组","Remove Vertex Group"
"机械3：创建插接件","MACHIN3: Create Plug"
"从网格对象创建插接件","Create Plug from mesh object(s)"
"符合","conform"
"%s_handle","%s_handle"
"MACHIN3：将插件添加到插件库","MACHIN3: Add Plug To Library"
"将选定的插接器添加到插接器库","Add selected Plug to Plug Library"
"添加模式","Add Mode"
"名称（可选）","Name (optional)"
"显示指标","Show Indicators"
"褶边或边缘","FILLET or EDGE"
"钩或栅","HOOK or ARRAY"
"变形","DEFORMER"
"资料库","Library"
"名称 (选项a)","Name (optiona)"
"路径预览","Path Preview"
"%s_%s.blend","%s_%s.blend"
"%s_%s.png","%s_%s.png"
"%s_%s","%s_%s"
"%s.blend","%s.blend"
"%s.png","%s.png"
"查看图层","View Layer"
"插件资产","Plug Asset"
"MACHIN3: 设置插件道具","MACHIN3: Set Plug Props"
"设置/更改插件属性","Set/Change Plug properties"
"属性","Property"
"有圆角","Has Fillet"
"小心，数值超过 4 会越来越慢","Careful, values above 4 are increasingly slow"
"MACHIN3：清除插头属性","MACHIN3: Clear Plug Properties"
"清除插头属性","Clear Plug properties"
"同时清除顶点组","Also Clear Vertex Groups"
"MACHIN3：调试","MACHIN3: Debug Whatever"
"MACHIN3：调试 MESHmachine","MACHIN3: Debug MESHmachine"
"MACHIN3：获取角度","MACHIN3: Get Angle"
"MACHIN3： 获取长度","MACHIN3: Get Length"
"机械3：绘制调试","MACHIN3: Draw Debug"
"MACHIN3：调试 HUD","MACHIN3: Debug HUD"
"解除干扰方法","Unchamfer Method"
"分段","Segments"
"张力","Tension"
"张力预设","Tension Presets"
"平均张力","平均张力"
"张力投影回路","Force Projected Loop"
"宽度（实验）","Width (experimental)"
"MACHIN3：获取边长","MACHIN3: Get Sides"
"绘制计时器","Draw Timer"
"倒计时（秒）","Countdown (s)"
"MACHIN3：绘制存储","MACHIN3: Draw Stash"
"MACHIN3：顶点信息","MACHIN3: Vertex Info"
"射线播报","Raycast"
"MACHIN3：循环或手柄","MACHIN3: Loops or Handles"
"从倒角创建圆形斜面","Create rounded Bevels from Chamfers"
"获取循环或手柄","Get Loops or Handles"
"强制投射环","Force Projected Loops"
"MACHIN3：获取与顶点相关联的面","MACHIN3: Get Faces Linked to Verts"
"机器 3：压平","MACHIN3: Flatten"
"沿边缘或法线压平多边形","Flatten Polygon(s) along Edges or Normal"
"模式","Mode"
"溶解","Dissolve"
"面模式","Face Mode"
"MACHIN3：融合","MACHIN3: Fuse"
"盖","Cap"
,"融并角度"
"光滑灯罩","Shade Smooth"
"插入插头","Insert Plug"
"移除插头","Remove Plug"
"移除插头 ","This removes the plug "
"删除插头会将其从硬盘中删除，无法撤销！","Removing a plug deletes it from the hard drive, this cannot be undone!"
"MACHIN3：设置唯一性","MACHIN3: Make Unique"
"使实例网格对象唯一，包括任何实例布尔运算器","Make Instanced Mesh Objects Unique incl. any Instanced Boolean Operators"
"MACHIN3：标记循环","MACHIN3: Mark Loop"
"标记/取消标记边缘，以便通过熔断/拒绝优先处理","Mark/Unmark edges for preferential treatement by Fuse/Refuse"
"清除","Clear"
"机械3：法线平铺","MACHIN3: Normal Flatten"
"平整（大部分）ngons 上的不均匀阴影","Flatten uneven shading on (mostly) ngons"
"角度阈值","Angle Threshold"
"角度阈值预设","Angle Threshold Presets"
"清除现有法线","Clear Existing Normals"
"机械3：法线拉直","MACHIN3: Normal Straighten"
"拉直直线熔断面上的不均匀阴影","Straighten uneven shading on straight fuse surface sections"
"机器 3：法线转移","MACHIN3: Normal Transfer"
"从存储库转移法线","Transfer Normals from Stash"
"应用法线转移","Apply Normal Transfer"
"利器限制","Limit by Sharps"
"MatCap 开关","MatCap Switch"
"机械3：法线清除","MACHIN3: Normal Clear"
"重置所选几何体的法线，未选几何体保持原样","Reset normals of the selected geometry, keep unselected geo as is"
"限制选择","Limit to Selection"
"MACHIN3：偏移","MACHIN3: Offset"
"偏移布尔运算产生的循环边缘环，以创建周长循环","Offset cyclic edgeloops resulting from Boolean Operations to create a perimeter loop"
"循环滑动 ","Loop Slide "
"面方法","Face Method"
"创建顶点组","Create Vertex Group"
"偏移","offset"
"MACHIN3：偏移切割","MACHIN3: Offset Cut"
"描述","description"
"重采样","Resample"
"因子","Factor"
"迭代","Iterations"
"优化","Optimize"
"扩展","Extend"
"扩展","Spread"
"精确","Precision"
"摇摆","Wiggle"
"移位","Shift"
"管道%d","pipe%d"
"MACHIN3：插入","MACHIN3: Plug"
"将 Plug 嵌入网格表面","Embed Plug into mesh surface"
"包含","Contain"
"数量","Amount"
"圆角或边缘","Fillet or Edge"
"偏移","Offset"
"旋转","Rotation"
"变形","Deformation"
"变形插头","Deform Plug"
"变形子集","Deform Subsets"
"插值衰减（曲面变形）","Interpolation Falloff (Surface Deform)"
"网格变形","Mesh Deform"
"插值精度","Plug Precision"
"子集精度","Subset Precision"
"初始运行","Initial Run"
"集成","Integration"
"变形","Transformation"
"插值","Plug"
"子集","Subsets"
"外观","Appereance"
"MACHIN3： 删除插头","MACHIN3: Delete Plug"
"MACHIN3：四角","MACHIN3: Quad Corner"
"将三角形斜角转换为四边形角","Convert a triangular Bevel Corner to Quad Corner"
"转角","Turn"
"转角","Corner"
"快速修补","Quick Patch"
"MACHIN3：快速修补","MACHIN3: Quick Patch"
"通过绘制 4 个角点来创建曲面确认多边形补丁。","Create a surface confirming polygon patch by drawing 4 corner points."
"细分","Subdivisions"
"快速修补","QuickPatch"
"MACHIN3：真实镜像","MACHIN3: Real Mirror"
"将 Mirrod 修改器转换为具有正确原点和正确镜像自定义法线的真实几何体","Convert Mirrod Modifiers into real geometry with proper origins and properly mirrored custom normals"
"U","U"
"V","V"
"镜像自定义法线","Mirror Custom Normals"
"创建真实镜像集合","Create RealMirror Collections"
"应用数据传输","Apply Data Transfers"
"UV 偏移","UV Offset"
"机器3：拒绝","MACHIN3: Refuse"
"依次使用 “未熔合 ”+“熔合 ”编辑锉刀","Edit Fillets by using Unfuse + Fuse in sequence"
"初始化","Initialize"
"MACHIN3：顶点组选择","MACHIN3: Vertex Group Select"
"通过顶点组直观地选择网格元素","Visually select mesh elements by Vertex Group"
"选择索引","Selection Index"
"MACHIN3：锐边选择","MACHIN3: Sharp Select"
"选择与现有选区相连的所有锐边","Select all sharp edges connected to the existing selection"
"MACHIN3：循环选择","MACHIN3: Loop Select"
"通过控制循环角度，将孤立边缘预选变为循环选择","Turn isolated edge preselections into loop selections with control overthe loop-angle"
"最小角度","Min Angle"
"MACHIN3：选择","MACHIN3: Select"
"运行 VSelect、SSelect、LSelect 或传递到 Blender","Run VSelect, SSelect, LSelect or pass through to Blender"
"循环选择","Loop Select"
"绘制属性","Draw Properties"
"MACHIN3：创建存储","MACHIN3: Create Stash"
"存储对象的当前状态","Stash the current state of an object"
"时间","Time"
"步骤","Steps"
"删除源","Remove Sources"
"MACHIN3： 查看储藏","MACHIN3: View Stashes"
"查看对象的暂存状态，并检索、编辑或清除它们","View stashes of an object and retrieve, edit or clear them"
"MACHIN3：转移储藏","MACHIN3: Transfer Stashes"
"将储藏信息从一个对象转移到另一个对象","Transfer Stashes from one object to another"
"检索和重新存储","Retrieve and Re-Stash"
"MACHIN3：查看孤存","MACHIN3: View Orphan Stashes"
"查看孤存","View Oprhan Stashes"
"选取轴","Pick Axis"
"MACHIN3：对称","MACHIN3: Symmetrize"
