"删除 Bagapie 数组修饰符"," Remove Bagapie Array modifiers "
"删除 Bagapie 阵列","Remove Bagapie Array"
"使用选定的对象创建一个数组","Create an array with the selected object (s)"
"大批","Array"
"数组类型","Array Type"
"数数","Count"
"计数 X","Count X"
"Y 县","Count Y"
"环数","Ring Count"
"恒定距离","Constant Distance"
"相对偏移","Relative Offset"
"相对偏移 X","Relative Offset X"
"相对偏移 Y","Relative Offset Y"
"恒定偏移","Constant Offset"
"恒定偏移 X","Constant Offset X"
"恒定偏移 Y","Constant Offset Y"
"半径","Radius"
"环偏移","Rings Offset"
"环偏移 Z","Rings Offset Z"
"长度","Length"
"随机位置","Random Position"
"随机旋转","Random Rotation"
"随机比例","Random Scale"
"对齐中心","Align to Center"
"需要对齐的向量","Vector to be Aligned"
"中级 X","Midlevel X"
"中级 Y","Midlevel Y"
"旋转","Rotation"
"使用恒定距离","Use Constant Distance"
"使用计数","Use Count"
"种子","Seed"
"BagaArray_","BagaArray_"
"在网格上绘制数组","Draw Array on mesh"
"绘制数组","Draw Array"
"BagaArray_Draw_Assets","BagaArray_Draw_Assets"
"内置绘制","builtin.draw"
" 根据资产浏览器导入和使用资产"," import and use assets based on the asset browser "
"导入资产浏览器","import asset browser"
"进口","import"
" 删除 Bagapie Beam Wire 修改器"," Remove Bagapie Beam Wire modifiers "
"移除 Bagapie 梁线","Remove Bagapie Beam Wire"
"创建梁线","Create Beam Wire"
" 删除 Bagapie Beam 修改器"," Remove Bagapie Beam modifiers "
"移除 Bagapie Beam","Remove Bagapie Beam"
"创建光束 H","Create Beam H"
"删除 Bagapie 布尔修饰符","Remove Bagapie Boolean modifiers"
"移除 Bagapie 置换","Remove Bagapie Displace"
"允许您在选定的对象上创建布尔值","Allows you to create booleans on the selected object"
"布尔值","Boolean"
"使用自身","Use Self"
"段数","Segment Count"
"斜面尺寸","Bevel Size"
"十","X"
"是","Y"
"是","Z"
"解算器","Solver"
"类型","Type"
"固化","Solidify"
"固化偏移","Solidify Offset"
"细分","Segments"
"巴加布尔","BagaBool"
"巴嘎斜面","BagaBevel"
"BagaPie_Bool_","BagaPie_Bool_"
"巴加迪斯","BagaDisp"
"BagaBevelObj","BagaBevelObj"
"BagaSolidify","BagaSolidify"
"巴加镜","BagaMirror"
"内置.primitive_cube_add","builtin.primitive_cube_add"
" 删除 Bagapie 电缆修改器"," Remove Bagapie Cable modifiers "
"移除 Bagapie 电缆","Remove Bagapie Cable"
"添加电缆","Add Cable"
" 删除 Bagapie 相机剔除"," Remove Bagapie Camera Culling "
"删除 Bagapie 相机剔除","Remove Bagapie Camera Culling"
"添加相机剔除","Add Camera Culling"
"BagaPie_相机_剔除","BagaPie_Camera_Culling"
" 删除 Bagapie 列修饰符"," Remove Bagapie Column modifiers "
"删除 Bagapie 列","Remove Bagapie Column"
"创建列","Create Column"
" 删除 Bagapie 墙修改器"," Remove Bagapie Wall modifiers "
"删除曲线上的 Bagapie 数组","Remove Bagapie Array On Curve"
"在活动物体上创建所选物体的数组（必须是曲线）。最后选择曲线。注意：此功能应用变换并删除多用户数据","Creates an array of the selected object on the active object (it must be a curve). Select the curve last. Note: This function applies the transform and remove the multi-user data"
"距离","Distance"
"基于实例的大小的对象之间的距离。","Distance between objects based on the size of the instance."
"物体之间的距离恒定。","Constant distance between objects."
"方向","Dirrection"
"巴加阵列","BagaArray"
"巴加曲线","BagaCurve"
"删除 Bagapie 置换修改器","Remove Bagapie Displace modifiers"
"在选定对象上添加带有纹理和细分的位移","Add displacement with texture and subdivision on the selected object"
"力量","Strength"
"中级","Midlevel"
"纹理类型","Texture Type"
"纹理映射","Texture Mapping"
"纹理比例","Texture Scale"
"ColorRamp 最小值","ColorRamp Min"
"ColorRamp Max","ColorRamp Max"
"简单细分","Simple Subdivision"
"细分数","Subdiv Count"
"巴加细分","BagaSubdiv"
"BagaDisplace","BagaDisplace"
"BagaPie_纹理","BagaPie_Texture"
" 删除 Bagapie 栅栏修改器"," Remove Bagapie Fence modifiers "
"移除 Bagapie 围栏","Remove Bagapie Fence"
"添加围栏","Add Fence"
" 删除 Bagapie 地板修改器"," Remove Bagapie Floor modifiers "
"移除 Bagapie 地板","Remove Bagapie Floor"
"创建螺旋楼梯","Create Spiral Stair"
" 为选定的包创建新的资产库"," Create new asset library for the selected pack "
"创建资产库","Create Asset Library"
"资产","Assets"
"将混合文件添加到包库","Add blend file to the pack library"
"打开文件资源管理器","Open File Explorer"
"饼图可见性","pieVisibility"
"在饼形菜单中切换此修改器的可见性","Toggle this Modifier visibility in the Pie menu"
"已启用","Enabled"
"切换此修改器选项","Toggle this Modifier options"
"姓名","name"
"标识符","identifier"
"描述","description"
"小路","path"
"配置","config"
"在饼形菜单中切换此 GeoPack 的可见性","Toggle this GeoPack visibility in the Pie menu"
"切换此 GeoPack 选项","Toggle this GeoPack options"
"切换此 GeoPack 信息部分","Toggle this GeoPack Info section"
"切换此 GeoPack Modifier 部分","Toggle this GeoPack Modifier section"
"切换此 GeoPack 资产部分","Toggle this GeoPack Assets section"
"扫描修饰符","scanModifiers"
"修饰符列表","Modifiers List"
"返回 Blender 中当前活动的几何节点。","Returns the currently active geometry node in Blender."
"返回 Blender 中当前活动的几何节点修改器。","Returns the currently active geometry node modifier in Blender."
" 删除 GeoPack"," Delete a GeoPack "
"删除 Geopack","Delete a Geopack"
"包装名称","packName"
"包装识别符","packIdentifier"
"取消","cancel"
"申请","apply"
"确认","confirm"
"与此包相关的所有资产也将丢失。","ALL ASSETS linked to this pack will also be LOST."
"此操作无法撤消。","This operation cannot be undone."
"（确保您有一份副本）","(Make sure you have a copy)"
"是的，我","Yes, I"
"好的","OK"
"取消","Cancel"
" 删除 GeoPack 修改器"," Delete a GeoPack Modifier "
"删除 Geopack 修改器","Delete a Geopack Modifier"
"修饰符标识符","modifierIdentifier"
"修饰符名称","modifierName"
" 创建新的 GeoPack"," Create New GeoPack "
"新的 GeoPack 修改器","New GeoPack Modifier"
" 创建新的 GeoPack 修改器"," Create New GeoPack Modifier "
"选择修改器","Select Modifier"
" 根据资产浏览器选择导入资产并使用 geopack 工具（左）"," Import assets based on the asset browser selection and use the geopack tool (left) "
"从资产浏览器导入","import from asset browser"
"没有任何","None"
" 指定 GeoPack 修改器"," Assign GeoPack Modifier "
"将 GeoPack 修改器分配给当前对象","Assign GeoPack Modifier to the current object"
"内置画笔.add","builtin_brush.add"
"modifier_data_export_items0","modifier_data_export_items0"
"modifier_data_export_items1","modifier_data_export_items1"
"modifier_data_export_items2","modifier_data_export_items2"
"modifier_data_keep_default0","modifier_data_keep_default0"
"modifier_data_keep_default1","modifier_data_keep_default1"
"modifier_data_keep_default2","modifier_data_keep_default2"
"modifier_data_is_asset0","modifier_data_is_asset0"
"modifier_is_asset1","modifier_is_asset1"
"modifier_data_is_asset2","modifier_data_is_asset2"
"data_into_tooltip","data_into_tooltip"
"未选择修饰符","No modifier selected"
"添加至包装：","Add to pack :"
"修饰符：","Modifier : "
"请重命名您的节点树。","Please, rename your node tree."
"覆盖","Override"
"信息","Info"
"用法","Usage"
"数据","Data"
"修饰符名称","Modifier name"
"作者","Author(s)"
"描述","Description"
"修改器版本（例如：1.0.0）","Modifier Version (e.g : 1.0.0)"
"最低限度的 Blender 版本","Minimal Blender version"
"接触","Contact"
"网址","URL"
"NodeTree 许可证","NodeTree License"
"定义修改器的工作方式。","Define how the Modifier works."
"活动对象必须是：","Active Object Must Be :"
"新对象类型：","New object type :"
"切换到编辑模式并启用添加立方体工具","Switch to Edit Mode and enable Add Cube tool"
"切换到绘制曲线模式","Switch to draw curve mode"
"曲线模式：","Curve Mode :"
"2D","2D"
"3D","3D"
"曲线投影：","Curve Projection :"
"光标","Cursor"
"表面","Surface"
"切换到重量绘制","Switch to Weight Paint"
"添加头发曲线","Add Hair Curves"
"未找到属性输入","No attribute input found"
"将创建一个新的 Vertex 组","A new Vertex group will be created"
"Verter 组名称：","Verter Group Name :"
"逆变器组输入：","Verter Group Input :"
"头发长度","Hair Length"
"发点","Hair Point"
"头发数量","Hair Count"
"使用选择","Use Selection"
"允许资产浏览器选择","Allow asset browser selection"
"选定的对象必须是：","Selected object(s) Must be :"
"网","Mesh"
"曲线","Curve"
"相机","Camera"
"空的","Empty"
"文本","Text"
"体积","Volume"
"光","Light"
"未找到集合输入","No Collection input found"
"集合名称","Collection Name"
"集合输入","Collection Input"
"你的修饰符将如何工作：","How your modifier will work :"
"- 活动对象将接收修改器","- Active object will receive the modifier "
