"将输出节点名称存储为公开变量","Store output node name as an exposed variable"
"星光的太阳","Starlight Sun"
"从混合器文件中删除所有节点组"," Delete all Node Groups from the blenderfile "
"阅读更多","Read more"
"请在文档中阅读有关此特性的信息","Read about this feature in the documentation"
"重新加载默认预设","Reload Default Presets"
"重新加载默认预设，覆盖对它们所做的任何更改!","Reload default presets, overwriting any changes made to them!"
"使用真实世界的物理值","Use real world physical values"
"使用ACES色彩空间","Use ACES color space"
"切换工具栏(N面板)","Toggle Toolbar (N panel)"
"选择工具栏的插件名称(N面板)","Choose addon name for the Toolbar (N panel)"
"工具栏支持","Toolbar enabled"
"工具栏的标签:","Toolbar label:"
"重新加载默认预设:","Reload default presets:"
"重新加载","Reload"
"检查参数是否可JSON序列化的函数","A function to check if a param is JSON seriazible"
"函数，该函数将基于当前PSA气氛的预设写入给定路径的.json文件","Function that writes a preset based on current PSA atmosphere to a .json fila given a path"
"函数用于备份给定路径和版本数据的预设","Function that backups a preset given it's path and version data"
"函数，从给定路径加载预设的.json并应用于当前的PSA气氛","Function that loads a preset .json from given path and applies to current PSA atmosphere"
"PSA预设对象","PSA Preset Object"
"名字","Name"
"预设名称","Name of preset"
"文件路径","File Path"
"包含预置数据的JSON文件路径","Path of the JSON file that contains preset data"
"输出节点的名称","Name of the output node"
"星光大气节点的名称","Name of the Starlight Atmosphere node"
"Physical Stars节点的名称","Name of the Physical Stars node"
"插件使用的Sun对象","Sun object used by addon"
"预设","Presets"
"PSA所有可用预设的列表","A list of all available presets for PSA"
"预设的名字","Preset Name"
"当前PSA预置名称","Name of current PSA preset"
"预设指数","Preset Index"
"选择要应用的预设索引","Index of preset selected to apply"
"显示预设","Show Presets"
"在UI中显示预设","Show Presets in UI"
"使用预设的太阳位置","Use Preset Sun Position"
"是否使用预设的太阳位置","Whether to use sun position from preset"
"启用星光气氛","Enable starlight atmosphere"
"版格式","Version format"
"材料计算","Material Count"
"材料与应用雾计数","Material with applied fog count"
"默认属性强度倍增器","Default property intensity multiplier"
"太阳位置校验和","Sun Position checksum"
"包含最后一帧的所有属性字符串连接","Contains last frame all property string concatenation"
"在不触发更新功能的情况下更新方位或仰角","Update azimuth or elevation without triggering update function"
"为了避免在生成预设时进入循环并生成预设","To avoid getting in a loop and generating presets when presets are being generated"
"为所有道具设置默认值并重新注册它们的函数。","Function that sets default values for all props and re-registers them."
"太阳磁盘","Sun Disk"
"在大气中切换太阳盘","Toggles Sun disk in the atmosphere"
"日光灯","Sun Lamp"
"在世界背景中使用太阳灯代替太阳盘作为光源","Use Sun Lamp as light source instead of Sun Disk in world background"
"方位","Azimuth"
"水平方向:在0°太阳在Y+轴上","Horizontal direction: at 0° the Sun is in the Y+ axis"
"海拔高度","Elevation"
"垂直方向:太阳在90°时处于天顶","Vertical direction: at 90° the Sun is in the zenith"
"角直径","Angular Diameter"
"太阳盘的角直径，以度为单位","Angular diameter of the Sun disk in degrees"
"大气的颜色","Atmosphere color"
"瑞利散射","Rayleigh scattering"
"大气吸收/色波长消光值","Atmosphere absorption / color wavelength extinction value"
"密度","Density"
"大气密度，单位:kg/m3","Atmosphere density in kg/m3"
"规模高度","Scale Height"
"大气的高度","Atmosphere height"
"强度","Intensity"
"大气辐射强度(W/m2)","Atmosphere Radiance Intensity in W/m2"
"晚上强度","Night Intensity"
"夜空辐射强度(W/m2)","Night Sky Radiance Intensity in W/m2"
"下降","Falloff"
"艺术氛围下降曲线","Artistic atmosphere falloff curve"
"Mie散射强度(W/m2)","Mie scattering Intensity in W/m2"
"各向异性","Anisotropy"
"Mie方向各向异性","Mie directional anisotropy"
"距离标量","Distance Scalar"
"艺术氛围距离标量","Artistic atmosphere distance scalar"
"地面","Ground"
"参数地面能见度","Parametric ground visibility"
"地面颜色","Ground color"
"地面抵消","Ground Offset"
"参数地平面偏移距离，单位为米","Parametric ground plane offset distance in meters"
"地平线抵消","Horizon Offset"
"上下移动水平线","Move horizon line up or down"
"温度K","Temperature K"
"太阳","Sun"
"太阳辐射强度(W/m2)。只影响太阳盘和地面","Sun Radiance Intensity in W/m2. Influences only sun disk and ground"
"二进制的太阳","Binary Sun"
"使用双星","Use Binary Sun"
"距离","Distance"
"离太阳的距离","Distance from the Sun"
"阶段","Phase"
"阶段在Sun上下文中","Phase in context of Sun"
"双星太阳盘的角直径，以度为单位","Angular diameter of the Binary Sun disk in degrees"
"双太阳辐射强度(W/m2)。只影响太阳盘和地面","Binary Sun Radiance Intensity in W/m2. Influences only sun disk and ground"
"太阳辐射伽马","Sun Radiance Gamma"
"艺术太阳辐射伽马","Artistic Sun Radiance Gamma"
"星图图像","Star map Image"
"选择一个星图图像","Choose a Star map Image"
"辐射强度","Radiance Intensity"
"恒星辐射强度","Stars Radiance Intensity"
"辐射γ","Radiance Gamma"
"恒星辐射伽马","Stars Radiance Gamma"
"星星种子","Stars Seed"
"随机星型分布的种子数","Seed number for random stars distribution"
"星星数量","Stars Amount"
"控制可见恒星，偏移半径","Control visible stars, offsets radius"
"明星规模","Stars Scale"
