," "
,"'"
"创建新库/创建丢失的文件夹","Create new Library / Create missing folders"
"在选定目录中创建有效的资料库文件夹","Creates the valid library folders in the selected directory"
"路径","Path"
"属性 ID","Property Id"
"加载库列表","Load Libraries List"
"保存更改","Save Changes"
"添加新库","Add New Library"
"删除库","Remove Library"
"项目索引","item index"
"在资产浏览器中启用/禁用当前库","Enable / Disable current library in Asset Browser"
"显示资料库","Show library"
"缩略图大小","Thumbnails size"
"可用更新","Update Available"
"最新版本","Latest Version"
"筛选方法","Filtering method"
"用于渲染预览图像的首选渲染引擎","Prefered render engine used for rendering the preview image"
"渲染引擎","Render Engine"
"摄像机类型","Camera Type"
"用于渲染预览图像的首选相机类型","Prefered camera type for previews renderings"
"采样","Samples"
"用于渲染预览图像的采样","Sampling for rendering the preview images"
"预览图像大小","Preview image size"
"预览图像的大小（单位：px","Size of the preview image in px"
"图像格式","Image format"
"预览缩略图的首选图像格式","Prefered image format of the preview thumbnail"
"JPG 质量","JPG Quality"
"颜色深度","Color depth"
"PNG 色彩深度","PNG Color depth"
"PNG 压缩","PNG Compression"
"PNG 压缩率","PNG Compression rate"
"透明背景","Transparent Background"
"流程面板名称","Flow Panel Name"
"流程创建器面板名称","Flow Creator Panel Name"
"更新日志","Changelog"
"文档","Documentation"
"教程与新闻","Tutorials & News"
"视频","Youtube"
"安装 Pillow 以加快图片预览速度","Install Pillow for faster images previews"
"已安装 Pillow","Pillow is installed"
"资产库","Asset Libraries"
"库名称","Library name"
"库路径","Library path"
"路径不正确！","Path is not correct!"
"在 “资产浏览器 ”中添加路径","Add path to Asset Browser"
"无法在保存的文件中添加新库路径！","You cannot add new library paths in a saved file!"
"打开 Blender 空文件以添加新库","Open empty Blender file to add new libraries"
"添加另一个库路径","Add another library path"
"保存更改","Save changes"
"没有连接任何库！","There are no libraries connected!"
"在使用插件之前，请先添加或创建库！","Add or create library first, before using the plugin!"
"加载库列表","Load Library List"
"添加图书馆路径","Add Library Path"
"记住保存任何更改！","Remeber to save any changes!"
"库缩略图设置","Library thumbnails settings"
"显示所选类别和所有子类别中的所有项目","Shows all items from selected category and all subcategories"
"只显示直接类别/子类别文件夹中的项目","Shows items only from the direct category / subcategory folder"
"面板设置","Panels settings"
"输入相同的名称来合并面板","Type the same name to merge panels"
"预览图像渲染设置","Preview image render settings"
"图像大小","Image size"
"仅用于创建资产","For Asset creation only"
"文件格式设置：","File Format Settings:"
"PNG 设置：","PNG Settings:"
"颜色深度：","Color depth:"
"JPG 文件不会以透明背景渲染！","JPG File will not be rendered with transparent background!"
"JPG 设置","JPG Settings:"
