"当 `use_print_traces` 设置时打印处理过的异常细节。","Print handled exception details when use_print_traces is set"
"如果 `verbose` 为真，打印详细的日志消息。","Print out a verbose logging message if verbose is true."
"所有 API 调用到基础 URL。","All API calls to base url."
"所有 API 调用的结果，解码为 JSON 格式。","Result of all api calls, decoded into json format."
"创建工作目录并下载新文件。","Create a working directory and download the new files"
"在更新之前保存当前安装的插件的备份。","Save a backup of the current installed addon prior to an update."
"恢复上次备份的插件版本，仅用户启动时执行。","Restore the last backed up addon version, user initiated only"
"解压下载的文件，并验证内容。","Unzip the downloaded file, and validate contents"
"将 'merger' 文件夹合并到 'base' 中，不删除已有内容。","Merge folder 'merger' into 'base' without deleting existing"
"自定义的 urlretrieve 实现。","Custom urlretrieve implementation"
"在后台线程中运行检查。","Called for running check in a background thread"
"分配要更新的标签名称和 URL。","Assign the tag name and url to update to"
"加载或初始化更新器状态的 JSON 字典数据。","Load or initialize JSON dictionary data for updater state"
"触发保存当前 JSON 结构到插件内文件的操作。","Trigger save of current json structure into file within addon"
"启动后台线程进行更新检查。","Start a background thread which will check for updates"
"执行更新检查，并作为后台线程的目标运行。","Perform update check, run as target of background thread"
"与 Bitbucket API 集成，用于 Git 格式化的存储库。","Integration to Bitbucket API for git-formatted repositories"
"bitbucket","bitbucket"
"与 Github API 集成","Integration to Github API"
"github","github"
"与 GitLab API 集成","Integration to GitLab API"
"gitlab","gitlab"
"更新器对象的最低要求字段和函数。","Fake, bare minimum fields and functions for the updater object."
"向字段添加注解属性，以避免 Blender 2.8+ 的警告。","Add annotation attribute to fields to avoid Blender 2.8+ warnings"
"用于 Blender 2.8 之前和之后分割 UI 功能的中间方法。","Intermediate method for pre and post blender 2.8 split UI function"
"用于 Blender 2.8 之前和之后获取偏好设置的中间方法。","Intermediate method for pre and post blender 2.8 grabbing preferences"
"检查并安装可用的更新。","Check and install update if available"
"更新 {x} 插件。","Update {x} addon"
"弹出窗口以检查并显示当前可用的更新。","Popup to check and display current updates available"
"干净的安装。","Clean install"
"处理更新。","Process update"
"决定安装、忽略或推迟新插件更新。","Decide to install, ignore, or defer new addon update"
"更新模块错误。","Updater module error"
"更新 {} 准备就绪！","Update {} ready!"
"选择","Choose "
"或单击窗口外部来推迟。","or click outside window to defer"
"没有可用的更新。","No updates available"
"按确定以关闭对话框。","Press okay to dismiss dialog"
"立即检查更新吗？","Check for update now?"
"立即检查","Check now for "
"立即检查 {} 插件的更新。","Check now for an update to the {} addon"
"更新","Update "
"更新到最新版本的 {x} 插件。","Update to the latest version of the {x} addon"
"安装指定版本的 {x} 插件。","Install a targeted version of the {x} addon"
"目标安装版本。","Target version to install"
"选择要安装的版本。","Select the version to install"
"更新器错误。","Updater error"
"选择安装版本。","Select install version"
"作为替代方案，引导用户手动下载插件。","As a fallback, direct the user to download the addon manually"
"手动安装更新。","Install update manually"
"继续手动安装更新。","Proceed to manually install update"
"发生错误。","Error Occurred"
"尝试自动安装时出现问题。","There was an issue trying to auto-install"
"按下面的下载按钮并安装","Press the download button below and install"
"ZIP 文件，像普通的插件一样。","the zip file like a normal addon."
"手动安装插件。","Install the addon manually"
"直接下载","Direct download"
"（无法检索直接下载）","(failed to retrieve direct download)"
"打开网站","Open website"
"查看源网站以下载更新。","See source website to download the update"
"插件已就位，弹出窗口告知用户完成情况或出了什么问题。","Addon in place, popup telling user it completed or what went wrong"
"安装报告。","Installation Report"
"更新安装响应。","Update installation response"
"发生错误，未安装。","Error occurred, did not install"
"点击手动下载。","Click for manual download."
"插件已恢复。","Addon restored"
"重新启动 Blender 以重新加载。","Restart blender to reload"
"插件成功安装。","Addon successfully installed"
"考虑重新启动 Blender 以完全重新加载。","Consider restarting blender to fully reload."
"从备份恢复插件。","Restore addon from backup"
"恢复备份","Restore backup"
"忽略更新以防止未来弹出窗口","Ignore update to prevent future popups"
"忽略更新","Ignore update"
"停止后台更新检查","Stop checking for update in the background"
"结束后台检查","End background check"
"传递到更新器，后台线程更新器","Passed into the updater, background thread updater"
"异步线程完成后重新绘制 UI","Redraw the ui once an async thread has completed"
"可以放在其他操作符前面，按下时启动","Can be placed in front of other operators to launch when pressed"
"重新启动 Blender","Restart blender"
"以完成更新","to complete update"
"更新准备就绪！","Update ready!"
"忽略","Ignore"
"更新","Update"
"手动安装","Install manually"
"立即获取","Get it now"
"初始化更新器代码错误：","Error initializing updater code:"
"获取更新器偏好设置错误","Error getting updater preferences"
"更新器设置","Updater Settings"
"重新启动 Blender 以完成更新","Restart blender to complete update"
"检查间隔","Interval between checks"
"正在检查…","Checking..."
"立即更新到","Update now to "
"插件已是最新版本","Addon is up to date"
"安装 {} / 旧版本","Install {} / old version"
"重新安装插件版本","(Re)install addon version"
"恢复插件备份 ({})","Restore addon backup ({})"
"上次更新检查：","Last update check: "
"上次更新检查：从未","Last update check: Never"
"上次检查：","Last check: "
"上次检查：从未","Last check: Never"
"在此模块中注册运算符","Registering the operators in this module"
"重复","Duplicate "
"重用","Reuse "
"重复变形器","Duplicate Deformer"
"重置变形器","Reset Deformer"
"应用所有变形器","Apply All Deformers"
"应用所选的变形器","Apply Selected Deformer"
"用于冻结或解冻分布的头发。冻结分布的头发可以加快变形计算速度","Used to freeze or unfreeze distributed hair. Freezing the distributed hair speeds up deformation calculations"
"冻结","Freeze"
"临时缓存","tempCache"
"删除变形器","Delete Deformer"
"添加变形器","Add Deformer"
"变形器","Deformers"
"指南","Guide"
"束","Clump"
"编织","Braid"
"噪声","Noise"
"卷曲","Curl"
"修剪","Trim"
"实用工具","Utility"
"曲线转换为样条线","Curves to Splines"
"镜像","Mirror"
"缩放","Scale"
"重新采样头发","Resample Hair"
"子项","Children"
"仿真（实验性）","Simulation (Experimental)"
"缓存","Cache"
"动力学","Dynamics"
"毛发","Hairs"
"头发","Hair"
"样条线","Splines"
"发射器对象","Emitter Object"
"平均","AVERAGE"
"创建指导曲线","Create Guide Curves"
"选择现有","Choose Existing "
"选择指导对象","Pick and Choose the Guide Object"
"继承","Inherit "
"指导曲线选项","Guides Curves Options"
"复制输入链接","Copy Input Link"
"粘贴输入链接","Paste Input Link"
"复制输入节点","Copy Input Nodes"
"创建材质属性","Create Material Attribute"
"属性名称","Attribute name"
"重命名材质属性","Rename Material Attribute"
"移除材质属性","Remove Material Attribute"
"遮罩组选项","Mask Group Options"
"文档","Documentation"
"遮罩组","Mask Groups"
"添加遮罩组","Add Masks Group"
"纹理","Texture"
"随机","Random"
"百分比","Percent"
"曲线","Curve"
"渐变","Ramp"
"白噪声","White Noise"
"马斯格雷夫","Musgrave"
"魔法","Magic"
"棋盘","Checker"
"维诺伊","Voronoi"
"选项","Options"
"材质属性","Material Attribute"
"调用默认","INVOKE_DEFAULT"
"变形器选项","Deformer Options"
"展开 / 折叠层次结构","Expand / Collapse Hierarchy"
"展开 / 折叠遮罩组","Expand / Collapse Mask Group"
"模板","Templates"
"启用 / 禁用","Enable / Disable"
"显示 / 隐藏","Show / Hide"
"雕刻模式切换","Sculpt Mode Toggle"
"指导","Guides"
"编辑遮罩组","Edit Mask Group"
"移除遮罩组","Remove Mask Group"
"查看组","View Group"
"MN 观察器","MN Viewer"
"启用 / 禁用","Enable / Disable the "
"切换顺序","Switch order"
"美发节点菜单","Medusa Nodes Menu"
"美发节点","Medusa Nodes"
"v1.1.0-beta","v1.1.0-beta"
"创建造型","Create Groom"
"重复名称的造型","Groom to duplicate Name"
"重复名称的部分","Part to duplicate Name"
"种子","Seed"
"生成器种子","Generator seed"
"控制点数量","Control Point Count"
"生成器控制点数量","Generator control point count"
"密度","Density"
"生成器密度","Generator density"
"surface_uv_coordinate","surface_uv_coordinate"
"新的造型","New Groom"
