"添加流体","Add Fluid"
"内置绘制","builtin.draw"
"检查资产浏览器是否打开。","Checks if the asset browser is open."
"添加流体","Fluid Add"
"流体预设：","Fluid Preset:"
"类别","Category"
"流体","Fluid"
"流体初始设置：","Fluid Initial Settings:"
"流体刻度","Fluid Scale"
"流体样条线分辨率","Fluid Spline Resolution"
"选定对象的父流体","Parent Fluid to selected object"
"绘制对象： ","Drawing Object: "
"父对象： ","Parent Object: "
"开始绘制（选项卡）","Start Drawing (Tab)"
"停止绘制（选项卡）","Stop Drawing (Tab)"
"设置绘图对象","Set Drawing Objects"
"设置框架驱动程序","Set Frame Driver"
"设置单滴流","Set Single Drop Stream"
"流体编辑","Fluid Editing"
"更新绘图对象","Update Drawing Objects"
"属性","Properties"
" 流体样条线分辨率"," Fluid Spline Resolution"
"材质","Material"
"下拉","Drop"
"开始","Start"
"结束","End"
"图层 A","Layer A"
"图层 B","Layer B"
"设置","Settings"
" 过时"," (Outdated)"
"文档","Documentation"
"YouTube 教程","YouTube Tutorial"
"流体预设","Fluid Presets"
"在流体添加面板中显示","Show in Fluid Add Panel"
"在资产浏览器中显示","Show in Asset Browser"
"创建流体","Fluid Creation"
"转换为网格","Convert to Mesh"
"将原点设置为几何图形","Set Origin to Geometry"
"切换静止/定位","Switch Rest/Pose"
"转换为流体","Convert to Fluid"
"顶点组转移","Vertex Groups transfer"
"电枢","Armature"
"绑定到网格","Bind to Mesh"
"曲面变形 MULT","SurfaceDeformMULT"
"曲面变形 SUBD","SurfaceDeformSUBD"
"曲面变形","SurfaceDeform"
"合并流体","Merge Fluids"
"流体工具","Fluid Tools"
"设置流体原点","Set Fluid Origin"
"将流体原点设置为中心","Set Fluid origin to its center"
"将流体转换为网格","Convert Fluid to Mesh"
"将流体转换为网格","Convert the Fluid to Mesh"
"将曲线转换为流体","Convert Curve to Fluid"
"流体预设： ","Fluid Preset: "
"流体缩放","Fluid Scale:"
"将流体粘贴到动画对象","Stick Fluid to Animated Object"
"粘贴方法","Stick Method"
"选择粘贴方法","Choose the stick method"
"方法","Method"
"对象","Object"
"保持流体属性","Keep Fluid Properties"
"花键分辨率：","Spline Resolution:"
"衔铁","Armature:"
"姿势位置","Pose Position"
"静止位置","Rest Position"
"将流体粘贴到对象上","Stick Fluid to Object"
"流体 1： ","Fluid 1: "
"流体 2： ","Fluid 2: "
"两种流体的类型必须相同","The Two fluids must be of the same type"
"物体必须是流体类型","The objects must be of fluid type"
"合并流体： ","Merged Fluid: "
"选择要合并的两种流体","Select two fluids to merge"
"合并","Merge"
"取消合并","Unmerge"
"流体的比例","Scale of the Fluid"
"粘贴网格","Sticking Mesh"
"选择要粘附流体的网格","Select the mesh you want the fluid to stick to"
"保留流体几何节点","Keep fluid geometry node"
"指示是否保留流体几何节点的标志","Flag to indicate whether to keep the fluid geometry node"
"样条线分辨率","Spline Resolution"
"花键的分辨率","Resolution for the spline"
"更新曲线","Update Curve"
"流体绘制器 GN","FluidPainterGN"
"流体更新","Fluid Update"
"将流体更新至最新版本","Update Fluid to the latest version"
"更新材质","Update Materials"
"切换以更新材质","Toggle to update materials"
"流体绘画库","Fluid Painter Library"
"添加时绘制","Draw on Add"
"在创建对象时启用绘制","Enable drawing on object creation"
"启用/禁用流体添加面板","Enable/disable the Fluid Add Panel"
"启用/禁用资产浏览器","Enable/disable the Asset Browser"
"流体的比例因子","Scale factor for the fluid"
"流体是顶点","Fluid is Topping"
"流体用作顶层","The fluid is used as topping"
"父流体","Parent Fluid"
"选定对象的父流体","Parent Fluid to selected Object"
