"当设置了 use_print_traces 时打印处理的异常详细信息","Print handled exception details when use_print_traces is set"
"如果详细为真，则打印出详细的日志消息。","Print out a verbose logging message if verbose is true."
"所有 API 调用均指向基本 URL。","All API calls to base url."
"所有 api 调用的结果，解码为 json 格式。","Result of all api calls, decoded into json format."
"创建工作目录并下载新文件","Create a working directory and download the new files"
"在更新之前保存当前安装的插件的备份。","Save a backup of the current installed addon prior to an update."
"恢复上次备份的插件版本，仅用户启动","Restore the last backed up addon version, user initiated only"
"解压下载的文件并验证内容","Unzip the downloaded file, and validate contents"
"将文件夹“合并”到“基础”而不删除现有的","Merge folder 'merger' into 'base' without deleting existing"
"自定义 urlretrieve 实现","Custom urlretrieve implementation"
"调用后台线程运行检查","Called for running check in a background thread"
"指定要更新的标签名称和 URL","Assign the tag name and url to update to"
"加载或初始化更新程序状态的 JSON 字典数据","Load or initialize JSON dictionary data for updater state"
"触发将当前 json 结构保存到插件内的文件中","Trigger save of current json structure into file within addon"
"启动后台线程来检查更新","Start a background thread which will check for updates"
"执行更新检查，作为后台线程的目标运行","Perform update check, run as target of background thread"
"集成 Bitbucket API 以用于 git 格式的存储库","Integration to Bitbucket API for git-formatted repositories"
"比特桶","bitbucket"
"与 Github API 集成","Integration to Github API"
"github","github"
"与 GitLab API 集成","Integration to GitLab API"
"GitLab","gitlab"
"更新程序对象的虚假的、最少的字段和功能。","Fake, bare minimum fields and functions for the updater object."
"向字段添加注释属性以避免 Blender 2.8+ 警告","Add annotation attribute to fields to avoid Blender 2.8+ warnings"
"blender2.8 前后拆分UI功能的中间方法","Intermediate method for pre and post blender 2.8 split UI function"
"Blender 2.8 前后抓取偏好的中间方法","Intermediate method for pre and post blender 2.8 grabbing preferences"
"检查并安装更新（如果有）","Check and install update if available"
"更新 {x} 插件","Update {x} addon"
"弹出窗口检查并显示当前可用的更新","Popup to check and display current updates available"
"全新安装","Clean install"
"流程更新","Process update"
"决定安装、忽略或推迟新的插件更新","Decide to install, ignore, or defer new addon update"
"更新程序模块错误","Updater module error"
"更新{}已准备就绪！","Update {} ready!"
"选择","Choose "
"或点击窗口外以推迟","or click outside window to defer"
"没有可用更新","No updates available"
"按“确定”关闭对话框","Press okay to dismiss dialog"
"现在检查更新吗？","Check for update now?"
"立即检查","Check now for "
"立即检查 {} 插件的更新","Check now for an update to the {} addon"
"更新","Update "
"更新至 {x} 插件的最新版本","Update to the latest version of the {x} addon"
"安装 {x} 插件的目标版本","Install a targeted version of the {x} addon"
"要安装的目标版本","Target version to install"
"选择要安装的版本","Select the version to install"
"更新程序错误","Updater error"
"选择安装版本","Select install version"
"作为后备方案，指导用户手动下载插件","As a fallback, direct the user to download the addon manually"
"手动安装更新","Install update manually"
"继续手动安装更新","Proceed to manually install update"
"发生了错误","Error Occurred"
"尝试自动安装时出现问题","There was an issue trying to auto-install"
"按下方的下载按钮并安装","Press the download button below and install"
"该 zip 文件就像一个普通的插件。","the zip file like a normal addon."
"手动安装插件","Install the addon manually"
"直接下载","Direct download"
"（无法检索直接下载）","(failed to retrieve direct download)"
"打开网站","Open website"
"请访问源网站下载更新","See source website to download the update"
"插件到位，弹出窗口告诉用户它已完成或出了什么问题","Addon in place, popup telling user it completed or what went wrong"
"安装报告","Installation Report"
"更新安装响应","Update installation response"
"发生错误，未安装","Error occurred, did not install"
"点击下载手册。","Click for manual download."
"插件已恢复","Addon restored"
"重新启动搅拌机以重新加载","Restart blender to reload"
"插件安装成功","Addon successfully installed"
"考虑重新启动搅拌机以完全重新加载。","Consider restarting blender to fully reload."
"从备份恢复插件","Restore addon from backup"
"恢复备份","Restore backup"
"忽略更新以防止将来弹出窗口","Ignore update to prevent future popups"
"忽略更新","Ignore update"
"停止在后台检查更新","Stop checking for update in the background"
"结束背景调查","End background check"
"传入更新器，后台线程更新器","Passed into the updater, background thread updater"
"异步线程完成后重新绘制 UI","Redraw the ui once an async thread has completed"
"可以放置在其他操作员面前，按下后即可启动","Can be placed in front of other operators to launch when pressed"
"重启搅拌机","Restart blender"
"完成更新","to complete update"
"更新准备就绪！","Update ready!"
"忽略","Ignore"
"更新","Update"
"手动安装","Install manually"
"立即获取","Get it now"
"初始化更新程序代码时出错：","Error initializing updater code:"
"获取更新程序偏好设置时出错","Error getting updater preferences"
"更新程序设置","Updater Settings"
"重启搅拌机以完成更新","Restart blender to complete update"
"检查间隔","Interval between checks"
"检查...","Checking..."
"立即更新至","Update now to "
"插件已更新","Addon is up to date"
"安装{} / 旧版本","Install {} / old version"
"（重新）安装插件版本","(Re)install addon version"
"恢复插件备份 ({})","Restore addon backup ({})"
"上次更新检查：","Last update check: "
"上次更新检查：从不","Last update check: Never"
"最后检查：","Last check: "
"最后检查：从不","Last check: Never"
"在此模块中注册操作员","Registering the operators in this module"
"mbastlab_rot","mbastlab_rot"
"mbastlab_loc","mbastlab_loc"
"MBLab_skeleton_face_rig。","MBLab_skeleton_face_rig."
"MBLab_skeleton_phoneme_rig。","MBLab_skeleton_phoneme_rig."
"MB_LAB_角色","MB_LAB_Character"
"头皮","Scalp"
"mbastlab_corrective_modifier","mbastlab_corrective_modifier"
"MBlab_bd","MBlab_bd"
"MBlab_sk","MBlab_sk"
"人类","human"
"姓名","Name"
"头","Head"
