"将 dict 写入打开的 JSON 文件","Write dict to an opened JSON file"
"从 dict 返回 JSON（不保存文件）","Returns JSON from dict (does not save file)"
"将图标载入 ""集合","Load icons into 'collection'"
"vdb_material_icons","vdb_material_icons"
"确保传递的路径与资产文件夹一致","Ensure passed path is realtive to the asset folder"
"这样我就不必在注册插件时为其设置条件了","Here just so I don't have to make a condition for it when registering the addon"
"获取此对象的默认材质数据","Get this Object's default material data"
"获取显示节点名称","Get the display node name"
"如果存在，加载并返回默认材质","Load and return the default material if exists"
"创建一个新的 VDB Image Plane python 对象","Create a new VDB Image Plane python object"
"删除此 VDB 的所有数据和文件","Remove all data and files of this VDB"
"删除混合文件","Delete the blend file"
"删除 “vdb_dir ”下的所有 VDB 文件","Delete all VDB files under 'vdb_dir'"
"删除未使用的 VDB 图标","Removes the VDB icon if not used by others"
"重置导出属性","Reset the export attributes"
"导出（压缩到传递的 zip 文件中）混合文件及其所有 VDB 文件","Export (compress into the passed zip file) the blend file and all of its vdb files"
"创建一个新的图标对象","Create a new Icons object"
"材料.blend","materials.blend"
"返回显示节点的名称","Return the name of the display node"
"删除项目、列表、集合和枚举中的打包数据","Remove the Pack data from items, list, set, and enum"
"重置每个 VDB 的导出属性","Reset the export attributes of each VDB"
"清除并重新创建首选项用户界面的项目类别","Clear and recreate item categories for Preferences UI"
"重置每个 VDB 类别的导出属性","Reset the export attributes of each VDB Category"
"返回窗口管理器图标选取器的名称","Returns the name of the Window Manager Icon Picker"
"返回窗口管理器图标选取器中活动 VDB 的 ID","Returns the ID of the active VDB in the Window Manager Icon Picker"
"返回窗口管理器图标选取器中的活动 VDB 对象","Returns the active VDB object of the Window Manager Icon Picker"
"创建新的 VDB 材质对象","Create new VDB Materials object"
"如果 materials.blend 文件不存在或 clear 为 True，则创建该文件","Creates the materials.blend file if it doesn't already exist or clear is True"
"将项目、列表、设置和枚举全部设置为其类型的空版本","Set the items, list, set, and enum all back to empty versions of their types"
