# Target Addon : BSurface ver1.8.0
# User Translate : ver1.0.1
# Translate File : ver1.0.0
# Translate File Author : Bookyakuno
"Bsurfaces","Bsurfaces"
"初始化（添加 BSurface 网格）","Initialize (Add BSurface mesh)"
"添加镜像和其他修改器","Add Mirror and others modifiers"
"BSurface 的网格：","Mesh of BSurface:"
"引导描边：","Guide strokes:"
"添加曲面","Add Surface"
"编辑曲面","Edit Surface"
"添加笔触","Add Strokes"
"编辑笔触","Edit Strokes"
"曲线笔触","Strokes to curves"
"添加注释","Add Annotation"
"为曲线添加注释","Annotation to curves"
"编辑曲线","Edit curve"
"初始设置：","Initial settings:"
"编辑曲线","curve_edit"
"设置首点","Set First Points"
"切换方向","Switch Direction"
"重新排列样条曲线","Reorder Splines"
"Bsurfaces 添加曲面","Bsurfaces add surface"
"从油性笔触、贝塞尔曲线或松散边缘生成曲面","Generates surfaces from grease pencil strokes, bezier curves or loose edges"
"交叉","Cross"
"与笔画交叉的面环数量","Number of face-loops crossing the strokes"
"跟随","Follow"
"跟随笔画的面环数量","Number of face-loops following the strokes"
"循环交叉","Cyclic Cross"
"使交叉笔画的面环循环往复","Make cyclic the face-loops crossing the strokes"
"循环跟随","Cyclic Follow"
"在笔画后循环出现面环","Make cyclic the face-loops following the strokes"
"笔画上的循环","Loops on strokes"
"使面环与笔画路径相匹配","Make the loops match the paths of the strokes"
"自动连接","Automatic join"
"自动连接生成的任一曲面的顶点 ","Join automatically vertices of either surfaces generated "
"拉伸","Stretch"
"允许的拉伸或收缩量 ","Amount of stretching or shrinking allowed for "
"保留笔触","Keep strokes"
"添加曲面后保留草绘的笔触或曲线","Keeps the sketched strokes or curves after adding the surface"
"surfskio_ne_str","SURFSKIO_NE_STR"
"surfskio_calc_tmp","SURFSKIO_CALC_TMP"
"surfskio_stk_tmp","SURFSKIO_STK_TMP"
"SURFSKIO_surface","SURFSKIO_surface"
"SURFSKIO_ctrl_pts","SURFSKIO_ctrl_pts"
"SURFSKIO_temp_strokes","SURFSKIO_temp_strokes"
"keep_strokes","keep_strokes"
"Bsurfaces 初始化","Bsurfaces initialize"
"添加一个带有有用设置的空网格对象","Add an empty mesh object with useful settings"
"buildin_brush.Draw","builtin_brush.Draw"
"内置注释","builtin.annotate"
"添加修改器 镜像、收缩包装、细分、固化","Add modifiers: Mirror, Shrinkwrap, Subdivision, Solidify"
"Bsurfaces 编辑曲面","Bsurfaces edit surface"
"编辑曲面网格","Edit surface mesh"
"选择","builtin.select"
"Bsurfaces 添加笔触","Bsurfaces add strokes"
"添加油性笔触","Add the grease pencil strokes"
"Bsurfaces edit strokes","Bsurfaces edit strokes"
"编辑油性笔画","Edit the grease pencil strokes"
"将注释转换为曲线","Convert annotation to curves"
"将注释转换为曲线以便编辑","Convert annotation to curves for editing"
"内置选择框","builtin.select_box"
"将笔触转换为曲线","Convert strokes to curves"
"将油性笔画转换为曲线以供编辑","Convert grease pencil strokes to curves for editing"
"Bsurfaces 添加注释","Bsurfaces add annotation"
"添加注释","Add annotation"
"Bsurfaces 编辑曲线","Bsurfaces edit curve"
"Bsurfaces 重新排列花键","Bsurfaces reorder splines"
"使用油性笔画定义花键的顺序","Defines the order of the splines by using grease pencil strokes"
"设置花键顺序","SURFSKIO_CRV_ORD"
"Bsurfaces 设置第一点","Bsurfaces set first points"
"将所选点设置为每条样条曲线的第一点","Set the selected points as the first point of each spline"
"选项卡类别","Tab Category"
"为面板类别选择名称","Choose a name for the category of the panel"
"选项卡类别：","Tab Category:"
"引导：","Guide:"
"自动连接任一曲面的顶点 ","Join automatically vertices of either surfaces "
"精度","Precision"
"曲面计算的精度","Precision level of the surface calculation"
"BSurface 的网格","Mesh of BSurface"
"油脂笔对象","GreasePencil object"
"曲线对象","Curve object"
"平滑阴影","Shade smooth"
"使用插值顶点法线平滑渲染和显示曲面","Render and display faces smooth, using interpolated Vertex Normals"
