"插件信息 Addon Info","Addon Info"
"打开插件信息 URL Open the addon info URL","Open the addon info URL"
"从图像中追踪形状 Trace shapes from Image","Trace shapes from Image"
"打开图像 Open Image","Open Image"
"加载图像文件 Load an image file","Load an image file"
"加载图像 Load image","Load image"
"打开另一张图像 Open Another Image","Open Another Image"
"加载另一张图像文件 Load another image file","Load another image file"
"加载另一张图像 Load another image","Load another image"
"向网格添加几何体 Add geometry to the mesh","Add geometry to the mesh"
"完成制作 Finalize the craft","Finalize the craft"
"为对象添加最终细节 Add final touches to the object","Add final touches to the object"
"追踪对象 Trace Object","Trace Object"
"TraceGenius 专业版 TraceGenius Pro","TraceGenius Pro"
"拖放图像，或 Drag and Drop image, or","Drag and Drop image, or "
"打开另一张图像 Open another Image","Open another Image"
"对齐到世界原点 Center to World Origin","Center to World Origin"
"样式： Style:","Style :"
"反转： Inversion:","Inversion:"
"颜色阈值： Color Threshold:","Color Threshold:"
"选择一个图像对象 Select an image object","Select an image object"
"追踪形状 Trace Shape","Trace Shape"
"后处理 Post Process","Post Process"
"对象已经有几何体 Object already has geometry","Object already has geometry"
"添加几何体 Add Geometry","Add Geometry"
"几何体 Geometry","Geometry"
"倒角 Bevel","Bevel"
"分辨率 Resolution","Resolution"
"完成 Finalize","Finalize"
"阴影： Shading:","Shading:"
"输出： Output:","Output:"
"起点 Origins","Origins"
"轮廓或填充 outline_or_filled","outline_or_filled"
"反转图像 invert_image","invert_image"
"输出格式 Output Format","Output Format"
"表面阴影 Surface Shading","Surface Shading"
"颜色阈值 Color Threshold","Color Threshold"
"确定计算时的亮度阈值 Determine the lightness threshold above which calculations will be done","Determine the lightness threshold above which calculations will be done"
"各部分原点中心 Individual Parts Center of Origins","Individual Parts Center of Origins"
"在追踪前将图像对齐到世界空间 Center the image in the world space before tracing","Center the image in the world space before tracing"
"分离岛 Separate islands","Separate islands"
"将岛屿分离成单独的对象 Separate islands into individual objects","Separate islands into individual objects"
"清理网格 Cleanup Mesh","Cleanup Mesh"
"生成后清理网格 Cleanup Mesh after generating","Cleanup Mesh after generating"
"GP GP","GP"
"TraceGenius 对象 TraceGenius Object","TraceGenius Object"
