"主要着色器 加 UI","Main Shaders Plus UI"
"调用默认设置","INVOKE_DEFAULT"
"基础BSDF着色器","Base BSDF Shaders"
"基于物理原理的预设","Principled Presets"
"漫反射预设","Diffuse Presets"
"光泽预设","Glossy Presets"
"玻璃预设","Glass Presets"
"折射预设","Refraction Presets"
"透明预设","Transparent Presets"
"光泽预设","Sheen Presets"
"卡通风格预设","Toon Presets"
"模块预设","Modules Presets"
"帮助与文档","Help & Docs"
"帮助与文档","Help + Docs"
"文档与教程","Documentation & Tutorials"
"Discord","Discord"
"报告问题","Report a bug"
"和Jinx打个招呼！","Say Hi to Jinx!"
"测试","Test"
"基于物理原理的增强版","Principled Plus"
"基于物理原理的增强版着色器","Principled Plus Shader"
"漫反射增强版","Diffuse Plus"
"漫反射增强版着色器","Diffuse Plus Shader"
"光泽增强版","Glossy Plus"
"光泽增强版着色器","Glossy Plus Shader"
"玻璃增强版","Glass Plus"
"玻璃增强版着色器","Glass Plus Shader"
"折射增强版","Refraction Plus"
"折射增强版着色器","Refraction Plus Shader"
"透明增强版","Transparent Plus"
"透明增强版着色器","Transparent Plus Shader"
"光泽增强版","Sheen Plus"
"光泽增强版着色器","Sheen Plus Shader"
"卡通风格增强版","Toon Plus"
"卡通风格增强版着色器","Toon Plus Shader"
"测试1","Test 1"
"焦散模块","Caustics Module"
"焦散模块 - v2","Caustics Module - v2"
"色散模块","Dispersion Module"
"色散模块 - v2","Dispersion Module - v2"
"薄膜模块","Thin-Film Module"
"薄膜模块 - v2","Thin-Film Module - v2"
"模块合并器","Module Combiner"
"模块合并器 - v2","Module Combiner - v2"
"漫反射增强版基础着色器","Diffuse Plus Base Shader"
"漫反射 -","Diffuse - "
"玻璃增强版基础着色器","Glass Plus Base Shader"
"玻璃 - 水波纹（默认）","Glass - Caustics (Default)"
"玻璃 - 水波纹（色散）","Glass - Caustics (Dispersion)"
"玻璃 - 水波纹 + 色散（中等）","Glass - Caustics + Dispersion (Medium)"
"玻璃 - 色散（弱）","Glass - Dispersion (Weak)"
"玻璃 - 色散（强）","Glass - Dispersion (Strong)"
"玻璃 - 色散（衰减）","Glass - Dispersion (Falloff)"
"玻璃 - 色散（水晶玻璃）","Glass - Dispersion (Crystal Glass)"
"玻璃 - 薄膜（默认）","Glass - Thin Film (Default)"
"玻璃 - 薄膜（相机镜头）","Glass - Thin Film (Camera Lens)"
"玻璃 - 薄膜（油膜）","Glass - Thin Film (Oily Film)"
"玻璃 - 薄膜（色彩宝石）","Glass - Thin Film (Colorful Gemstone)"
"折射增强版基础着色器","Refraction Plus Base Shader"
"折射 - 色散，色差（弱）","Refraction - Dispersion, Chromatic Abberation (Weak)"
"折射 - 色散，色差（强）","Refraction - Dispersion, Chromatic Abberation (Strong)"
"折射 - 色散，色差（强，衰减）","Refraction - Dispersion, Chromatic Abberation (Strong, Falloff)"
"折射 - 薄膜（变形）","Refraction - Thin Film (Morphism)"
"透明 - 薄膜（弱）","Transparent - Thin Film (Weak)"
"透明 - 薄膜（强）","Transparent - Thin Film (Strong)"
"透明 - 薄膜（迷幻）","Transparent - Thin Film (Psychedelic)"
"透明 - （禁用阴影）","Transparent - (Disable Shadow)"
"光泽 - 薄膜（日落）","Sheen - Thin Film (Sunset)"
"光泽 - 薄膜（冰）","Sheen - Thin Film (Ice)"
"光泽 - 薄膜（深色珍珠）","Sheen - Thin Film (Dark Pear)"
"卡通风格 - 薄膜（海洋绿）","Toon - Thin Film (Ocean Green)"
"卡通风格 - 薄膜（冰川）","Toon - Thin Film (Glacier)"
"卡通风格 - 薄膜（日落高光）","Toon - Thin Film (Sunset Highlight)"
"光泽增强版基础着色器","Glossy Plus Base Shader"
"光泽 - 薄膜（默认）","Glossy - Thin Film (Default)"
"光泽 - 薄膜（加热金属）","Glossy - Thin Film (Heated Metal)"
"光泽 - 薄膜（阳极彩虹）","Glossy - Thin Film (Anodized Rainbow)"
"光泽 - 薄膜（阳极渐变）","Glossy - Thin Film (Anodized Gradient)"
"隐藏标题","Hide Header"
"测试说明","Test Desc"
"执行默认设置","EXEC_DEFAULT"
"链接：","Links:"
"报告：","Report:"
"报告：","Report a Bug"
"报告问题","UI Settings:"
"UI设置：","Node Editor "
"节点编辑器","Node Edtior "
"节点编辑器","Shaders Plus"
"着色器加","Principled Plus Base Shader"
"基于物理原理的增强版基础着色器","Principled - Caustics (Simple)"
"基于物理原理 - 水波纹（简单）","Principled - Caustics (Complex)"
"基于物理原理 - 水波纹（复杂）","Principled - Caustics (Simple Hotspot)"
"基于物理原理 - 水波纹（简单热点）","Principled - Dispersion (Default)"
"基于物理原理 - 色散（默认）","Principled - Dispersion (Strong)"
"基于物理原理 - 色散（强）","Principled - Dispersion Falloff"
"基于物理原理 - 色散衰减","Principled - Thin Film (Default)"
"基于物理原理 - 薄膜（默认）","Principled - Thin Film (Anodized Chrome)"
"基于物理原理 - 薄膜（阳极铬）","Principled - Thin Film (Pearlescent Car Paint)"
"基于物理原理 - 薄膜（珍珠汽车漆）","Principled - Thin Film (Oil Slick)"
"基于物理原理 - 薄膜（油污）","LoadGroupOp"
"加载组操作","Group Name"
"组名称","Boolean"
"布尔运算","Boolean 2"
