该模块提供了一个用于管理搅拌机类的类,This module provides a class for managing blender classes,
添加要管理的 blender 类,Add a blender class to be managed,
此文件处理插件偏好设置。,This file handles addon preferences.,
MPFB 偏好,Preferences for MPFB,
"""\""
"""",""具有多个面板的 UI 布局""","""\""""
"""",""UI layout with multiple panels""",
使用具有多个面板的布局，例如一个面板用于目标，一个面板用于材料等等，而不是将所有内容都放在一个面板中。,"Use a layout with multiple panels, such as one for targets, one for materials and so on, rather than everything in a single panel.",
MPFB 用户数据路径,Path to MPFB user data,
如果您想将 MPFB 用户数据存储在默认位置以外的其他位置，您可以在此处输入现有目录的路径,"If you want to store MPFB user data somewhere other than in the default location, you can enter the path to an existing directory here",
MakeHuman 用户数据路径,Path to MakeHuman user data,
如果您想使用从 MakeHuman 创建或下载的资产和模型，您可以在此处指定数据目录的路径。它通常是 ~/Documents/makehuman/v1py3/data 或类似的内容,"If you want to use assets and models created from or downloaded with MakeHuman, you can specify the path to the data directory here. It is usually ~/Documents/makehuman/v1py3/data or something looking like that",
自动发现 MakeHuman 用户数据的路径,Autodiscover path to MakeHuman user data,
如果未指定 MakeHuman 用户数据目录的路径，则尝试自动找出该路径。如果明确设置了路径，则此设置将不起作用,"If the path to the MakeHuman user data directory is not specified, then try to figure it out automatically. If the path is explicitly set, this setting will have no effect",
全局记录所有未捕获的异常,Globally log all uncaught exceptions,
为了记录未处理的异常，MPFB 可以覆盖全局异常处理程序。这可能会在重新加载和/或与其他模块一起使用时导致问题。但是，如果您遇到崩溃并需要正确的日志，您可以暂时启用此功能,"In order to log unhandled exceptions, MPFB can override the global exception handler. This might cause problems when reloading and/or together with other modules. However, if you run into a crash and need a proper log, you can enable this temporarily",
货架标签,Shelf label,
如果您想为 MPFB 架子选项卡使用不同的名称，您可以在此处输入任何非空字符串,"If you want to use a different name for the MPFB shelf tab, you can enter any non-empty string here",
‘,',
您需要重新启动搅拌机才能使以下更改生效。,You need to restart blender before changes below come into effect.,
请记住在重新启动之前保存首选项。,Remember to save preferences before restarting.,
解构所有已加载的 blenderish 类,Deconstruct all loaded blenderish classes,
该模块包含通过 JSON 序列化/反序列化装备的功能。,This module contains functionality for serializing/deserializing rigs via JSON.,
代表骨架的实体类。,Entity class representing an armature.,
您可能希望使用其中一种静态方法，而不是直接调用 init。,You might want to use one of the static methods rather than calling init directly.,
创建 Rig 的一个实例，并使用来自 json 文件和基础网格的信息填充它。,Create an instance of Rig and populate it with information from the json file and from the base mesh.,
创建 Rig 的一个实例，并使用来自骨架和相关网格的信息填充它。,Create an instance of Rig and populate it with information from the armature and related meshes.,
使用对象中的信息构建骨架并调整它以适合基础网格。,Use the information in the object to construct an armature and adjust it to fit the base mesh.,
在骨架对象中创建实际的骨骼。,Create the actual bones in the armature object.,
重新定位骨骼以适应基础网格的当前状态。,Reposition bones to fit the current state of the basemesh.,
为编辑骨骼分配适合的元数据。,Assign metadata fitting for the edit bones.,
为姿势骨骼分配适合的骨骼元数据。,Assign bone meta data fitting for the pose bones.,
从连接两个关节的每条链中选择最好的骨骼。,Select the best bone from each chain connecting two joints.,
从连接两个关节的链中选择最佳骨骼。,Select the best bone from a chain connecting two joints.,
计算从一个点到一个骨骼的距离。,Calculates the distance from a point to a Bone.,
找到连接两个关节立方体的骨骼链，并自动进行关节不分裂。,"Find chains of bones connecting two joint cubes, with automatic joint unsplitting.",
找到连接两个关节立方体的骨骼链。,Find chains of bones connecting two joint cubes.,
将策略数据保存在姿势骨骼中以供开发。,Save strategy data in the pose bones for development.,
从骨骼中检索头部或尾部策略设置。,Retrieve head or tail strategy settings from a bone.,
列出仍标记为使用默认定位策略的骨骼。,List bones which are still marked as using the DEFAULT positioning strategy.,
移动基础网格，使其脚着地并应用此变换。,Move basemesh so it has feet on ground and apply this transform.,
" "," ",
temporary_fit_rig_key。,temporary_fit_rig_key.,
从骨骼数据中提取骨骼信息。,Extract bone information from the bone data.,
从编辑骨骼中提取骨骼信息。,Extract bone information from the edit bones.,
在定义中对一些浮点值进行舍入，以减少重新保存时的噪音,Round some float values in definitions to reduce noise on re-save,
从姿势骨骼中提取信息。,Extract information from the pose bones.,
检索与给定网格顶点相关的变形权重。,Retrieve deform weights associated with the given mesh vertex.,
尝试找出与关节立方体匹配的骨骼位置。,Try to find out bone positions matching joint cubes.,
检查保存的策略是否更好并应用它们。,Check if the saved strategies are better and apply them.,
该模块包含插件各个地方使用的实体。,This module contains entities used in various places of the plugin.,
该模块提供 MHCLO 文件的信息持有者。,This module provides and information holder for MHCLO files.,
MHCLO 文件的值的表示。,A representation of the values of a MHCLO file.,
创建一个具有默认值的空的 MHCLO 对象。,Create an empty MHCLO object with default values.,
进口布料,imported_cloth,
没有描述,no description,
制作皮肤材质,MakeSkinMaterial,
群组输入,Group Input,
组输出,Group Output,
材料输出,Material Output,
如果我们计划应用一个已定义的骨架,If there is a defined skeleton that we plan to apply,
返回代表地面的联合立方体中心的 z 坐标,Return the z coordinate for the center of the joint cube representing the ground,
为辅助几何中的顶点设置顶点组。,Setup vertex groups for vertices in the helper geometry.,
从 MH 获取有关钻机的信息,Fetch information about the rig from MH,
为基础网格创建实际的混合器对象，并为其应用顶点组和修改器,"Create the actual blender object for the basemesh, and apply vertex groups and modifiers for it",
身体,body,
导入器预设的获取器，它是一个应该在构造函数中给出的字典,"Getter for the importer presets, which is a dict that should have been given in the constructor",
对象类型的获取器。类型包括 Basemesh、Proxymeshes、Clothes、Eyes 等等。,"Getter for object type. Type is Basemesh, Proxymeshes, Clothes, Eyes and so on and so forth.",
从 object_info 获取名称的便捷调用,Convenience call from getting name from object_info,
从 object_info 获取文件名的便捷调用,Convenience call from getting filename from object_info,
获取顶点索引数组并使用这些数组来创建额外的顶点组。,Take arrays of vertex indices and use these to create extra vertex groups.,
对指定网格中的特定（混合器）顶点组执行实际加权。,Perform the actual weighting for a particular (blender) vertex group in the specified mesh.,
找到 Z 值最低的顶点坐标,Find the vertex coordinate with the lowest Z value,
使用所有收集到的 numpy 数据并进行变换来构建一个 blender mesh 对象,Use all the collected numpy data and transform to construct a blender mesh object,
该模块包含用于暂存从 makehuman 导入的助手。,This module contains helpers for staging the import from makehuman.,
处理动画的服务。,Service for working with animations.,
不要实例化，类中只有静态方法,"Do not instance, there are only static methods in the class",
通过向每个 fcurve 添加修改器使动画循环。可选择向一个骨骼添加偏移参数。,Make an animation cyclic by adding a modifier to each fcurve. Optionally add offset parameter to one bone.,
扫描为姿势骨骼设置的所有关键帧并返回包含所有信息的字典。,Scan through all key frames set for pose bones and return a dict with all info.,
为姿势骨骼分配关键帧。,Assign key frames for pose bones.,
该模块包含扫描资产存储库的实用功能。,This module contains utility functions scanning asset repositories.,
该模块包含服装的实用功能。,This module contains utility functions for clothes.,
衣服的实用功能。,Utility functions for clothes.,
您不应该实例化 ClothesService。而是使用它的静态方法。,You should not instance ClothesService. Use its static methods instead.,
移动衣服顶点，使其适合基础网格的当前形状。,Move clothes vertices so they fit the current shape of the base mesh.,
临时装配钥匙。,temporary_fitting_key.,
“在基础网格上创建或更新“删除”组。”,"""Create or update a \""delete\"" group on the base mesh.""",
删除,Delete,
为给定的衣服物体设置重量和自定义子装置。,Set up weights and a custom sub-rig for the given clothes object.,
尝试为给定的衣服和装备加载自定义重量。,Try to load custom weights for the given clothes and rig.,
人类对象的高级功能,High-level functionality for human objects,
用于各种人工任务的高级实用函数。,High-level utility functions for various human tasks.,
您不应实例化 HumanService。请改用其静态方法。,You should not instance HumanService. Use its static methods instead.,
删除。,Delete.,
代理网格,Proxymeshes,
仪表,METER,
分米,DECIMETER,
厘米,CENTIMETER,
代理网格,proxymeshes,
人体模型,Human.rigify,
日志记录功能,Functionality for logging,
构建新的日志通道。,Construct a new log channel.,
设置此频道的最高报告级别,Set the highest level to report for this channel,
报告崩溃。无论日志级别设置为何，都会报告此情况。,"Report a crash. This will always be reported, no matter what the log level is set to.",
如果日志级别至少为 1，则报告错误。,"Report an error, if the log level is at least 1.",
如果日志级别至少为 2，则报告警告。,"Report a warning, if the log level is at least 2.",
如果日志级别至少为 3，则报告信息。,"Report an information, if the log level is at least 3.",
如果日志级别至少为 4，则报告调试消息。,"Report a debug message, if the log level is at least 4.",
如果日志级别至少为 5，则报告跟踪消息。,"Report an trace message, if the log level is at least 5.",
如果日志级别至少为跟踪，则将大型数据结构转储到日志中。,"Dump a large data structure to the log, if the log level is at least trace.",
如果日志级别至少为跟踪，则报告已输入方法。,"Report that a method was entered, if the log level is at least trace.",
返回自上次重置此通道以来已经经过的毫秒数。,Return the number of millisections which has passed since time was last reset for this channel.,
如果日志级别至少为调试，则报告时间戳消息。,"Report a timestamp message, if log level is at least debug.",
重置此日志通道的计时器,Reset the timer for this log channel,
用于记录消息的服务。,Service for logging messages.,
不要尝试构造 LogService 类。它仅包含静态方法。,Don't try to construct the LogService class. It only contains static methods.,
获取（或创建）具有指定名称的日志通道。,Get (or create) a log channel with the specified name.,
如果没有为某个通道设置特定的覆盖，则设置该通道使用的默认级别。,"Set the default level to use for channels, if no specific override has been set for that channel.",
返回默认日志级别。,Return the default log level.,
以适合 UI 列表的格式返回记录器列表。,Return a list of loggers in a format which is appropriate for lists in the UI.,
以适合 UI 中的列表的格式返回记录器类别列表。,Return a list of logger categories in a format which is appropriate for lists in the UI.,
返回具有当前定义的记录器的实时字典。,Return a live dict with the currently defined loggers.,
指定使用不同的级别，而不是指定记录器的默认级别。,Specify a different level to use rather than the default for the specified logger.,
将所有级别（包括默认级别）重置为出厂设置。,Reset all levels (including the default) to the factory settings.,
用于处理材料的各种功能,Various functions for working with materials,
用于处理材料的实用程序类,Utility class for working with materials,
您不应实例化 MaterialService。请改用其静态方法。,You should not instance MaterialService. Use its static methods instead.,
检查对象是否已分配任何材质,Check if object has any materials at all assigned,
返回对象给定材质槽中的材质,Return the material in the object's given material slot,
试着弄清楚我们有哪种材料,Try to figure out which kind of material we have,
非彩色,Non-Color,
尝试修改材质，使其使用法线贴图,Try to modify the material so that it uses the normal map,
纹理坐标,TexCoord,
漫反射纹理,DiffuseTexture,
返回皮肤材质的静态颜色，例如在视口中使用。,"Return a static color for the skin material, for example to be used in the viewport.",
返回身体部位材质的静态颜色，例如在视口中使用。,"Return a static color for a bodypart material, for example to be used in the viewport.",
返回衣服材质的静态颜色，例如在视口中使用。,"Return a static color for a clothes material, for example to be used in the viewport.",
返回眼睛材质的静态颜色，例如在视口中使用。,"Return a static color for the eye material, for example to be used in the viewport.",
返回牙齿材质的静态颜色，例如在视口中使用。,"Return a static color for the teeth material, for example to be used in the viewport.",
返回所有材质的所有静态颜色。,Return all static colors for all materials.,
MeshService 包含用于工作网格、顶点组、权重等的各种功能。,"MeshService contains various functions for working meshes, vertex groups, weights and similar.",
查找顶点组中的所有顶点，返回包含组中顶点索引和权重的列表。,"Find all vertices in a vertex group, return a list with vertex index and weight in group.",
创建一个新的顶点组并向其中添加顶点和权重。,Create a new vertex group and add verts and weights to it.,
该模块包含用于处理修饰符的实用函数。,This module contains utility functions for working with modifiers.,
将修改器移至堆栈顶部,Move a modifier to the top of the stack,
为 blender_object 创建给定类型的新修改器。可选择将其放置在堆栈顶部。,"Create a new modifier for blender_object, of the given type. Optionally place it in the top of the stack.",
为给定的顶点组创建一个 blender_object 的遮罩修改器。可选择将其放置在堆栈顶部。,"Create a mask modifier for blender_object, for the given vertex group. Optionally place it in the top of the stack.",
为 blender_object 创建一个 subdiv 修改器。可选择将其放置在堆栈顶部。,Create a subdiv modifier for blender_object. Optionally place it in the top of the stack.,
返回包含给定对象的所有具有给定类型的修饰符的列表。,Return a list with all modifiers with a given type for the given object.,
返回给定类型的修饰符，也可以通过名称进行限制,"Return a modifier of the given type, optionally also limited by name",
该服务提供用于处理着色器节点的实用函数。,This service provides utility functions for working with shader nodes.,
遍历所有 v2 节点组并检查它们，如果它们尚未初始化，则创建它们。,"Iterate over all v2 node groups and check them, creating them if they haven't been initialized.",
返回一个包含节点所有输入套接字的默认值的字典。,Return a dict with the default values of all input sockets for a node.,
“将节点的输入套接字默认值设置为“values”字典中提供的值。”,"""Set the node's input socket default values to the values provided in the \""values\"" dict.""",
删除节点树中的所有节点。树实例将被保留。,Delete all nodes in a node tree. The tree instance as such will be preserved.,
sRGB,sRGB,
查找具有给定组名的节点树并返回它。如果不存在，则创建它。,"Find a node tree with the given group name and return it. If it doesn't exist, then create it.",
在节点树中查找具有给定名称的节点。,Find a node with the given name in the node tree.,
返回包含节点树中给定类型的所有节点的数组。,Return an array with all nodes of the given type in the node tree.,
返回具有给定标识符或名称的输入套接字。如果未找到套接字，则返回 None。,"Return the input socket with the given identifier or name. If the socket is not found, return None.",
返回具有给定标识符或名称的输出套接字。如果未找到套接字，则返回 None。,"Return the output socket with the given identifier or name. If the socket is not found, return None.",
返回具有给定标识符或名称的套接字。如果未找到套接字，则返回 None。,"Return the a socket with the given identifier or name. If the socket is not found, return None.",
在节点树中查找具有给定类型的第一个节点。,Find the first node with the given type in the node tree.,
