on	bl_description= "Regenerate the active decal from stored source data"	bl_description= "重新生成活动贴花"	CEW
on	bl_description=("Refresh this layer's Base Color,Metallic,Roughness,and matched  \\n source UVs from its stored source material and mesh"	bl_description=("刷新此层的基础颜色、金属度、粗糙度和匹配\\n 从其存储的源材质和网格源UV"	CEW
on	bl_description=("Create an edge decal and adjust Face Width and Surface Offset  \\n interactively from Blender's Adjust Last Operation panel"	bl_description=("创建边贴花并调整面宽度和表面偏移\\n 从Blender的调整最后操作面板交互"	CEW
on	bl_description= "Generate adjustable decal strips through selected quad faces"	bl_description= "通过选定的四边面生成可调整的贴花条"	CEW
on	bl_description=("In Edit Mode,generate from selected faces or manually selected edges.  \\n In Object Mode,generate automatically by face angle"	bl_description=("在编辑模式中，从选定的面或手动选定的边生成。  \\n 在对象模式下，按面角度自动生成"	CEW
on	bl_description= "Automatically generate decal strips from sharp manifold edges"	bl_description= "从锐边流行边自动生成贴花条"	CEW
on	bl_description=("Hover source mesh edges and click to generate decals without manually selecting them"	bl_description=("悬停源网格边并单击以生成贴花，而无需手动选择它们"	CEW
on	bl_description=("Generate a wrapped edge decal where exactly two selected mesh objects intersect"	bl_description=("在正好两个选定的网格对象相交的位置生成包裹边贴花"	CEW
on	bl_description=("Generate one combined decal from all enabled Object Boolean  \\n modifiers already present on the selected source mesh"	bl_description=("从所有全部启用对象布尔生成一合成贴花\\n 选定的源网格上已存在修改器"	CEW
on	bl_description=("Enter an interactive mode with one red target per disconnected decal  \\n section; click a target to delete that section"	bl_description=("进入交互式模式，每个断开的贴花有一红色目标\\n 截面；单击目标以删除该节"	CEW
on	bl_description=("Lock all current decals generated from the selected source mesh so future generation keeps them untouched"	bl_description=("锁定从选定的源网格生成的全部当前贴花，以便下一代保持它们不变"	CEW
on	bl_description= "Create a new empty active decal layer for this source mesh"	bl_description= "为此源网格创建新建空物体活动贴花层"	CEW
on	bl_description= "Delete the selected decal layer"	bl_description= "删除选定的贴花层"	CEW
on	bl_description= "Change the stack order of decal layers"	bl_description= "更改贴花层的堆栈排序"	CEW
on	bl_description=("Regenerate only the selected layer,then remove the footprint of its  \\n chosen upper mask layer"	bl_description=("重新生成仅选定的层，然后移除其足迹\\n 选定的上遮罩层"	CEW
on	bl_description= "Remove the mask assignment and regenerate the full selected layer"	bl_description= "移除遮罩分配，重新生成整个选定的层"	CEW
on	bl_description=("Save the current settings and bundle the assigned material and its  \\n textures for use in any blend file"	bl_description=("保存当前设置并捆绑指定的材质及其\\n 用于任何混合文件的纹理"	CEW
on	bl_description= "Apply the selected preset to the current settings"	bl_description= "应用选定的预设应用于当前设置"	CEW
on	bl_description= "Permanently delete the selected reusable preset"	bl_description= "永久删除所选的可重复使用的预设"	CEW
on	bl_description=("Create a solid-black mask for this layer; paint white where decals  \\n are allowed to generate"	bl_description=("为这个层创建一个实心黑色遮罩；绘制白色贴花\\n 允许生成"	CEW
on	bl_description= "Detach the texture mask and restore unmasked generation"	bl_description= "分离纹理遮罩并恢复无遮罩生成"	CEW
on	bl_description= "Erase the whole mask so this layer generates nowhere"	bl_description= "擦除整个遮罩，这样层就不会生成任何内容"	CEW
on	bl_description=("Use this mask as Blender's Texture Paint canvas on the source mesh"	bl_description=("使用该遮罩作为源网格上Blender的纹理绘制画布"	CEW
on	bl_description= "Export the active source and its populated decals,then set them up in the open Unreal project"	bl_description= "导出活动源及其填充的贴花，然后在开放的Unreal投射中对其进行上"	CEW
on	bl_description= "Combine the evaluated source and decal layers into one FBX mesh"	bl_description= "将评估的源层和贴花层组合到一FBX网格中"	CEW
on	bl_description= "Export FBX files,textures,and a manifest without contacting Unreal Editor"	bl_description= "导出FBX文件、纹理和清单无联系Unreal编辑器"	CEW
on	bl_description=("Enable or disable UV Pin Edit Mode so decal pin shortcuts  \\n do not interfere with normal Blender UV editing"	bl_description=("启用或禁用UV固定编辑模式，以便贴花固定快捷方式\\n 不干扰法线Blender UV编辑"	CEW
on	bl_description= "Add a slice position to the selected UV pin"	bl_description= "将切片位置添加到选定的UV固定"	CEW
on	bl_description= "Add a UV placement pin at the mouse position"	bl_description= "在鼠标位置添加UV放置固定"	CEW
on	bl_description= "Remove the decal pin under the mouse cursor"	bl_description= "移除鼠标游标下的贴花固定"	CEW
on	bl_description=("Left-click and drag the pin center to move it,or a top/bottom  \\n handle to change its vertical UV width. Hold Ctrl to snap to the UV grid"	bl_description=("左键单击并拖动固定中心以移动它，或顶部/底部\\n 手柄来更改其垂直UV宽度。保持Ctrl捕捉到UV栅格"	CEW
on	bl_description=("Shift + Left Click creates a pin; drag existing pins to move them.  \\n Hold Ctrl while dragging to snap to the UV grid. "	bl_description=("Shift+左键单击创建固定；拖动现有固定以移动它们。  \\n 保持Ctrl键，同时拖动以捕捉到UV栅格. "	CEW
on	bl_description= "Add a UV placement pin at the center of the UV tile"	bl_description= "在UV平铺的中心添加UV放置固定"	CEW
on	bl_description=("Replace the current pins with evenly spaced rows covering the UV tile"	bl_description=("替换当前固定"	CEW
on	bl_description=("Uniformly scale UV islands to match pin width without stretching,then  \\n center their tracked decal centerline on the pins"	bl_description=("均匀缩放UV孤岛，以匹配固定宽度无拉伸，然后\\n 将他们的跟踪贴花中心线中心在固定上"	CEW
on	bl_description=("Run the decal UV pipeline on the current layer without regenerating  \\n or replacing its manually edited topology"	bl_description=("运行UV贴花管道，无再生\\n 或替换其手动编辑的拓扑"	CEW
on	description=("Folder containing user presets,material libraries,and copied  \\n textures; leave empty to use Blender's configuration directory"	description=("包含用户预设、材质资产库和拷贝的文件夹\\n 纹理；保留空物体以使用Blender的配置目录"	CEW
on	description="Regenerate after a short pause while changing settings"	description="更改设置时短暂暂停后重新生成"	CEW
on	description=("Decal layer above this one whose visible footprint is removed  \\n from this layer during regeneration"	description=("此一上方的贴花层，其可视足迹已删除\\n 再生期间从该层开始"	CEW
on	description=("Source mesh material used for Base Color,Metallic,and Roughness"	description=("用于基础颜色、金属度和粗糙度的源网格材质"	CEW
on	description="Edge decal material template used by this layer"	description="此层使用的边缘贴花材质模板"	CEW
on	description="Material assigned to this generated decal object"	description="指定给此生成贴花对象的材质"	CEW
on	description=("Match Base Color,Metallic,and Roughness to the source mesh;  \\n when disabled,use the decal material's authored values"	description=("匹配基础颜色、金属度和粗糙度到源网格；  \\n 当禁用时，使用贴花材质的编写值"	CEW
on	description=("Comma-separated UV pin indices used by this decal layer.  \\n Leave empty to cycle through all pins automatically"	description=("此贴花层使用逗号分隔的UV固定指数。  \\n 保留空物体以自动循环通过全部固定"	CEW
on	description=("Limit this layer to white areas of its painted source-UV mask;  \\n black areas do not generate decals"	description=("限制该层到其绘制源UV遮罩的白色区域；  \\n 黑区域不会生成贴花"	CEW
on	description="Black-and-white source-UV image controlling layer generation"	description="黑白源紫外图像控制层生成"	CEW
on	description="Minimum painted brightness that permits decal generation"	description="允许生成贴花的最小涂漆亮度"	CEW
on	description="Width as a fraction of the source object's largest world-space dimension when Relative Width is enabled"	description="“宽度”(Width)是源对象最大世界空间维度当相对宽度时)的一小部分"	CEW
on	description="Interpret Face Width as a fraction of the source object's largest world-space dimension"	description="将面宽度解释为源对象最大世界空间维度的一小部分"	CEW
on	description="How often retained open chains use their UV pin slice points"	description="保留的开链使用其UV固定切片点的频率"	CEW
on	description="Maximum continuous decal length; zero disables the limit"	description="最大连续贴花长度；零禁用限制"	CEW
on	description="Narrow only endpoints created by Decal Amount slicing"	description="通过贴花数量切片创建的窄仅端点"	CEW
on	description="World-space distance used to widen a sliced endpoint back to full width"	description="世界空间距离用于将切片端点加宽回完整宽度"	CEW
on	description=("Shorten only decal endpoints that stop beside a turning manifold edge"	description=("缩短停止在旋转流行边旁边的仅贴花端点"	CEW
on	description="Endpoint trim distance relative to the source object's last Bevel width"	description="端点相对于源对象的最后个斜边宽度修剪距离"	CEW
