"存储所有资产","Store all assets"
"资产","Assets"
"材料","Materials"
"米","M"
"刷新的主题","REFRESH theme"
"刷新","REFRESH"
"这可能要花很长时间!","This may take a long time!"
"读","Read"
"过滤城市资产","filter City assets"
"过滤道路","filter road"
"过滤器的主题","filter theme"
"INVOKE_DEFAULT","INVOKE_DEFAULT"
"zz","zz"
"EXEC_DEFAULT","EXEC_DEFAULT"
"541","541"
"附加小组午餐","Append panel lunch"
"SNA_PT_APPEND_PANEL_3D56C","SNA_PT_APPEND_PANEL_3D56C"
"附加面板","Append panel"
"插件的偏好","Addon preferences"
"没有加载主题","No themes loaded"
"．","."
"快到了!","Coming soon!"
"类型","Type"
"附加","Append"
"打开插件首选项","Open addon prefrences"
"隐藏公园R","Hide park R"
"草R","Grass R"
"草V","Grass V"
"R树","Trees R"
"树木V","Trees V"
"隐藏公园","Hide park"
"ICity","ICity"
"Youtube","Youtube"
"不和comunity","Discord comunity"
"报告错误","Report a bug"
"文档","Documentation"
"材料筛选","Material filter"
"路面材料过滤器","Road materials filter"
"开始","Start"
"这可能需要一些时间来设置场景!","This might take some time to set up the scene!"
"城市应用","City apply"
"路应用","Road apply"
"同步的城市","sync city"
"最小楼层数","Floor count min"
"最大楼层数","Floor count max"
"抵消x","Offset x"
"抵消y","Offset y"
"旋转z","Rotation z"
"偏移x预设","Offset x preset"
"偏移预置","Offset y preset"
"旋转z预设","Rotation z preset"
"设定侧数","Set side count"
"分配道路","Assign road"
"选择要指定为道路的边缘并单击","Select edge that you want to assign to be road and click"
"删除道路","Remove road"
"选择不希望成为道路的边缘，然后单击","Select edge that you want to not be a road and click"
"车道宽度","Road lanes width"
"人行道宽度","Sidewalk width"
"人行横道抵消","crosswalk offset"
"附加资产","Append Assets"
"附加的风景","Append landscape"
"十字路口抵消","Intersection Offset"
"编辑城市","Edit city"
"从场景城市中删除","Delete from scene city"
"从场景删除。","Delete from scene."
"光的城市","Light city"
"从场景中删除","Delete from scene"
"从场景中删除道路资源。","Delete from scene road assets."
"路删除","Road Remove"
"资产的路径","Assets path"
"读文件","Read files"
"测试资产","test assets"
"刷新编辑","Refresh edit"
"过滤器预设","Filter Presets"
"程序构建过滤器","Procedural building filter"
"公园的过滤器","Park filter"
"景观过滤器","Landscape filter"
"过滤街道资产","Filter street assets"
"ICity编辑器","ICity editor"
"代理模式","Proxy mode"
"显示所有视窗","Show viewport all"
"显示全部渲染","Show render all"
"边数","Side count"
"分配","Assign"
"删除","remove"
"间距","Spacing"
"路径偏移量","Path offset"
"深度偏移量","Depth offset"
"显示窗口","Show viewport"
"显示渲染","Show render"
"叶片路径散射","Leaves path scattering"
"集合","Collection"
"叶子散射","Leaves scattering"
"密度","Density"
"人孔路径散射","Manholes path scattering"
"排水路径散射","Water drain path scattering"
"小瑕疵散射","Small imperfections scattering"
"垃圾残缺散射","Trash imperfection scattering"
"水坑散射","Water Puddles scattering"
"裂缝散射","Cracks scattering"
"抵消","Offset"
"浅色","Light color"
"光功率","Light power"
"分配道路","Assign Road"
"删除道路","Remove Road"
"路段属性","Road segment attributes"
"边缘存储","Stored on edge"
"道路交叉口属性","Road intersection attributes"
"存储在顶点上","Stored on vertex"
"十字路口抵消","Intersection offset"
"人行横道抵消","Crosswalk offset"
"建筑高","Buildings hight"
"层数","Storey count"
"照明","Lighting"
"建筑光","Building light"
"概率","Probability"
"道具","Props"
"地面道具","Ground Props"
"树","Trees"
"城市街道","city-street"
"城市街道附加","city-street append"
"城市空间类型追加","City space type append"
"附加街道资产类型","street asset type append"
"街asset-options","street asset-options"
"街道资产类型","street asset type"
"横向浏览器追加","Landscape browser append"
"街头资产浏览器","Street asset browser"
"程序构建浏览器","Procedural building browser"
"城市空间类型","City space type"
"城市建筑预设类型","City building presets type"
"城市建设预设类型追加","City building presets type append"
"道路材料类型追加","Road materials type append"
"构建预设浏览器","Building presets browser"
"风格","Style"
"公园的浏览器","Park browser"
"人行道上垫","Sidewalk mat"
"人行道人行道垫","Sidewalk Curb mat"
"景观浏览器","Landscape browser"
"主题","THEME"
"添加浏览器","Append browser"
"测试","Test"
"城市浏览器追加","City browser append"
"道路浏览器追加","Road browser append"
"Assets文件夹路径","Assets folder path"
"资产类别路径对象","Asset category path object"
"资产类别路径收集","Asset category path collection"
"资产类别路径材料","Asset category path material"
"道路材料浏览器","Road materials browser"
"道路材料浏览器追加","Road materials browser append"
"道路材料类型","Road materials type "
"光模式","Light mode"
"窗口","Window"
