"风格重置","style reset"
"重置风格","RESET STYLE"
"风格更新","STYLE UPDATE "
"在面板中加载自定义对象后使用此操作","You might use this after you add your custom objects to load them in the panel"
"街道","Street"
"刷新资源","Refresh Assets"
"默认执行","EXEC_DEFAULT"
"添加街道","ADD STREET"
"大纲视图","Outliner"
"在视口中隐藏资源","Hide assets in viewport"
"相机剔除","Camera culling"
"偏移","Offset"
"更新相机属性","Update Camera properties"
"活跃状态:","Active: "
"切换到编辑模式编辑配置文件","Go to edit mode to edit the profiles"
"更改交叉口偏移","Change intersection offset"
"交叉口交通信号灯切换","Intersection traffic lights toggle "
"选择交叉口顶点，然后点击按钮","Select the intersection vertex then click the button"
"切换到左手驾驶","Switch to left hand driving"
"小岛开关","Island on/off"
"汽车模拟切换","Cars Simulation Toggle"
"湿润属性","Wet Properties"
"湿润","Wet"
"水高度","Water Height"
"缩放","scale"
"雪属性","Snow Properties"
"雪","Snow"
"雪扩展","Snow spread"
"贴花","Decals"
"贴花因子","Decals factor"
"下一个领域","Next Realm"
"YouTube","Youtube"
"Discord","Discord"
"Instagram","Instagram"
"Facebook","Facebook"
"Blender市场页面","Blender market page"
"更新相机数据","UPDATE CAM DATA"
"下一个街道集合","Next_Street_Collection"
"烘焙模拟","Bake simulation"
"此按钮烘焙模拟","This botton bakes the simulation"
"设置偏移","Offset set"
"移除交通信号灯","Remove trffic lights"
"材质","Materials"
"草地","Grass"
"长椅","Bench"
"灯光","Light"
"灯光切换","lights toggle"
"灯光颜色","lights color"
"灯光功率","lights power"
"灯光间距","Lights spacing"
"灯光偏移","Lights offset"
"标志","Signs"
"服务","Services"
"垃圾","Garbage"
"广告","Advertisement"
"树木","Trees"
"小岛树木","Island trees"
"树木间距","Trees spacing"
"小岛草地","Island grass"
"草地密度","Grass Density"
"交通信号灯","Traffic lights"
"防撞柱","Bollard"
"小岛材质","Island materials"
"街道线条","Street Lines"
"轮廓","Outline "
"中线","Middle line"
"分隔线","Dividers"
"模拟参数","Simulation parameters"
"视口代理","Viewport proxy"
"汽车密度","Cars density"
"汽车灯光颜色","Cars light color"
"汽车灯光强度","Cars Light strength"
"种子","Seed"
"模拟烘焙","Simulation bake"
"隔离模拟","Isolate Simulation"
"在烘焙之前使用此按钮以加快模拟速度","Use this button before baking to speed up the simulation"
"罐头","Can"
"新属性","New Property"
"zz","zz"
"新属性 001","New Property 001"
"新属性 003","New Property 003"
"编辑大纲","EDIT OULINER"
"人行道材质","SIDE WALK MATERIAL"
"人行道砖线","SIDE WALK BRICK LINE"
"人行道树木","SIDW WALK TREES"
"人行道树木材质","SIDE WALK TREES MAT"
"人行道树木草地","SIDE WALK TREES GRASS"
"人行道草地","SIDE WALK GRASS "
"人行道长椅","SIDE WALK BENCH"
"人行道灯光","SIDE WALK lights"
"人行道标志","SIDE WALK SIGNS"
"人行道服务","SIDE WALK SERVICES"
"人行道垃圾","SIDE WALK GARBAGE"
"人行道广告","SIDE WALK ADVERTISEMENT"
"人行道防撞柱","SIDE WALK BOLLARD"
"街道小岛砖线","STREET ISLAND BRICKLINE"
"街道小岛草地","STREET ISLAND GRASS"
"街道小岛树木","STREET ISLAND TREES"
"风格","STYLE"
"人行道类型","Side walk type"
"街道类型","Street type"
"交通信号灯","Traffic light"
"汽车集合","Cars collection"
"人行道切换","Side walk toggle"
"活跃街道配置文件","Active street profile"
"活跃人行道配置文件","Active sidewalk profile"
"街道灯光功率","Street light power"
"汽车灯光功率","cars light power"
"人行道配置文件","Sidewalk profile"
"街道配置文件","Street Profile"
"材质贴图","Texturing"
