"注册自定义属性到Blender场景和插件首选项。","Register custom properties to the Blender Scene and Addon Preferences."
"取消注册自定义属性从Blender场景和插件首选项。","Unregister custom properties from the Blender Scene and Addon Preferences."
"实验性功能","Experimental Feature"
"启用实验性功能","Enable experimental features"
"颜色","Color"
"选择带有Alpha通道的颜色","Pick a color with alpha"
"使用功能","Use Feature"
"按下“开始多边形化”按钮时将应用重拓扑材质","Retopology material will be applied when Start Polymating button is pressed"
"重拓扑材质设置","Retopology material settings"
"材质颜色：","Material color :"
"启动时应用","Apply on start"
"将多边形化颜色重置为默认值","Reset Polymating Color to Default"
"重置多边形化颜色","Reset Polymating Color"
"注册自定义操作、面板和属性。","Register custom operators, panels, and properties."
"取消注册自定义操作、面板和属性。","Unregister custom operators, panels, and properties."
"x","x"
"关闭此版本","Dismiss this version"
"关闭此消息","Dismiss this message"
"Blender市场","Blender Market"
"GumRoad","GumRoad"
"信息","Info"
"清除初始目标并重置多边形化状态。","Clear the initial target and reset polymating state."
"_polymat","_polymat"
"获取或创建材质并将其分配给对象。","Get or create a material and assign it to the object."
"切换多边形化","Toggle Polymate"
"执行多边形化切换操作。","Execute the polymate toggle operation."
"在对象属性窗口中创建一个面板","Creates a Panel in the Object properties window"
"多边形化","Polymating"
"选择参考网格","Pick reference mesh"
"开始多边形化","Start Polymating"
"添加参考对象以开始","add reference object to start"
