"放置在 3D 光标上","Place on 3D Cursor"
"将选定的对象放置在 3D 光标上，不进行任何变换","Place the selected object on the 3d cursor with no transformations"
"替换选定实例","Replace Selected Instances"
"替换选定实例","Replace selected instance"
"替换实例组","Replace Instances Group"
"此类别下无商品","No Items in this category"
"搜索结果：","Search Results:"
"未找到任何项目","No items found"
"暂无商品。请先添加商品！","No items. Add something first!"
"基本颜色","Base Color"
"调用默认值","INVOKE_DEFAULT"
"塑造","Sculpt"
"FLOW MT BrushPieMenu","FLOW_MT_BrushPieMenu"
"图像绘制","Image Paint"
"将画笔添加到库","Add Brush to Library"
"将当前画笔添加到您选择的流库中","Add current brush to your selected Flow Library"
"类别","Category"
"子類別","Subcategory"
"分类名称","Category name"
"复制画笔纹理并建立相对","Copy Brush Texture & Make Relative"
"将 Flow Library 外部的纹理复制到 Flow 文件夹中，并使所有纹理路径与资产相关。阅读更多内容，请阅读文档","Copies textures from outside the Flow Library into Flow folders, and makes all texture paths relative to the asset. Read more in docs"
"新名称（留空则保留当前名称）","New name (Leave blank to keep the current name)"
"创建空画笔","Create Empty Brush"
"从头创建空画笔","Create empty brush from scratch"
"新刷子","NewBrush"
"从库中加载画笔","Load Brush from Library"
"从流程库中加载预定义的画笔","Load pre-defined brush from your Flow Library"
"目的","Object"
"当前工具的负载","Load for Current Tool"
"工具","Tool"
"所选类别中没有画笔！","No brushes in selected category!"
"选择画笔：","Select the brush:"
"未找到画笔","No brushes found"
"载入笔刷纹理","Load Brush Texture"
"从流库中为当前画笔加载图像纹理","Load image texture from Flow Library for the current brush"
"选定对象","Selected object"
"所选库中无项目","No items in selected library"
"加载纹理","Load Texture"
"从主流程库加载纹理","Load Texture from main Flow Library"
"搜索","Search"
"图书馆","Library"
"材料","Material"
"加载为","Load as"
"您的库中没有对象","There are no objects in your library"
"先加点东西吧！","Add something first!"
"选择图像：","Select the image:"
"此目录中没有纹理图像","There are no texture images in this directory"
"搜索结果：","Search results:"
"选定的库：","Selected Library:"
"您的画笔库中没有画笔","There are no brushes in your library"
"没有连接的图书馆","There are no connected libraries"
"笔刷纹理设置","Brush Texture Settings"
"设置","Settings"
"加载蒙版","Load Mask"
"流动画笔库","Flow Brushes Library"
"雕刻模式","sculpt_mode"
"图像绘制","imagepaint"
"纹理类型","Texture Type"
"禁用纹理","Disable Texture"
"相机适合物体","Camera Fit to Objects"
"使相机框架与选定对象以较小的边距相配","Fits camera frame to the selected objects with a small margin"
"创建资产数据","Create Asset Data"
"创建资产数据","Creates Asset Data"
"FLOW 资产","FLOW_Asset"
"资产名称","Asset Name"
" 预览","_preview"
"将所有纹理设为本地","Make All Textures Local"
"资源库","Asset Library"
"姓名","Name"
"资产名称","Asset name"
"新类别","New category"
"新子类别","New subcategory"
"资产类型","Asset Type"
"读取资产数据","Read Asset Data"
"重新加载默认 HDRi","Reload Default HDRi"
"重新加载 HDRi","Reload HDRi"
"渲染资产缩略图","Render Asset Thumbnail"
"渲染资产缩略图并将其保存到选定类别","Renders asset thumbnail and saves it to the selected category"
"保存资产文件","Save Asset File"
"将资产文件保存至所选类别","Save the asset file to the selected category"
"设置/更新资产数据","Set / Update Asset Data"
"所有房产","All Properties"
"未找到任何房产","No properties found"
"流动资产数据","Flow Asset Data"
"< 无子类别 >","< no subcategory >"
"沒有設定類別！","No category set!"
"找到资产数据！","Asset data found!"
"没有资产数据集","No asset data set"
"资源浏览器类型","Asset Browser Type"
"资源格式","Asset Format"
"信息和警告","Info & Warnings"
"文件未保存","File not saved"
"数据不\","Data doesn\"
"资产已存在","Asset already exists"
"未找到缩略图","No thumbnail found"
"未发现警告","No warnings found"
"工具架","Toolshelf"
"更新","Update"
"添加新属性","Add New Property"
"为选定的对象添加新的自定义属性","Adds new custom property to the selected object"
"类型","Type"
"财产种类","Property type"
"默认值","Default value"
"分钟","Min"
"最大限度","Max"
"使用软限制","Use soft limits"
"软最小值","Soft Min"
"最大软值","Soft Max"
"默认颜色：","Default color:"
"警告！同名的属性已存在！","WARNING! Property with this name already exists!"
"此属性将被替换","This property will be replaced"
"应用属性","Apply Properties"
"将调整后的设置应用到链接的实例","Applies the adjusted settings to the linked instance"
"报告图像路径","Report images paths"
"所有图像路径均打印在控制台中","All images paths are printed in the console"
"查找丢失的文件","Find Missing Files"
"在 Flow Library 中搜索丢失的文件","Search for missing files in Flow Library"
"替换现有文件","Replace existing files"
"如果可能的话，用 Flow 库文件替换现有的外部文件","Replace existing external files with Flow library files if possible"
"使相关","Make Realtive"
"使找到的文件成为相对文件","Make found files relative"
"仅在流库/纹理中搜索","Search only in Flow Library/textures"
"仅在 Flow Library/textures 目录中搜索丢失的文件","Search for missing files only in Flow Library/textures directory"
"对象到 [0,0,0]","Object to [0,0,0]"
"将选定的对象移动到坐标系的起始位置","Move selected objects to the beginning of the coordinate system"
"保存并打开源文件","Save & Open Source File"
"保存当前项目并打开选定实例的源文件","Save the current project and open the source file of a selected instance"
"保存当前文件吗？","Save current file?"
"保存当前 .blend 文件","Save current .blend file"
"源.blend 文件将被打开！","Source .blend file will be opened!"
"当前进度将会丢失","Current progress will be lost"
"原点至地面","Origin to Floor"
"全部已选","All selected"
"全局变换","Global Transform"
" 临时摄像头","_temp_cam"
"将选定的对象作为单个资产保存到库中","Save selected objects to the library as a single asset"
"当前目录中的项目","Items in current directory"
"货号","Cat. name"
"子名称","Subc. name"
"路径重映射","Path remap"
"选择路径重映射方法","Select the method of path remaping"
"相机类型","Camera Type"
"预览渲染的首选相机类型","Prefered camera type for previews renderings"
"创建唯一 ID","Create Unique ID"
"创建唯一标识符。如果您输入了名称，则唯一 ID 将作为名称后缀添加。如果您未输入名称，则将以此 ID 替换","Creates unique identifier. If you have entered the name, the unique ID will be added as a name suffix. If you did not enter the name, it will be replaced by this ID"
"应用比例","Apply Scale"
"应用选定对象的比例","Apply selected objects scale"
"应用旋转","Apply Rotation"
"应用选定对象旋转","Apply selected objects rotation"
"副本名称","Copy name"
"复制选定的项目名称","Copies selected item name"
"纹理路径","Textures paths"
"批量添加选定对象","Batch Add Selected Objects"
"将所有选定的对象添加为单独的资产。插件将使用对象名称作为资产名称","Add all selected objects as the separate assets. Plugin will use objects name as the asset name"
"在预览中显示人体姿势","Show Human Posture in preview"
"使用父集合名称","Use Parent Collection Name"
"当前项目预览","Current items preview"
"此目录中没有项目","No items in this directory"
"资产浏览器的资产类型：","Asset type for Asset Browser:"
"资产浏览器不支持集合","Collections are not supported in Asset Browser"
"在 Blender 3.2 之前的版本中","in Blender versions older than 3.2"
"资源将使用当前实例名称","Asset will use current instance name"
"资产将使用当前对象名称","Assets will use current objects name"
"操作可能需要一段时间","Operation may take a while"
"路径重映射类型","Path remap type"
"包含所选流库外部的纹理","Contains textures from outside selected Flow Library"
"未找到所选流库之外的纹理","No textures from outside selected Flow Library found"
"路径重映射类型","Path Remap Type"
"纹理将被复制到 asset/textures 目录","Textures will be copied to the asset/textures directory"
"选项","Options"
"摄像头类型","Camera type"
"相机角度","Camera Angle"
"HDRI 类型","HDRI type"
"警告","Warnings"
"将活动插槽中的材料添加到流动库","Add material from the active slot to the Flow Library"
"留空以保留当前名称","Leave blank to keep the current name"
"预览对象","Preview Object"
"选择对象类型来创建材质缩略图","Select type of object to create your material thumbnail"
"批量添加物料","Batch add materials"
"从选定对象批量添加材质","Batch add materials from the selected objects"
"预览对象：","Preview object:"
"包含来自 Flow Library 外部的纹理","Contains textures from outside Flow Library"
"未找到 Flow Library 之外的纹理","No textures from outside Flow Library found"
"当前项目","Current items"
"新名称（如果要保留当前名称，请留空）","New name (leave blank if you want to keep current name)"
"光标位置：","Cursor location:"
"清除","Purge"
"相对路径","Relative Paths"
"绝对路径","Absolute Paths"
"原点到 3D 光标","Origin to 3d cursor"
"几何节点","Geometry Nodes"
"追加修改器组","Append Modifier Group"
"类别","Categories"
"选定预设","Selected preset"
"流动几何节点","Flow Geometry Nodes"
"所选类别中没有商品","No items in selected category"
"您的图书馆中没有物品。请先添加一些物品！","No items in your library. Add something first!"
"追加节点组","Append Node Group"
"群组","Groups"
"保存修改器组","Save Modifier Group"
"修饰符名称","Modifier name"
"使用渲染结果作为图标","Use Render Result as icon"
"保存选定的组","Save selected group"
"将选定的节点组添加到库中","Adds selected node group to Library"
"新名字","New name"
"团队名字","Group name"
"选定的库","Selected Library"
"获取更新","Get the update"
"未连接任何图书馆","There are no libraries connected"
"库设置","Library Settings"
"对象模式","objectmode"
"网格编辑","mesh_edit"
"从库中添加材料","Add Material from Library"
"从 Flow 库中附加选定的材料并将其链接到插槽或整个对象","Appends selected material from the Flow library and links it to the slot or entire object"
"此类别中没有商品","No items in this category"
"更换模式","Replacement mode"
"取消","Cancel"
"取消当前操作员","Cancel the current operator"
"创建属性节点组","Create Property Node Group"
"团队名字","Group Name"
"清除组套接字","Clear group sockets"
"使用材质名称","Use Material Name"
"FLOW 属性节点组","FLOW_PropertyNodeGroup"
"粘贴到位","Paste in place"
"将复制的缓冲区粘贴到 3d 光标中","Pastes copied buffer in the 3d cursor"
"移至光标","Move to cursor"
"将活动对象捕捉到光标","Snap active object to cursor"
"复制到光标处","Duplicate to cursor"
"将活动对象复制到光标处","Duplicate active object to cursor"
"向左旋转","Rotate Left"
"将活动物体向左旋转 90 度","Rotate active object 90 degrees left"
"右旋","Rotate Right"
"将活动物体向右旋转 90 度","Rotate active object 90 degrees right"
"重置变换","Reset Transformations"
"重置旋转和缩放","Resets rotation & scaling"
"颜色","Color"
"选色器","color picker"
"选定资产","Selected Asset"
"搜索结果","Search Results"
"实例类型","Instance Type"
"删除重复的材料","Remove Duplicated Materials"
"来源","Source"
"当地材料","Local Materials"
"搜索结果","Search results"
"材质槽","Material Slot"
"载入为重复项","Load as Duplicate"
"移位","Displacement"
"模式","Mode"
"选定模式","Selected Mode"
"缩略图大小","Thumbnails size"
"选定的 HDRi","Selected HDRi"
"节点编辑器","Node Editor"
"从库中添加 IES 纹理","Add IES Texture from Library"
"将 IES 纹理添加到当前灯光","Adds IES texture to the current light"
"将节点组添加到库","Add Node Group to Library"
"保存默认值","Save Default Values"
"新名称（留空则保留当前名称）","New name (leave blank to keep the current name)"
"从库中添加纹理","Add Texture from Library"
"为当前材质添加图像纹理","Adds image texture to the current material"
"投影","Projection"
"地图类型","Map type"
"从目录中加载所有图像","Load all images from the directory"
"自动将加载的纹理连接到选定节点","Auto connect loaded texture to the selected node"
"非彩色","Non-Color"
"电影日志","Filmic Log"
"预览图像","Preview images"
"地图类型将自动设置","Map type will be set automatically"
"无活动节点","No active node"
"将节点组从流库附加到场景","Appends node group from the Flow Library to your scene"
"节点组","Node Groups"
"您的图书馆中没有群组","No groups in your library"
"将纹理复制到库","Copy Textures to Library"
"将选定的图像纹理复制到库中","Copies selected image texture to the library"
"库名称","Library name"
"设为当前","Make current"
"使用 Flow 库路径替换选定的纹理路径","Replace selected textures paths with Flow library paths"
"在您的 Flow Library 中发现以下纹理：","Following textures are found in your Flow Library:"
"添加新材料","Add New Material"
"为选定对象创建新材质","Creates new material for the selected object"
"对象模式","Object Mode"
"flow.asset 画家","flow.asset_painter"
"选择目标","Selection to target"
"鼠标左键运行此函数，执行射线投射","Run this function on left mouse, execute the ray cast"
"循环遍历（对象，矩阵）对（仅限网格）","Loop over (object, matrix) pairs (mesh only)"
"用于将射线移动到物体空间的射线投射包装器","Wrapper for ray casting that moves the ray into object space"
"在场景中植入选定的资产或对象","Plant selected assets or objects in your scene"
"资产绘制者","Asset Painter"
"收藏集设置","Collections Settings"
"全部藏起来","Hide all"
"显示所有","Show all"
"使用自定义随机化","Use custom randomization"
"显示属性","Show properties"
"隐藏属性","Hide properties"
"旋转随机化","Rotation Randomization"
"是","Z"
"是","Y"
"X","X"
"当前集合中没有对象","No objects in current collection"
"资源来源","Asset Source"
"项目","Items"
"收藏","Collection"
"使用目录中的所有项目","Use all items from directory"
"画家作品集","Painter Collection"
"目标","Target"
"绘制资产的目标。如果没有，资产将放置在任何对象上","Target for painting the asset. If none, the asset will be placed on any object"
"抓牌步骤","Draw Step"
"使用主动收集","Use Active Collection"
"在活动的 Blender 集合上绘制新对象，而不是新的 Flow Scene 集合","Paints new object on the active Blender collection, instead of new Flow_Scene collection"
"基础比例","Base scale"
"最小尺度","Scale min"
"最大缩放","Scale max"
"使用平板电脑压力","Use Tablet Pressure"
"使用平板电脑压力在选定范围内缩放对象。如果没有适用的平板电脑，则将使用默认随机值","Use tablet pressure for scaling object in selected range. Default random value will be used if no tablet applicable"
"随机化 Z 旋转","Randomize Z Rotation"
"随机化 Y 轴旋转","Randomize Y Rotation"
"随机化 X 旋转","Randomize X Rotation"
"捕捉面部","Snap to face"
"链接对象数据","Linked object data"
"选择是否创建链接对象数据或数据副本，例如网格","Select whether to create linked object data or data copy, eg. of meshes"
"方向","Direction"
"添加到画家收藏","Add to Painter Collection"
"没有相关产品","No items"
"您的图书馆中没有物品！","No items in your libary!"
"未找到流程库","No Flow Libraries found"
"暂无画家作品","No painter collections"
"将商品添加到收藏夹","Add item to Collection"
"油漆资源","Paint Asset"
"资源绘制器设置","Asset Painter Settings"
"基础比例","Base Scale"
"缩放随机化范围","Scale Randomization Range"
"资产方向","Asset Direction"
"是主要的","Is Main"
"是孤立的","Is Isolated"
"可能性","Probability"
"设为主要对象","Set as Main Object"
"将当前对象设置为所选画家集合的主要对象","Sets current object as the main object for the selected painter collection"
"显示/隐藏全部","Show / Hide All"
"显示/隐藏所有对象子面板","Show / hide all object subpanels"
"将作品添加到画家收藏","Add item to Painter Collection"
"这是链接集合。对象将不会被保存！","This is linked collection. Object will not be saved!"
"加载集合","Load Collection"
"从选定的库中加载 Flow Asset Painter Collection","Load Flow Asset Painter Collection from the selected Library"
"收藏","Collections"
"集合实例","Collection instancing"
"此图书馆中没有保存的收藏","No saved collections in this Library"
"从收藏夹中移除","Remove from Collection"
"保存收藏","Save Collection"
"将选定的 Flow Asset Painter Collection 保存到库中","Save the selected Flow Asset Painter Collection to the Library"
"新名称，留空则保留当前名称","New name, leave blank to keep the current name"
"木地板发电机","Wooden Floor Generator"
"质地","Texture"
"粗糙度图","Roughness map"
"法线贴图","Normal map"
"创建楼层！","Create floor!"
"打造木地板","Create Wooden Floor"
"使用选定的参数创建木地板，偏移 1/2。警告！仅适用于地板，不适用于墙壁","Create wooden floor with selected parameters, offset 1/2. WARNING! Works only for the floor, will not work properly on the walls"
"材质名称","Material Name"
"板长（厘米）","Plank Length (cm)"
"板宽 (cm)","Plank Width (cm)"
"间隙尺寸（毫米）","Gap Size (mm)"
"视口颜色","Viewport Color"
"间隙颜色","Gap Color"
"木板粗糙度","Planks roughness"
"反转粗糙度","Invert Roughness"
"木板","Planks"
"创建楼层！","Create Floor!"
"使用选定的参数创建木地板","Creates wooden floor with selected parameters"
"FLOW 程序基础","FLOW_Procedural Floor Basis"
"FLOW 程序楼层设置","FLOW_Procedural Floor Settings"
"程序依据","Procedural Floor Basis"
"程序地板设置","Procedural Floor Settings"
"将实例设为本地","Make instance local"
"正在实例编辑","Is instance editing"
"实例","Instance"
"初始场景","Initial Scene"
"初始视图层","Initial View layer"
"编辑场景","Editor Scene"
"编辑本地实例","Edit Local Instance"
"编辑选定的实例集合","Edit selected instance collection"
"编辑嵌套实例","Edit Nested Instance"
"编辑嵌套在当前编辑的实例集合中的实例集合","Edit instance collection nested in currently edited instance collection"
"将选定对象转换为本地实例集合。实例原点由活动对象原点设置","Converts selected object to local instance collection. Instance origin is set by active objects origin"
"分解选定实例的基本元素","Explode selected instance for its base elements"
"转换为单个网格","Convert to single mesh"
"将选定的实例集合转换为单个可编辑网格","Converts the selected instance collection to the single editable mesh"
"将所有实例设为本地实例","Make all instances local"
"将链接集合实例设为本地 - 允许集合具有可编辑属性。警告：此功能将所有链接资产设为本地资产，可能会减慢场景速度","Make linked collection instances local - allows collections to have editable properties. WARNING: This function makes ALL linked assets local and may slow down your scene"
"单用户实例","Single-user instance"
"将选定的实例设为单用户，以分离属性和实例数据","Making the selected instance a single-user, to separate properties and instance data"
"生成智能 UV","Generate Smart UV"
"材质画家","Material Painter"
"流动材质画家","flow.material_painter"
" 显示搜索"," Show Search"
"在选定项上绘制","Paint on Selected"
"仅在选定对象上绘制材质","Paints material only on the selected object"
"活跃","Is Active"
"材料来源","Material Source"
"限制为","Limit by"
"材料更换","Material replacement"
"限位角度","Limit angle"
"删除未使用的插槽","Remove Unused Slots"
"为选定区域生成智能 UV","Generate Smart UV for the selected area"
"选定项上的绘制：关闭","Paint on Selected: OFF"
"没有商品 => 选择子类别","No items => Select Subcategory"
"自动生成 UV","Auto Generate UV"
"油漆表面","Paint Surface"
"材质选择器","Material Picker"
"新尺寸","New Size"
"使用全局设置","Use Global Settings"
"自定义图像尺寸 (px)","Custom Image Size (px)"
"调整纹理大小","Resize Textures"
"全局设置","Global settings"
"纹理覆盖","Texture overwrite"
"信息","Info"
"调整大小后的纹理将被复制到//textures 目录","Resized textures will be copied to //textures directory"
"尺寸将应用于较长的图像侧","Size will be applied to longer image side"
"只能替换 //textures 中的现有图像","Only existing images from //textures can be replaced"
"纹理是局部的","Texture is local"
"打包图片","Packed Image"
"瓷砖生成器","Tiles Generator"
"创建瓷砖！","Create tiles!"
"使用选定的参数和混合纹理创建真实尺寸的瓷砖（最佳效果是无缝纹理）","Create real-size ceramic tiles with selected parameters and shuffled texture (the best results are with seamless textures)"
"瓷砖长度（厘米）","Tile Length (cm)"
"瓷砖宽度（厘米）","Tile Width (cm)"
"砂浆尺寸 (mm)","Mortar Size (mm)"
"瓷砖颜色","Tiles Color"
"砂浆颜色","Mortar Color"
"瓷砖粗糙度","Tiles roughness"
"六角瓷砖尺寸","Hex Tile Size"
"瓷砖图案","Tile pattern"
"瓷砖","Tiles"
"使用选定的参数创建瓷砖","Create ceramic tiles with selected parameters"
"FLOW 程序化 Tiles 基础","FLOW_Procedural Tiles Basis"
"FLOW 程序砖基础","FLOW_Procedural Bricks Basis"
"FLOW 程序六边形瓷砖基础","FLOW_Procedural Hex Tiles Basis"
"FLOW 程序化图块着色器","FLOW_Procedural Tiles Shader"
"FLOW MT 主菜单","FLOW_MT_main_menu"
"FLOWBASIC MT 饼形菜单","FLOWBASIC_MT_PieMenu"
"3D 视图","3D View"
"流动","Flow"
"从库中添加项目","Add Item from Library"
"从库中添加材料","Add material from Library"
"附加几何节点","Append Geometry Nodes"
"流动画笔工具","Flow Brush Tools"
"加载油漆纹理","Load Paint Texture"
"加载蒙版纹理","Load Mask Texture"
"资产","Assets"
"从库中添加对象","Add Object from Library"
"控制","Controls"
"重置所有变换","Reset all transforms"
"加载几何节点","Load Geometry Nodes"
"保存几何节点","Save Geometry Nodes"
"材质库","Material Library"
"从库中附加材料","Append Material from Library"
"资产创建者","Assets Creator"
"世界图书馆","Worlds Library"
"实例工具","Instance Tools"
"流量快速控制","Flow Quick Controls"
"向左旋转","Rotate left"
"右旋","Rotate right"
"捕捉 3D 光标","Snap to 3d cursor"
"复制到 3D 光标","Duplicate to 3d cursor"
"高级创作者","Advanced Creator"
"执行默认","EXEC_DEFAULT"
"开发工具","Development Tools"
"流动材料工具","Flow Material Tools"
"纹理库","Textures Library"
"将纹理复制到库","Copy Texture to Library"
"节点组库","Node Groups Library"
"流动属性节点组","Flow Property Node Groups"
"流动纹理工具","Flow Texture Tools"
"特性","Properties"
"将链接实例设为本地实例","Make Linked instance local"
"能够编辑属性","to be able to edit properties"
"所选对象无任何属性","No properties for selected object"
"未选择任何对象","No object selected"
"将世界保存至图书馆","Save World to Library"
"将选定的世界添加到 Flow Library","Add selected World to Flow Library"
"世界名","World name"
"加载世界","Load World"
"从 Flow Library 加载预先保存的世界","Loads pre-saved worlds from Flow Library"
"世界","Worlds"
"此目录中没有已保存的世界！","There are no saved worlds in this directory!"
"你的图书馆里没有世界！","There are no worlds in your library!"
"世界","World"
"选择 HDRi 纹理","Select HDRi Texture"
"从库中选择 hdri 纹理","Select hdri texture from library"
"所选目录中没有项目","No items in selected directory"
"添加环境纹理","Add Environment Texture"
"将环境纹理节点添加到当前世界","Adds environment texutre node to the current world"
"添加天空纹理","Add Sky Texture"
"将天空纹理节点添加到当前世界","Adds sky texutre node to the current world"
"下一个","Next"
